EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 15-03-2024
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station TOULOUSE-BLAGNAC, FRANCE (STAID: 33)
Blended and updated with sources:105 907630 907631 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
    33,   105,19470101,    2,    0
    33,   105,19470102,    2,    0
    33,   105,19470103,    0,    0
    33,   105,19470104,    0,    0
    33,   105,19470105,   60,    0
    33,   105,19470106,    4,    0
    33,   105,19470107,    0,    0
    33,   105,19470108,    0,    0
    33,   105,19470109,   61,    0
    33,   105,19470110,    2,    0
    33,   105,19470111,   80,    0
    33,   105,19470112,   12,    0
    33,   105,19470113,    7,    0
    33,   105,19470114,    0,    0
    33,   105,19470115,    0,    0
    33,   105,19470116,    0,    0
    33,   105,19470117,    0,    0
    33,   105,19470118,    0,    0
    33,   105,19470119,    0,    0
    33,   105,19470120,    0,    0
    33,   105,19470121,    0,    0
    33,   105,19470122,    0,    0
    33,   105,19470123,    0,    0
    33,   105,19470124,   46,    0
    33,   105,19470125,   70,    0
    33,   105,19470126,    0,    0
    33,   105,19470127,    0,    0
    33,   105,19470128,   35,    0
    33,   105,19470129,    0,    0
    33,   105,19470130,    0,    0
    33,   105,19470131,    0,    0
    33,   105,19470201,    0,    0
    33,   105,19470202,   73,    0
    33,   105,19470203,   23,    0
    33,   105,19470204,   18,    0
    33,   105,19470205,    0,    0
    33,   105,19470206,    2,    0
    33,   105,19470207,   13,    0
    33,   105,19470208,    0,    0
    33,   105,19470209,    0,    0
    33,   105,19470210,    0,    0
    33,   105,19470211,   10,    0
    33,   105,19470212,    0,    0
    33,   105,19470213,   20,    0
    33,   105,19470214,  149,    0
    33,   105,19470215,   22,    0
    33,   105,19470216,    0,    0
    33,   105,19470217,  188,    0
    33,   105,19470218,   24,    0
    33,   105,19470219,    0,    0
    33,   105,19470220,    5,    0
    33,   105,19470221,    5,    0
    33,   105,19470222,   30,    0
    33,   105,19470223,    0,    0
    33,   105,19470224,   26,    0
    33,   105,19470225,    0,    0
    33,   105,19470226,    0,    0
    33,   105,19470227,    0,    0
    33,   105,19470228,    0,    0
    33,   105,19470301,    0,    0
    33,   105,19470302,    6,    0
    33,   105,19470303,    0,    0
    33,   105,19470304,    0,    0
    33,   105,19470305,   58,    0
    33,   105,19470306,   92,    0
    33,   105,19470307,   40,    0
    33,   105,19470308,    0,    0
    33,   105,19470309,    0,    0
    33,   105,19470310,    4,    0
    33,   105,19470311,    4,    0
    33,   105,19470312,    0,    0
    33,   105,19470313,   12,    0
    33,   105,19470314,   10,    0
    33,   105,19470315,    0,    0
    33,   105,19470316,    0,    0
    33,   105,19470317,    0,    0
    33,   105,19470318,  140,    0
    33,   105,19470319,    1,    0
    33,   105,19470320,    0,    0
    33,   105,19470321,    0,    0
    33,   105,19470322,   34,    0
    33,   105,19470323,    1,    0
    33,   105,19470324,    6,    0
    33,   105,19470325,    0,    0
    33,   105,19470326,    6,    0
    33,   105,19470327,    0,    0
    33,   105,19470328,   41,    0
    33,   105,19470329,    0,    0
    33,   105,19470330,    1,    0
    33,   105,19470331,   25,    0
    33,   105,19470401,   87,    0
    33,   105,19470402,   40,    0
    33,   105,19470403,   17,    0
    33,   105,19470404,    0,    0
    33,   105,19470405,    0,    0
    33,   105,19470406,    0,    0
    33,   105,19470407,    0,    0
    33,   105,19470408,    0,    0
    33,   105,19470409,    0,    0
    33,   105,19470410,    0,    0
    33,   105,19470411,    0,    0
    33,   105,19470412,    0,    0
    33,   105,19470413,    0,    0
    33,   105,19470414,    0,    0
    33,   105,19470415,    0,    0
    33,   105,19470416,    0,    0
    33,   105,19470417,    0,    0
    33,   105,19470418,    0,    0
    33,   105,19470419,    0,    0
    33,   105,19470420,    0,    0
    33,   105,19470421,    0,    0
    33,   105,19470422,    0,    0
    33,   105,19470423,    0,    0
    33,   105,19470424,    0,    0
    33,   105,19470425,    0,    0
    33,   105,19470426,    0,    0
    33,   105,19470427,    0,    0
    33,   105,19470428,    0,    0
    33,   105,19470429,    0,    0
    33,   105,19470430,   14,    0
    33,   105,19470501,    0,    0
