EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 15-03-2024
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station PERPIGNAN, FRANCE (STAID: 36)
Blended and updated with sources:117 907747 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
    36,   117,19241101,-9999,    9
    36,   117,19241102,-9999,    9
    36,   117,19241103,-9999,    9
    36,   117,19241104,-9999,    9
    36,   117,19241105,-9999,    9
    36,   117,19241106,-9999,    9
    36,   117,19241107,-9999,    9
    36,   117,19241108,-9999,    9
    36,   117,19241109,-9999,    9
    36,   117,19241110,-9999,    9
    36,   117,19241111,-9999,    9
    36,   117,19241112,-9999,    9
    36,   117,19241113,-9999,    9
    36,   117,19241114,-9999,    9
    36,   117,19241115,-9999,    9
    36,   117,19241116,-9999,    9
    36,   117,19241117,    0,    0
    36,   117,19241118,    0,    0
    36,   117,19241119,    0,    0
    36,   117,19241120,    0,    0
    36,   117,19241121,    0,    0
    36,   117,19241122,    0,    0
    36,   117,19241123,    0,    0
    36,   117,19241124,   51,    0
    36,   117,19241125,  315,    0
    36,   117,19241126,    0,    0
    36,   117,19241127,   12,    0
    36,   117,19241128,    0,    0
    36,   117,19241129,    0,    0
    36,   117,19241130,    0,    0
    36,   117,19241201,    0,    0
    36,   117,19241202,   20,    0
    36,   117,19241203,   12,    0
    36,   117,19241204,    0,    0
    36,   117,19241205,    0,    0
    36,   117,19241206,    0,    0
    36,   117,19241207,    0,    0
    36,   117,19241208,    0,    0
    36,   117,19241209,    0,    0
    36,   117,19241210,    0,    0
    36,   117,19241211,    6,    0
    36,   117,19241212,   43,    0
    36,   117,19241213,    0,    0
    36,   117,19241214,    0,    0
    36,   117,19241215,    4,    0
    36,   117,19241216,   61,    0
    36,   117,19241217,    0,    0
    36,   117,19241218,    0,    0
    36,   117,19241219,    0,    0
    36,   117,19241220,    0,    0
    36,   117,19241221,    0,    0
    36,   117,19241222,    0,    0
    36,   117,19241223,    0,    0
    36,   117,19241224,    0,    0
    36,   117,19241225,    0,    0
    36,   117,19241226,    0,    0
    36,   117,19241227,    0,    0
    36,   117,19241228,    3,    0
    36,   117,19241229,    0,    0
    36,   117,19241230,    0,    0
    36,   117,19241231,    0,    0
    36,   117,19250101,    0,    0
    36,   117,19250102,    0,    0
    36,   117,19250103,    0,    0
    36,   117,19250104,    0,    0
    36,   117,19250105,    0,    0
    36,   117,19250106,    0,    0
    36,   117,19250107,    0,    0
    36,   117,19250108,    0,    0
    36,   117,19250109,    0,    0
    36,   117,19250110,    0,    0
    36,   117,19250111,    0,    0
