EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 15-03-2024
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station STRASBOURG-ENTZHEIM, FRANCE (STAID: 323)
Blended and updated with sources:4960 907190 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
   323,  4960,19230501,    0,    0
   323,  4960,19230502,    0,    0
   323,  4960,19230503,    0,    0
   323,  4960,19230504,    0,    0
   323,  4960,19230505,    0,    0
   323,  4960,19230506,    0,    0
   323,  4960,19230507,    0,    0
   323,  4960,19230508,    5,    0
   323,  4960,19230509,  139,    0
   323,  4960,19230510,   10,    0
   323,  4960,19230511,    0,    0
   323,  4960,19230512,    0,    0
   323,  4960,19230513,   48,    0
   323,  4960,19230514,  109,    0
   323,  4960,19230515,    0,    0
   323,  4960,19230516,   10,    0
   323,  4960,19230517,   13,    0
   323,  4960,19230518,   27,    0
   323,  4960,19230519,    6,    0
   323,  4960,19230520,    0,    0
   323,  4960,19230521,    0,    0
   323,  4960,19230522,    0,    0
   323,  4960,19230523,    0,    0
   323,  4960,19230524,   19,    0
   323,  4960,19230525,   27,    0
   323,  4960,19230526,   53,    0
   323,  4960,19230527,   65,    0
   323,  4960,19230528,   44,    0
   323,  4960,19230529,  140,    0
   323,  4960,19230530,   20,    0
   323,  4960,19230531,    0,    0
   323,  4960,19230601,    0,    0
   323,  4960,19230602,    0,    0
   323,  4960,19230603,    0,    0
   323,  4960,19230604,    0,    0
   323,  4960,19230605,   11,    0
   323,  4960,19230606,   12,    0
   323,  4960,19230607,    0,    0
   323,  4960,19230608,    0,    0
   323,  4960,19230609,    0,    0
   323,  4960,19230610,    0,    0
   323,  4960,19230611,    0,    0
   323,  4960,19230612,   20,    0
   323,  4960,19230613,   32,    0
   323,  4960,19230614,    0,    0
   323,  4960,19230615,   29,    0
   323,  4960,19230616,   19,    0
   323,  4960,19230617,   56,    0
   323,  4960,19230618,   10,    0
   323,  4960,19230619,    9,    0
   323,  4960,19230620,   34,    0
   323,  4960,19230621,    2,    0
   323,  4960,19230622,   52,    0
   323,  4960,19230623,    9,    0
   323,  4960,19230624,    0,    0
   323,  4960,19230625,   44,    0
   323,  4960,19230626,   14,    0
   323,  4960,19230627,    0,    0
   323,  4960,19230628,    5,    0
   323,  4960,19230629,    0,    0
   323,  4960,19230630,    0,    0
   323,  4960,19230701,    0,    0
   323,  4960,19230702,    0,    0
   323,  4960,19230703,    0,    0
   323,  4960,19230704,    0,    0
   323,  4960,19230705,    0,    0
   323,  4960,19230706,    0,    0
   323,  4960,19230707,    0,    0
