EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 15-03-2024
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BREST-GUIPAVAS, FRANCE (STAID: 434)
Blended and updated with sources:4484 907110 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
   434,  4484,19450101,    0,    0
   434,  4484,19450102,    5,    0
   434,  4484,19450103,  113,    0
   434,  4484,19450104,    8,    0
   434,  4484,19450105,   86,    0
   434,  4484,19450106,   69,    0
   434,  4484,19450107,   14,    0
   434,  4484,19450108,    1,    0
   434,  4484,19450109,   39,    0
   434,  4484,19450110,   33,    0
   434,  4484,19450111,   61,    0
   434,  4484,19450112,  164,    0
   434,  4484,19450113,    0,    0
   434,  4484,19450114,    0,    0
   434,  4484,19450115,    0,    0
   434,  4484,19450116,    8,    0
   434,  4484,19450117,   18,    0
   434,  4484,19450118,   48,    0
   434,  4484,19450119,  101,    0
   434,  4484,19450120,   40,    0
   434,  4484,19450121,   22,    0
   434,  4484,19450122,   39,    0
   434,  4484,19450123,   14,    0
   434,  4484,19450124,   41,    0
   434,  4484,19450125,    0,    0
   434,  4484,19450126,   82,    0
   434,  4484,19450127,    0,    0
   434,  4484,19450128,    0,    0
   434,  4484,19450129,   95,    0
   434,  4484,19450130,  102,    0
   434,  4484,19450131,   89,    0
   434,  4484,19450201,   31,    0
   434,  4484,19450202,   26,    0
   434,  4484,19450203,  146,    0
   434,  4484,19450204,  197,    0
   434,  4484,19450205,   58,    0
   434,  4484,19450206,   68,    0
   434,  4484,19450207,   62,    0
   434,  4484,19450208,   36,    0
   434,  4484,19450209,  163,    0
   434,  4484,19450210,  222,    0
   434,  4484,19450211,  164,    0
   434,  4484,19450212,   10,    0
   434,  4484,19450213,   13,    0
   434,  4484,19450214,    0,    0
   434,  4484,19450215,    0,    0
   434,  4484,19450216,   30,    0
   434,  4484,19450217,   33,    0
   434,  4484,19450218,    5,    0
   434,  4484,19450219,    1,    0
   434,  4484,19450220,    1,    0
   434,  4484,19450221,    0,    0
   434,  4484,19450222,    0,    0
   434,  4484,19450223,    0,    0
   434,  4484,19450224,    0,    0
   434,  4484,19450225,    0,    0
   434,  4484,19450226,    0,    0
   434,  4484,19450227,    0,    0
   434,  4484,19450228,    0,    0
   434,  4484,19450301,    3,    0
   434,  4484,19450302,    0,    0
   434,  4484,19450303,    0,    0
   434,  4484,19450304,    0,    0
   434,  4484,19450305,    0,    0
   434,  4484,19450306,    0,    0
   434,  4484,19450307,    0,    0
   434,  4484,19450308,    0,    0
   434,  4484,19450309,    0,    0
   434,  4484,19450310,    0,    0
   434,  4484,19450311,    0,    0
   434,  4484,19450312,    0,    0
   434,  4484,19450313,    0,    0
   434,  4484,19450314,    0,    0
   434,  4484,19450315,    2,    0
   434,  4484,19450316,    0,    0
   434,  4484,19450317,    0,    0
   434,  4484,19450318,    4,    0
   434,  4484,19450319,    6,    0
   434,  4484,19450320,    6,    0
   434,  4484,19450321,    2,    0
   434,  4484,19450322,    0,    0
   434,  4484,19450323,    0,    0
   434,  4484,19450324,   36,    0
   434,  4484,19450325,    0,    0
   434,  4484,19450326,    0,    0
   434,  4484,19450327,   52,    0
   434,  4484,19450328,   31,    0
   434,  4484,19450329,   20,    0
   434,  4484,19450330,    0,    0
   434,  4484,19450331,   47,    0
   434,  4484,19450401,   87,    0
   434,  4484,19450402,   67,    0
   434,  4484,19450403,    0,    0
   434,  4484,19450404,   32,    0
   434,  4484,19450405,    0,    0
   434,  4484,19450406,    0,    0
   434,  4484,19450407,    0,    0
   434,  4484,19450408,    0,    0
   434,  4484,19450409,    0,    0
   434,  4484,19450410,   12,    0
   434,  4484,19450411,   35,    0
   434,  4484,19450412,    0,    0
   434,  4484,19450413,    0,    0
   434,  4484,19450414,    0,    0
   434,  4484,19450415,    0,    0
   434,  4484,19450416,    0,    0
   434,  4484,19450417,    0,    0
   434,  4484,19450418,    0,    0
   434,  4484,19450419,    0,    0
   434,  4484,19450420,    1,    0
   434,  4484,19450421,    0,    0
   434,  4484,19450422,    0,    0
   434,  4484,19450423,    0,    0
   434,  4484,19450424,    1,    0
   434,  4484,19450425,  127,    0
   434,  4484,19450426,   44,    0
   434,  4484,19450427,   62,    0
   434,  4484,19450428,   27,    0
   434,  4484,19450429,    0,    0
   434,  4484,19450430,   10,    0
   434,  4484,19450501,   60,    0
   434,  4484,19450502,    0,    0
   434,  4484,19450503,  161,    0
   434,  4484,19450504,  129,    0
   434,  4484,19450505,   82,    0
   434,  4484,19450506,   13,    0
   434,  4484,19450507,   11,    0
   434,  4484,19450508,   12,    0
   434,  4484,19450509,    0,    0
   434,  4484,19450510,    0,    0
   434,  4484,19450511,    0,    0
   434,  4484,19450512,   29,    0
   434,  4484,19450513,    0,    0
   434,  4484,19450514,    0,    0
   434,  4484,19450515,    0,    0
   434,  4484,19450516,    0,    0
   434,  4484,19450517,    0,    0
   434,  4484,19450518,    0,    0
   434,  4484,19450519,   60,    0
   434,  4484,19450520,   42,    0
   434,  4484,19450521,    7,    0
   434,  4484,19450522,    9,    0
   434,  4484,19450523,    0,    0
   434,  4484,19450524,    0,    0
   434,  4484,19450525,    6,    0
   434,  4484,19450526,   46,    0
   434,  4484,19450527,    0,    0
   434,  4484,19450528,    0,    0
   434,  4484,19450529,    0,    0
   434,  4484,19450530,    0,    0
   434,  4484,19450531,   40,    0
   434,  4484,19450601,    0,    0
   434,  4484,19450602,    0,    0
   434,  4484,19450603,   14,    0
   434,  4484,19450604,   16,    0
   434,  4484,19450605,  109,    0
   434,  4484,19450606,  233,    0
   434,  4484,19450607,    0,    0
   434,  4484,19450608,    0,    0
   434,  4484,19450609,    0,    0
   434,  4484,19450610,    6,    0
   434,  4484,19450611,   41,    0
   434,  4484,19450612,    0,    0
   434,  4484,19450613,    0,    0
   434,  4484,19450614,    3,    0
   434,  4484,19450615,    0,    0
   434,  4484,19450616,    0,    0
   434,  4484,19450617,    0,    0
   434,  4484,19450618,    0,    0
   434,  4484,19450619,   58,    0
   434,  4484,19450620,   40,    0
   434,  4484,19450621,    0,    0
   434,  4484,19450622,    0,    0
   434,  4484,19450623,    4,    0
   434,  4484,19450624,    0,    0
   434,  4484,19450625,    0,    0
   434,  4484,19450626,    0,    0
   434,  4484,19450627,    0,    0
   434,  4484,19450628,   17,    0
   434,  4484,19450629,    0,    0
   434,  4484,19450630,   29,    0
   434,  4484,19450701,    0,    0
   434,  4484,19450702,    0,    0
   434,  4484,19450703,    2,    0
   434,  4484,19450704,    0,    0
   434,  4484,19450705,    0,    0
   434,  4484,19450706,   14,    0
   434,  4484,19450707,    0,    0
   434,  4484,19450708,    0,    0
   434,  4484,19450709,    0,    0
   434,  4484,19450710,    0,    0
   434,  4484,19450711,    0,    0
   434,  4484,19450712,   12,    0
   434,  4484,19450713,    0,    0
   434,  4484,19450714,   92,    0
   434,  4484,19450715,   42,    0
   434,  4484,19450716,    0,    0
   434,  4484,19450717,    0,    0
   434,  4484,19450718,   20,    0
   434,  4484,19450719,    9,    0
   434,  4484,19450720,   18,    0
   434,  4484,19450721,    0,    0
   434,  4484,19450722,    0,    0
   434,  4484,19450723,    0,    0
   434,  4484,19450724,    0,    0
   434,  4484,19450725,  269,    0
   434,  4484,19450726,   24,    0
   434,  4484,19450727,    0,    0
   434,  4484,19450728,    0,    0
   434,  4484,19450729,    0,    0
   434,  4484,19450730,    0,    0
   434,  4484,19450731,    0,    0
   434,  4484,19450801,    0,    0
   434,  4484,19450802,    0,    0
   434,  4484,19450803,    0,    0
   434,  4484,19450804,    0,    0
   434,  4484,19450805,    0,    0
   434,  4484,19450806,    0,    0
   434,  4484,19450807,    0,    0
   434,  4484,19450808,    0,    0
   434,  4484,19450809,    0,    0
   434,  4484,19450810,    0,    0
   434,  4484,19450811,    0,    0
   434,  4484,19450812,  145,    0
   434,  4484,19450813,    0,    0
   434,  4484,19450814,  152,    0
   434,  4484,19450815,    0,    0
   434,  4484,19450816,    3,    0
   434,  4484,19450817,  316,    0
   434,  4484,19450818,  293,    0
   434,  4484,19450819,    0,    0
   434,  4484,19450820,  180,    0
   434,  4484,19450821,   32,    0
   434,  4484,19450822,   50,    0
   434,  4484,19450823,    0,    0
   434,  4484,19450824,   37,    0
   434,  4484,19450825,    0,    0
   434,  4484,19450826,    0,    0
   434,  4484,19450827,    0,    0
   434,  4484,19450828,  104,    0
   434,  4484,19450829,    0,    0
   434,  4484,19450830,    0,    0
   434,  4484,19450831,  127,    0
   434,  4484,19450901,   79,    0
   434,  4484,19450902,    9,    0
   434,  4484,19450903,    0,    0
   434,  4484,19450904,    0,    0
   434,  4484,19450905,    0,    0
   434,  4484,19450906,    1,    0
   434,  4484,19450907,    0,    0
   434,  4484,19450908,   66,    0
   434,  4484,19450909,   16,    0
   434,  4484,19450910,   71,    0
   434,  4484,19450911,    0,    0
   434,  4484,19450912,    0,    0
   434,  4484,19450913,   31,    0
   434,  4484,19450914,   57,    0
   434,  4484,19450915,   27,    0
   434,  4484,19450916,    0,    0
   434,  4484,19450917,    0,    0
   434,  4484,19450918,   94,    0
   434,  4484,19450919,    0,    0
   434,  4484,19450920,    0,    0
   434,  4484,19450921,   46,    0
   434,  4484,19450922,   12,    0
   434,  4484,19450923,   15,    0
   434,  4484,19450924,    0,    0
   434,  4484,19450925,    0,    0
   434,  4484,19450926,    8,    0
   434,  4484,19450927,    0,    0
   434,  4484,19450928,    0,    0
   434,  4484,19450929,    0,    0
   434,  4484,19450930,    0,    0
   434,  4484,19451001,    0,    0
   434,  4484,19451002,    0,    0
   434,  4484,19451003,    0,    0
   434,  4484,19451004,    0,    0
   434,  4484,19451005,    0,    0
   434,  4484,19451006,    0,    0
   434,  4484,19451007,    0,    0
   434,  4484,19451008,    0,    0
   434,  4484,19451009,    0,    0
   434,  4484,19451010,    0,    0
   434,  4484,19451011,    0,    0
   434,  4484,19451012,    0,    0
   434,  4484,19451013,    0,    0
   434,  4484,19451014,    0,    0
