EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 15-03-2024
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LILLE-LESQUIN, FRANCE (STAID: 737)
Blended and updated with sources:4040 907015 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
   737,  4040,19450101,    0,    0
   737,  4040,19450102,    0,    0
   737,  4040,19450103,   88,    0
   737,  4040,19450104,    0,    0
   737,  4040,19450105,    0,    0
   737,  4040,19450106,    0,    0
   737,  4040,19450107,    3,    0
   737,  4040,19450108,   57,    0
   737,  4040,19450109,    4,    0
   737,  4040,19450110,   53,    0
   737,  4040,19450111,    1,    0
   737,  4040,19450112,    8,    0
   737,  4040,19450113,    0,    0
   737,  4040,19450114,    0,    0
   737,  4040,19450115,    0,    0
   737,  4040,19450116,    7,    0
   737,  4040,19450117,    0,    0
   737,  4040,19450118,   47,    0
   737,  4040,19450119,    3,    0
   737,  4040,19450120,    9,    0
   737,  4040,19450121,    0,    0
   737,  4040,19450122,    5,    0
   737,  4040,19450123,   30,    0
   737,  4040,19450124,    0,    0
   737,  4040,19450125,    4,    0
   737,  4040,19450126,    0,    0
   737,  4040,19450127,   24,    0
   737,  4040,19450128,    0,    0
   737,  4040,19450129,   18,    0
   737,  4040,19450130,   63,    0
   737,  4040,19450131,   21,    0
   737,  4040,19450201,    0,    0
   737,  4040,19450202,    0,    0
   737,  4040,19450203,   20,    0
   737,  4040,19450204,   17,    0
   737,  4040,19450205,    4,    0
   737,  4040,19450206,   24,    0
   737,  4040,19450207,   13,    0
   737,  4040,19450208,   39,    0
   737,  4040,19450209,   23,    0
   737,  4040,19450210,   34,    0
   737,  4040,19450211,   87,    0
   737,  4040,19450212,   11,    0
   737,  4040,19450213,    8,    0
   737,  4040,19450214,    0,    0
   737,  4040,19450215,    0,    0
   737,  4040,19450216,    0,    0
   737,  4040,19450217,    0,    0
   737,  4040,19450218,    0,    0
   737,  4040,19450219,    0,    0
   737,  4040,19450220,    1,    0
   737,  4040,19450221,    0,    0
   737,  4040,19450222,    0,    0
   737,  4040,19450223,    8,    0
   737,  4040,19450224,    0,    0
   737,  4040,19450225,    0,    0
   737,  4040,19450226,    0,    0
   737,  4040,19450227,    0,    0
   737,  4040,19450228,    0,    0
   737,  4040,19450301,    3,    0
   737,  4040,19450302,    0,    0
   737,  4040,19450303,    0,    0
   737,  4040,19450304,   52,    0
   737,  4040,19450305,   15,    0
   737,  4040,19450306,    3,    0
   737,  4040,19450307,   17,    0
   737,  4040,19450308,    1,    0
   737,  4040,19450309,    0,    0
   737,  4040,19450310,    0,    0
   737,  4040,19450311,    0,    0
   737,  4040,19450312,    0,    0
   737,  4040,19450313,    0,    0
   737,  4040,19450314,    0,    0
   737,  4040,19450315,    0,    0
   737,  4040,19450316,    0,    0
   737,  4040,19450317,    0,    0
   737,  4040,19450318,    0,    0
   737,  4040,19450319,    0,    0
   737,  4040,19450320,    0,    0
   737,  4040,19450321,    0,    0
   737,  4040,19450322,    0,    0
   737,  4040,19450323,    0,    0
   737,  4040,19450324,    0,    0
   737,  4040,19450325,   24,    0
   737,  4040,19450326,    7,    0
   737,  4040,19450327,    0,    0
   737,  4040,19450328,   39,    0
   737,  4040,19450329,    3,    0
   737,  4040,19450330,    0,    0
   737,  4040,19450331,    0,    0
   737,  4040,19450401,    0,    0
   737,  4040,19450402,   64,    0
