EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 15-03-2024
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station POITIERS - BIARD, FRANCE (STAID: 749)
Blended and updated with sources:4088 907335 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
   749,  4088,19210501,    0,    0
   749,  4088,19210502,    2,    0
   749,  4088,19210503,   48,    0
   749,  4088,19210504,   35,    0
   749,  4088,19210505,    0,    0
   749,  4088,19210506,    0,    0
   749,  4088,19210507,   34,    0
   749,  4088,19210508,    0,    0
   749,  4088,19210509,    0,    0
   749,  4088,19210510,    0,    0
   749,  4088,19210511,    9,    0
   749,  4088,19210512,   14,    0
   749,  4088,19210513,    0,    0
   749,  4088,19210514,    0,    0
   749,  4088,19210515,    0,    0
   749,  4088,19210516,    0,    0
   749,  4088,19210517,   33,    0
   749,  4088,19210518,   15,    0
   749,  4088,19210519,    0,    0
   749,  4088,19210520,    0,    0
   749,  4088,19210521,    0,    0
   749,  4088,19210522,   17,    0
   749,  4088,19210523,    0,    0
   749,  4088,19210524,   11,    0
   749,  4088,19210525,    0,    0
   749,  4088,19210526,    9,    0
   749,  4088,19210527,    0,    0
   749,  4088,19210528,    0,    0
   749,  4088,19210529,    0,    0
   749,  4088,19210530,   14,    0
   749,  4088,19210531,    0,    0
   749,  4088,19210601,    0,    0
   749,  4088,19210602,    0,    0
   749,  4088,19210603,    0,    0
   749,  4088,19210604,   26,    0
   749,  4088,19210605,    0,    0
   749,  4088,19210606,  109,    0
   749,  4088,19210607,    0,    0
   749,  4088,19210608,    0,    0
   749,  4088,19210609,    0,    0
   749,  4088,19210610,    0,    0
   749,  4088,19210611,    0,    0
   749,  4088,19210612,    0,    0
   749,  4088,19210613,    0,    0
   749,  4088,19210614,    0,    0
   749,  4088,19210615,    0,    0
   749,  4088,19210616,    0,    0
   749,  4088,19210617,    0,    0
   749,  4088,19210618,    0,    0
   749,  4088,19210619,    0,    0
   749,  4088,19210620,    0,    0
   749,  4088,19210621,    0,    0
   749,  4088,19210622,    0,    0
   749,  4088,19210623,    0,    0
   749,  4088,19210624,    0,    0
   749,  4088,19210625,    0,    0
   749,  4088,19210626,    0,    0
   749,  4088,19210627,  100,    0
   749,  4088,19210628,   95,    0
   749,  4088,19210629,    4,    0
   749,  4088,19210630,  142,    0
   749,  4088,19210701,   13,    0
   749,  4088,19210702,    0,    0
   749,  4088,19210703,    0,    0
   749,  4088,19210704,    0,    0
   749,  4088,19210705,    0,    0
   749,  4088,19210706,    0,    0
   749,  4088,19210707,    0,    0
   749,  4088,19210708,    0,    0
   749,  4088,19210709,    0,    0
   749,  4088,19210710,    0,    0
   749,  4088,19210711,    0,    0
   749,  4088,19210712,    0,    0
   749,  4088,19210713,   16,    0
   749,  4088,19210714,    0,    0
   749,  4088,19210715,   17,    0
   749,  4088,19210716,  150,    0
   749,  4088,19210717,-9999,    9
   749,  4088,19210718,   76,    0
   749,  4088,19210719,   11,    0
   749,  4088,19210720,    0,    0
   749,  4088,19210721,    0,    0
   749,  4088,19210722,    0,    0
   749,  4088,19210723,    0,    0
   749,  4088,19210724,    0,    0
   749,  4088,19210725,    0,    0
   749,  4088,19210726,    0,    0
   749,  4088,19210727,    0,    0
   749,  4088,19210728,    0,    0
   749,  4088,19210729,    0,    0
   749,  4088,19210730,    0,    0
   749,  4088,19210731,    0,    0
   749,  4088,19210801,    0,    0
   749,  4088,19210802,    0,    0
   749,  4088,19210803,    0,    0
   749,  4088,19210804,    0,    0
   749,  4088,19210805,    0,    0
   749,  4088,19210806,    0,    0
   749,  4088,19210807,    0,    0
   749,  4088,19210808,    0,    0
   749,  4088,19210809,    4,    0
   749,  4088,19210810,   29,    0
   749,  4088,19210811,  155,    0
   749,  4088,19210812,   13,    0
   749,  4088,19210813,    0,    0
   749,  4088,19210814,    4,    0
   749,  4088,19210815,    6,    0
   749,  4088,19210816,   28,    0
   749,  4088,19210817,   51,    0
   749,  4088,19210818,   85,    0
   749,  4088,19210819,    0,    0
   749,  4088,19210820,    0,    0
   749,  4088,19210821,  213,    0
   749,  4088,19210822,  110,    0
   749,  4088,19210823,  136,    0
   749,  4088,19210824,    0,    0
   749,  4088,19210825,    0,    0
   749,  4088,19210826,    0,    0
   749,  4088,19210827,    0,    0
   749,  4088,19210828,    0,    0
   749,  4088,19210829,    9,    0
   749,  4088,19210830,    0,    0
   749,  4088,19210831,    0,    0
   749,  4088,19210901,    0,    0
   749,  4088,19210902,    0,    0
   749,  4088,19210903,  182,    0
   749,  4088,19210904,    0,    0
   749,  4088,19210905,    0,    0
   749,  4088,19210906,    0,    0
   749,  4088,19210907,    0,    0
   749,  4088,19210908,    0,    0
   749,  4088,19210909,    0,    0
   749,  4088,19210910,    0,    0
   749,  4088,19210911,-9999,    9
   749,  4088,19210912,   45,    0
   749,  4088,19210913,    0,    0
   749,  4088,19210914,    0,    0
   749,  4088,19210915,    0,    0
   749,  4088,19210916,   27,    0
   749,  4088,19210917,  139,    0
   749,  4088,19210918,    0,    0
   749,  4088,19210919,    9,    0
   749,  4088,19210920,   31,    0
   749,  4088,19210921,    0,    0
   749,  4088,19210922,    0,    0
   749,  4088,19210923,    0,    0
   749,  4088,19210924,    0,    0
   749,  4088,19210925,    0,    0
   749,  4088,19210926,    0,    0
   749,  4088,19210927,    0,    0
   749,  4088,19210928,    0,    0
   749,  4088,19210929,    0,    0
   749,  4088,19210930,    0,    0
   749,  4088,19211001,    0,    0
   749,  4088,19211002,-9999,    9
   749,  4088,19211003,    0,    0
   749,  4088,19211004,    0,    0
   749,  4088,19211005,    0,    0
   749,  4088,19211006,    0,    0
   749,  4088,19211007,    0,    0
   749,  4088,19211008,    0,    0
   749,  4088,19211009,    0,    0
   749,  4088,19211010,    0,    0
   749,  4088,19211011,  318,    0
   749,  4088,19211012,    0,    0
   749,  4088,19211013,    0,    0
   749,  4088,19211014,    0,    0
   749,  4088,19211015,    0,    0
   749,  4088,19211016,    0,    0
   749,  4088,19211017,    0,    0
   749,  4088,19211018,    0,    0
   749,  4088,19211019,    0,    0
   749,  4088,19211020,    0,    0
   749,  4088,19211021,    0,    0
   749,  4088,19211022,  195,    0
   749,  4088,19211023,    0,    0
   749,  4088,19211024,    0,    0
   749,  4088,19211025,    0,    0
   749,  4088,19211026,    0,    0
   749,  4088,19211027,    0,    0
   749,  4088,19211028,    0,    0
   749,  4088,19211029,    0,    0
   749,  4088,19211030,    0,    0
   749,  4088,19211031,    0,    0
   749,  4088,19211101,    0,    0
   749,  4088,19211102,    1,    0
   749,  4088,19211103,    0,    0
   749,  4088,19211104,   37,    0
   749,  4088,19211105,   10,    0
   749,  4088,19211106,    0,    0
   749,  4088,19211107,    0,    0
   749,  4088,19211108,   38,    0
   749,  4088,19211109,    0,    0
   749,  4088,19211110,    0,    0
   749,  4088,19211111,    0,    0
   749,  4088,19211112,    0,    0
   749,  4088,19211113,    0,    0
   749,  4088,19211114,    0,    0
   749,  4088,19211115,    0,    0
   749,  4088,19211116,    0,    0
   749,  4088,19211117,   16,    0
   749,  4088,19211118,    0,    0
   749,  4088,19211119,    0,    0
   749,  4088,19211120,    0,    0
   749,  4088,19211121,    0,    0
   749,  4088,19211122,    0,    0
   749,  4088,19211123,    0,    0
   749,  4088,19211124,    0,    0
   749,  4088,19211125,    8,    0
   749,  4088,19211126,   24,    0
   749,  4088,19211127,    0,    0
   749,  4088,19211128,    0,    0
   749,  4088,19211129,    0,    0
   749,  4088,19211130,   14,    0
   749,  4088,19211201,   43,    0
   749,  4088,19211202,    0,    0
   749,  4088,19211203,    0,    0
   749,  4088,19211204,    0,    0
   749,  4088,19211205,    0,    0
   749,  4088,19211206,    0,    0
   749,  4088,19211207,    6,    0
   749,  4088,19211208,    8,    0
   749,  4088,19211209,    0,    0
   749,  4088,19211210,    0,    0
   749,  4088,19211211,   25,    0
   749,  4088,19211212,    0,    0
   749,  4088,19211213,    0,    0
   749,  4088,19211214,   30,    0
   749,  4088,19211215,   44,    0
   749,  4088,19211216,    0,    0
   749,  4088,19211217,    0,    0
   749,  4088,19211218,    0,    0
   749,  4088,19211219,    0,    0
   749,  4088,19211220,   11,    0
   749,  4088,19211221,    0,    0
   749,  4088,19211222,   23,    0
   749,  4088,19211223,    0,    0
   749,  4088,19211224,    0,    0
   749,  4088,19211225,   41,    0
   749,  4088,19211226,    0,    0
   749,  4088,19211227,   11,    0
   749,  4088,19211228,    0,    0
   749,  4088,19211229,   78,    0
   749,  4088,19211230,  307,    0
   749,  4088,19211231,    0,    0
   749,  4088,19220101,   72,    0
   749,  4088,19220102,   63,    0
   749,  4088,19220103,    5,    0
   749,  4088,19220104,    0,    0
   749,  4088,19220105,    0,    0
   749,  4088,19220106,    4,    0
   749,  4088,19220107,   17,    0
   749,  4088,19220108,    6,    0
   749,  4088,19220109,   11,    0
   749,  4088,19220110,   32,    0
   749,  4088,19220111,    8,    0
   749,  4088,19220112,    0,    0
   749,  4088,19220113,    0,    0
   749,  4088,19220114,    0,    0
   749,  4088,19220115,   41,    0
   749,  4088,19220116,  135,    0
   749,  4088,19220117,    0,    0
   749,  4088,19220118,    1,    0
   749,  4088,19220119,   14,    0
   749,  4088,19220120,    0,    0
   749,  4088,19220121,    9,    0
   749,  4088,19220122,    1,    0
   749,  4088,19220123,    0,    0
   749,  4088,19220124,   70,    0
   749,  4088,19220125,    6,    0
   749,  4088,19220126,    2,    0
   749,  4088,19220127,   89,    0
   749,  4088,19220128,   16,    0
   749,  4088,19220129,   82,    0
   749,  4088,19220130,   24,    0
   749,  4088,19220131,    4,    0
   749,  4088,19220201,   50,    0
   749,  4088,19220202,  145,    0
   749,  4088,19220203,   12,    0
   749,  4088,19220204,    0,    0
   749,  4088,19220205,    0,    0
   749,  4088,19220206,    0,    0
   749,  4088,19220207,    0,    0
   749,  4088,19220208,    0,    0
   749,  4088,19220209,    0,    0
   749,  4088,19220210,    0,    0
   749,  4088,19220211,    0,    0
   749,  4088,19220212,    0,    0
   749,  4088,19220213,   16,    0
   749,  4088,19220214,    0,    0
   749,  4088,19220215,    0,    0
   749,  4088,19220216,    7,    0
   749,  4088,19220217,    0,    0
   749,  4088,19220218,    6,    0
   749,  4088,19220219,   23,    0
   749,  4088,19220220,    2,    0
   749,  4088,19220221,   91,    0
   749,  4088,19220222,   24,    0
   749,  4088,19220223,    3,    0
   749,  4088,19220224,    0,    0
   749,  4088,19220225,    0,    0
   749,  4088,19220226,   12,    0
