EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 15-03-2024
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station EMBRUN, FRANCE (STAID: 755)
Blended and updated with sources:4112 907591 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
   755,  4112,18770101,    0,    0
   755,  4112,18770102,   20,    0
   755,  4112,18770103,    0,    0
   755,  4112,18770104,    0,    0
   755,  4112,18770105,  100,    0
   755,  4112,18770106,   10,    0
   755,  4112,18770107,    0,    0
   755,  4112,18770108,   30,    0
   755,  4112,18770109,    0,    0
   755,  4112,18770110,    0,    0
   755,  4112,18770111,    0,    0
   755,  4112,18770112,   40,    0
   755,  4112,18770113,    0,    0
   755,  4112,18770114,    0,    0
   755,  4112,18770115,    0,    0
   755,  4112,18770116,    0,    0
   755,  4112,18770117,    0,    0
   755,  4112,18770118,    0,    0
   755,  4112,18770119,    0,    0
   755,  4112,18770120,    0,    0
   755,  4112,18770121,    0,    0
   755,  4112,18770122,    0,    0
   755,  4112,18770123,    0,    0
   755,  4112,18770124,    0,    0
   755,  4112,18770125,    0,    0
   755,  4112,18770126,    0,    0
   755,  4112,18770127,    0,    0
   755,  4112,18770128,    0,    0
   755,  4112,18770129,    0,    0
   755,  4112,18770130,    0,    0
   755,  4112,18770131,   80,    0
   755,  4112,18770201,    0,    0
   755,  4112,18770202,    0,    0
   755,  4112,18770203,    0,    0
   755,  4112,18770204,    0,    0
   755,  4112,18770205,    0,    0
   755,  4112,18770206,    0,    0
   755,  4112,18770207,    0,    0
   755,  4112,18770208,    0,    0
   755,  4112,18770209,    0,    0
   755,  4112,18770210,    0,    0
   755,  4112,18770211,    0,    0
   755,  4112,18770212,    0,    0
   755,  4112,18770213,    0,    0
   755,  4112,18770214,    0,    0
   755,  4112,18770215,    0,    0
   755,  4112,18770216,    0,    0
   755,  4112,18770217,   80,    0
   755,  4112,18770218,    0,    0
   755,  4112,18770219,    0,    0
   755,  4112,18770220,   50,    0
   755,  4112,18770221,   10,    0
   755,  4112,18770222,    0,    0
   755,  4112,18770223,    0,    0
   755,  4112,18770224,    0,    0
   755,  4112,18770225,    0,    0
   755,  4112,18770226,   20,    0
   755,  4112,18770227,    0,    0
   755,  4112,18770228,    0,    0
   755,  4112,18770301,    0,    0
   755,  4112,18770302,    0,    0
   755,  4112,18770303,    0,    0
   755,  4112,18770304,    0,    0
   755,  4112,18770305,   40,    0
   755,  4112,18770306,   20,    0
   755,  4112,18770307,    0,    0
   755,  4112,18770308,   10,    0
   755,  4112,18770309,    0,    0
   755,  4112,18770310,    0,    0
   755,  4112,18770311,    0,    0
   755,  4112,18770312,    0,    0
   755,  4112,18770313,    0,    0
   755,  4112,18770314,   80,    0
   755,  4112,18770315,    0,    0
   755,  4112,18770316,    0,    0
   755,  4112,18770317,    0,    0
   755,  4112,18770318,    0,    0
   755,  4112,18770319,  100,    0
   755,  4112,18770320,  230,    0
   755,  4112,18770321,   50,    0
   755,  4112,18770322,   20,    0
   755,  4112,18770323,   30,    0
   755,  4112,18770324,   30,    0
   755,  4112,18770325,  320,    0
   755,  4112,18770326,  170,    0
   755,  4112,18770327,   50,    0
   755,  4112,18770328,    0,    0
   755,  4112,18770329,   10,    0
   755,  4112,18770330,    0,    0
   755,  4112,18770331,   30,    0
   755,  4112,18770401,    0,    0
   755,  4112,18770402,    0,    0
   755,  4112,18770403,    0,    0
   755,  4112,18770404,  240,    0
   755,  4112,18770405,   80,    0
   755,  4112,18770406,    0,    0
   755,  4112,18770407,   10,    0
   755,  4112,18770408,    0,    0
   755,  4112,18770409,  170,    0
   755,  4112,18770410,    0,    0
   755,  4112,18770411,    0,    0
   755,  4112,18770412,    0,    0
   755,  4112,18770413,    0,    0
   755,  4112,18770414,    0,    0
   755,  4112,18770415,    0,    0
   755,  4112,18770416,    0,    0
   755,  4112,18770417,  200,    0
   755,  4112,18770418,  180,    0
