EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 15-03-2024
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station TARBES - OSSUN, FRANCE (STAID: 756)
Blended and updated with sources:4116 907621 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
   756,  4116,19460101,    0,    0
   756,  4116,19460102,    0,    0
   756,  4116,19460103,    0,    0
   756,  4116,19460104,    0,    0
   756,  4116,19460105,    0,    0
   756,  4116,19460106,    0,    0
   756,  4116,19460107,    0,    0
   756,  4116,19460108,    0,    0
   756,  4116,19460109,    0,    0
   756,  4116,19460110,    0,    0
   756,  4116,19460111,    0,    0
   756,  4116,19460112,  109,    0
   756,  4116,19460113,    0,    0
   756,  4116,19460114,    0,    0
   756,  4116,19460115,   10,    0
   756,  4116,19460116,   10,    0
   756,  4116,19460117,   39,    0
   756,  4116,19460118,    0,    0
   756,  4116,19460119,    0,    0
   756,  4116,19460120,    0,    0
   756,  4116,19460121,    0,    0
   756,  4116,19460122,   32,    0
   756,  4116,19460123,   89,    0
   756,  4116,19460124,    0,    0
   756,  4116,19460125,    0,    0
   756,  4116,19460126,    0,    0
   756,  4116,19460127,   48,    0
   756,  4116,19460128,    0,    0
   756,  4116,19460129,    7,    0
   756,  4116,19460130,   96,    0
   756,  4116,19460131,    0,    0
   756,  4116,19460201,    0,    0
   756,  4116,19460202,    6,    0
   756,  4116,19460203,    0,    0
   756,  4116,19460204,    5,    0
   756,  4116,19460205,  131,    0
   756,  4116,19460206,   99,    0
   756,  4116,19460207,    0,    0
   756,  4116,19460208,   43,    0
   756,  4116,19460209,   64,    0
   756,  4116,19460210,    0,    0
   756,  4116,19460211,    0,    0
   756,  4116,19460212,    0,    0
   756,  4116,19460213,    0,    0
   756,  4116,19460214,    0,    0
   756,  4116,19460215,    0,    0
   756,  4116,19460216,    0,    0
   756,  4116,19460217,    0,    0
   756,  4116,19460218,    0,    0
   756,  4116,19460219,    0,    0
   756,  4116,19460220,   12,    0
   756,  4116,19460221,   39,    0
   756,  4116,19460222,    0,    0
   756,  4116,19460223,    0,    0
   756,  4116,19460224,    9,    0
   756,  4116,19460225,    0,    0
   756,  4116,19460226,    0,    0
   756,  4116,19460227,    0,    0
   756,  4116,19460228,    0,    0
   756,  4116,19460301,   80,    0
   756,  4116,19460302,   20,    0
   756,  4116,19460303,   20,    0
   756,  4116,19460304,    2,    0
   756,  4116,19460305,    0,    0
   756,  4116,19460306,   38,    0
   756,  4116,19460307,    8,    0
   756,  4116,19460308,    3,    0
   756,  4116,19460309,    0,    0
   756,  4116,19460310,    0,    0
   756,  4116,19460311,   40,    0
   756,  4116,19460312,   34,    0
   756,  4116,19460313,    4,    0
   756,  4116,19460314,   29,    0
   756,  4116,19460315,  108,    0
   756,  4116,19460316,   80,    0
   756,  4116,19460317,    0,    0
   756,  4116,19460318,    0,    0
   756,  4116,19460319,    0,    0
   756,  4116,19460320,    0,    0
   756,  4116,19460321,    0,    0
   756,  4116,19460322,    0,    0
   756,  4116,19460323,    0,    0
   756,  4116,19460324,    0,    0
   756,  4116,19460325,    0,    0
   756,  4116,19460326,    0,    0
   756,  4116,19460327,    0,    0
   756,  4116,19460328,    0,    0
   756,  4116,19460329,   84,    0
   756,  4116,19460330,    0,    0
   756,  4116,19460331,    0,    0
   756,  4116,19460401,    0,    0
   756,  4116,19460402,    0,    0
   756,  4116,19460403,   41,    0
   756,  4116,19460404,  378,    0
   756,  4116,19460405,  161,    0
   756,  4116,19460406,   77,    0
   756,  4116,19460407,    0,    0
   756,  4116,19460408,    0,    0
   756,  4116,19460409,    0,    0
   756,  4116,19460410,    0,    0
   756,  4116,19460411,    0,    0
   756,  4116,19460412,    0,    0
   756,  4116,19460413,    0,    0
   756,  4116,19460414,    7,    0
   756,  4116,19460415,  130,    0
   756,  4116,19460416,    0,    0
   756,  4116,19460417,    0,    0
   756,  4116,19460418,  108,    0
   756,  4116,19460419,    0,    0
   756,  4116,19460420,    0,    0
   756,  4116,19460421,    0,    0
   756,  4116,19460422,  101,    0
   756,  4116,19460423,    0,    0
   756,  4116,19460424,    0,    0
   756,  4116,19460425,    0,    0
   756,  4116,19460426,   30,    0
   756,  4116,19460427,   12,    0
   756,  4116,19460428,    8,    0
   756,  4116,19460429,    0,    0
   756,  4116,19460430,    0,    0
   756,  4116,19460501,    0,    0
   756,  4116,19460502,   30,    0
   756,  4116,19460503,   55,    0
   756,  4116,19460504,  316,    0
   756,  4116,19460505,  589,    0
   756,  4116,19460506,   32,    0
   756,  4116,19460507,    0,    0
   756,  4116,19460508,    0,    0
   756,  4116,19460509,    0,    0
   756,  4116,19460510,    0,    0
   756,  4116,19460511,   17,    0
   756,  4116,19460512,   90,    0
   756,  4116,19460513,  267,    0
   756,  4116,19460514,    2,    0
   756,  4116,19460515,    6,    0
   756,  4116,19460516,    2,    0
   756,  4116,19460517,   61,    0
   756,  4116,19460518,   14,    0
   756,  4116,19460519,   28,    0
   756,  4116,19460520,   67,    0
   756,  4116,19460521,   75,    0
   756,  4116,19460522,  100,    0
   756,  4116,19460523,    0,    0
   756,  4116,19460524,   99,    0
   756,  4116,19460525,   16,    0
   756,  4116,19460526,   48,    0
   756,  4116,19460527,    9,    0
   756,  4116,19460528,  195,    0
   756,  4116,19460529,    0,    0
   756,  4116,19460530,   17,    0
   756,  4116,19460531,    4,    0
   756,  4116,19460601,   43,    0
   756,  4116,19460602,    0,    0
   756,  4116,19460603,    0,    0
   756,  4116,19460604,    0,    0
   756,  4116,19460605,    0,    0
   756,  4116,19460606,    0,    0
   756,  4116,19460607,    0,    0
   756,  4116,19460608,   44,    0
   756,  4116,19460609,   44,    0
   756,  4116,19460610,   18,    0
   756,  4116,19460611,    3,    0
   756,  4116,19460612,  152,    0
   756,  4116,19460613,  107,    0
   756,  4116,19460614,    0,    0
   756,  4116,19460615,    0,    0
   756,  4116,19460616,    0,    0
   756,  4116,19460617,    0,    0
   756,  4116,19460618,    5,    0
   756,  4116,19460619,   24,    0
   756,  4116,19460620,   58,    0
   756,  4116,19460621,   90,    0
   756,  4116,19460622,  167,    0
   756,  4116,19460623,    0,    0
   756,  4116,19460624,    0,    0
   756,  4116,19460625,    0,    0
   756,  4116,19460626,    0,    0
   756,  4116,19460627,    0,    0
   756,  4116,19460628,    0,    0
   756,  4116,19460629,    0,    0
   756,  4116,19460630,    0,    0
   756,  4116,19460701,    0,    0
   756,  4116,19460702,    0,    0
   756,  4116,19460703,    0,    0
   756,  4116,19460704,  111,    0
   756,  4116,19460705,   93,    0
   756,  4116,19460706,    7,    0
   756,  4116,19460707,    0,    0
   756,  4116,19460708,    0,    0
   756,  4116,19460709,    0,    0
   756,  4116,19460710,    0,    0
   756,  4116,19460711,    0,    0
   756,  4116,19460712,    0,    0
   756,  4116,19460713,    0,    0
   756,  4116,19460714,    0,    0
   756,  4116,19460715,    3,    0
   756,  4116,19460716,    0,    0
   756,  4116,19460717,   21,    0
   756,  4116,19460718,   23,    0
   756,  4116,19460719,    0,    0
   756,  4116,19460720,   11,    0
   756,  4116,19460721,    0,    0
   756,  4116,19460722,    0,    0
   756,  4116,19460723,    0,    0
   756,  4116,19460724,   12,    0
   756,  4116,19460725,    0,    0
   756,  4116,19460726,    1,    0
   756,  4116,19460727,   54,    0
   756,  4116,19460728,    0,    0
   756,  4116,19460729,    0,    0
   756,  4116,19460730,    0,    0
   756,  4116,19460731,    0,    0
   756,  4116,19460801,    0,    0
   756,  4116,19460802,    0,    0
   756,  4116,19460803,   30,    0
   756,  4116,19460804,    0,    0
   756,  4116,19460805,    0,    0
   756,  4116,19460806,    0,    0
   756,  4116,19460807,    0,    0
   756,  4116,19460808,    0,    0
   756,  4116,19460809,    0,    0
   756,  4116,19460810,   39,    0
   756,  4116,19460811,    0,    0
   756,  4116,19460812,   14,    0
   756,  4116,19460813,    4,    0
   756,  4116,19460814,    0,    0
   756,  4116,19460815,    0,    0
   756,  4116,19460816,   43,    0
   756,  4116,19460817,   89,    0
   756,  4116,19460818,   41,    0
   756,  4116,19460819,   11,    0
   756,  4116,19460820,    2,    0
   756,  4116,19460821,    0,    0
   756,  4116,19460822,    0,    0
   756,  4116,19460823,    5,    0
   756,  4116,19460824,   38,    0
   756,  4116,19460825,    0,    0
   756,  4116,19460826,    0,    0
   756,  4116,19460827,    0,    0
   756,  4116,19460828,    6,    0
   756,  4116,19460829,   60,    0
   756,  4116,19460830,   12,    0
   756,  4116,19460831,    0,    0
   756,  4116,19460901,   61,    0
   756,  4116,19460902,    5,    0
   756,  4116,19460903,   21,    0
   756,  4116,19460904,    4,    0
   756,  4116,19460905,    0,    0
   756,  4116,19460906,    0,    0
   756,  4116,19460907,   16,    0
   756,  4116,19460908,   22,    0
   756,  4116,19460909,    0,    0
   756,  4116,19460910,    0,    0
   756,  4116,19460911,    0,    0
   756,  4116,19460912,    0,    0
   756,  4116,19460913,    1,    0
   756,  4116,19460914,    0,    0
