EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 15-03-2024
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BASTIA, FRANCE (STAID: 758)
Blended and updated with sources:4124 907790 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
   758,  4124,19470501,    0,    0
   758,  4124,19470502,    0,    0
   758,  4124,19470503,    0,    0
   758,  4124,19470504,    0,    0
   758,  4124,19470505,    0,    0
   758,  4124,19470506,    0,    0
   758,  4124,19470507,    0,    0
   758,  4124,19470508,    0,    0
   758,  4124,19470509,    0,    0
   758,  4124,19470510,    0,    0
   758,  4124,19470511,    0,    0
   758,  4124,19470512,    0,    0
   758,  4124,19470513,    0,    0
   758,  4124,19470514,    0,    0
   758,  4124,19470515,  220,    0
   758,  4124,19470516,    0,    0
   758,  4124,19470517,    0,    0
   758,  4124,19470518,    0,    0
   758,  4124,19470519,    0,    0
   758,  4124,19470520,    0,    0
   758,  4124,19470521,  110,    0
   758,  4124,19470522,  242,    0
   758,  4124,19470523,    0,    0
   758,  4124,19470524,    0,    0
   758,  4124,19470525,    0,    0
   758,  4124,19470526,    0,    0
   758,  4124,19470527,    0,    0
   758,  4124,19470528,    0,    0
   758,  4124,19470529,    0,    0
   758,  4124,19470530,    0,    0
   758,  4124,19470531,    0,    0
   758,  4124,19470601,    0,    0
   758,  4124,19470602,    0,    0
   758,  4124,19470603,    0,    0
   758,  4124,19470604,    0,    0
   758,  4124,19470605,    0,    0
   758,  4124,19470606,    0,    0
   758,  4124,19470607,    0,    0
   758,  4124,19470608,    0,    0
   758,  4124,19470609,    0,    0
   758,  4124,19470610,    0,    0
   758,  4124,19470611,    0,    0
   758,  4124,19470612,    0,    0
   758,  4124,19470613,  215,    0
   758,  4124,19470614,    0,    0
   758,  4124,19470615,    0,    0
   758,  4124,19470616,    0,    0
   758,  4124,19470617,    0,    0
   758,  4124,19470618,    0,    0
   758,  4124,19470619,    0,    0
   758,  4124,19470620,    0,    0
   758,  4124,19470621,    0,    0
   758,  4124,19470622,    0,    0
   758,  4124,19470623,    0,    0
   758,  4124,19470624,    0,    0
   758,  4124,19470625,    0,    0
   758,  4124,19470626,    0,    0
   758,  4124,19470627,    0,    0
   758,  4124,19470628,    0,    0
   758,  4124,19470629,    0,    0
   758,  4124,19470630,    0,    0
   758,  4124,19470701,    5,    0
   758,  4124,19470702,    0,    0
   758,  4124,19470703,    0,    0
   758,  4124,19470704,    0,    0
   758,  4124,19470705,    0,    0
   758,  4124,19470706,    0,    0
   758,  4124,19470707,    0,    0
   758,  4124,19470708,   15,    0
   758,  4124,19470709,    0,    0
   758,  4124,19470710,    0,    0
   758,  4124,19470711,    0,    0
   758,  4124,19470712,    0,    0
   758,  4124,19470713,    0,    0
   758,  4124,19470714,    0,    0
   758,  4124,19470715,    0,    0
   758,  4124,19470716,    0,    0
   758,  4124,19470717,    0,    0
   758,  4124,19470718,    0,    0
   758,  4124,19470719,    0,    0
   758,  4124,19470720,    0,    0
   758,  4124,19470721,    0,    0
   758,  4124,19470722,    0,    0
   758,  4124,19470723,    0,    0
   758,  4124,19470724,    0,    0
   758,  4124,19470725,    0,    0
   758,  4124,19470726,    0,    0
   758,  4124,19470727,    0,    0
   758,  4124,19470728,    0,    0
   758,  4124,19470729,    0,    0
   758,  4124,19470730,    0,    0
   758,  4124,19470731,    0,    0
   758,  4124,19470801,    0,    0
   758,  4124,19470802,    0,    0
   758,  4124,19470803,    0,    0
   758,  4124,19470804,    0,    0
   758,  4124,19470805,    0,    0
   758,  4124,19470806,    0,    0
   758,  4124,19470807,    0,    0
   758,  4124,19470808,    0,    0
   758,  4124,19470809,    0,    0
   758,  4124,19470810,    0,    0
   758,  4124,19470811,    5,    0
   758,  4124,19470812,    0,    0
   758,  4124,19470813,    0,    0
   758,  4124,19470814,    0,    0
   758,  4124,19470815,   87,    0
   758,  4124,19470816,    7,    0
   758,  4124,19470817,    0,    0
   758,  4124,19470818,    0,    0
   758,  4124,19470819,    0,    0
   758,  4124,19470820,    0,    0
   758,  4124,19470821,    0,    0
   758,  4124,19470822,    0,    0
   758,  4124,19470823,   32,    0
   758,  4124,19470824,  411,    0
   758,  4124,19470825,  188,    0
   758,  4124,19470826,  200,    0
   758,  4124,19470827,    0,    0
   758,  4124,19470828,    0,    0
   758,  4124,19470829,    0,    0
   758,  4124,19470830,    0,    0
   758,  4124,19470831,    0,    0
   758,  4124,19470901,    4,    0
   758,  4124,19470902,   82,    0
   758,  4124,19470903,    0,    0
   758,  4124,19470904,    0,    0
   758,  4124,19470905,  511,    0
   758,  4124,19470906,    0,    0
   758,  4124,19470907,    0,    0
   758,  4124,19470908,    0,    0
   758,  4124,19470909,    0,    0
   758,  4124,19470910,    0,    0
   758,  4124,19470911,    0,    0
   758,  4124,19470912,    0,    0
   758,  4124,19470913,    0,    0
   758,  4124,19470914,    0,    0
   758,  4124,19470915,    0,    0
   758,  4124,19470916,    0,    0
   758,  4124,19470917,    0,    0
   758,  4124,19470918,    0,    0
   758,  4124,19470919,    0,    0
   758,  4124,19470920,    0,    0
   758,  4124,19470921,    0,    0
   758,  4124,19470922,    0,    0
   758,  4124,19470923,    0,    0
   758,  4124,19470924,  110,    0
   758,  4124,19470925,  440,    0
   758,  4124,19470926,    0,    0
   758,  4124,19470927,    0,    0
   758,  4124,19470928,    0,    0
   758,  4124,19470929,    0,    0
   758,  4124,19470930,    0,    0
   758,  4124,19471001,    0,    0
   758,  4124,19471002,  686,    0
   758,  4124,19471003,  565,    0
   758,  4124,19471004,    0,    0
   758,  4124,19471005,    0,    0
   758,  4124,19471006,    0,    0
   758,  4124,19471007,    0,    0
   758,  4124,19471008,   40,    0
   758,  4124,19471009,   62,    0
   758,  4124,19471010,   34,    0
   758,  4124,19471011,   31,    0
   758,  4124,19471012,    0,    0
   758,  4124,19471013,    0,    0
   758,  4124,19471014,    0,    0
   758,  4124,19471015,    0,    0
   758,  4124,19471016,    0,    0
   758,  4124,19471017,    0,    0
   758,  4124,19471018,    0,    0
   758,  4124,19471019,    0,    0
   758,  4124,19471020,    0,    0
   758,  4124,19471021,    0,    0
   758,  4124,19471022,    0,    0
   758,  4124,19471023,    0,    0
   758,  4124,19471024,   52,    0
   758,  4124,19471025,  431,    0
   758,  4124,19471026,   58,    0
   758,  4124,19471027,  178,    0
   758,  4124,19471028,  888,    0
   758,  4124,19471029,   46,    0
   758,  4124,19471030,    0,    0
   758,  4124,19471031,   45,    0
   758,  4124,19471101,   63,    0
   758,  4124,19471102,    0,    0
   758,  4124,19471103,    0,    0
   758,  4124,19471104,    0,    0
   758,  4124,19471105,    0,    0
   758,  4124,19471106,    0,    0
   758,  4124,19471107,    0,    0
   758,  4124,19471108,    0,    0
   758,  4124,19471109,    0,    0
   758,  4124,19471110,    0,    0
   758,  4124,19471111,    0,    0
   758,  4124,19471112,    0,    0
   758,  4124,19471113,    0,    0
   758,  4124,19471114,    0,    0
   758,  4124,19471115,    0,    0
   758,  4124,19471116,    0,    0
   758,  4124,19471117,    0,    0
   758,  4124,19471118,    2,    0
   758,  4124,19471119,    0,    0
   758,  4124,19471120,    0,    0
   758,  4124,19471121,    0,    0
   758,  4124,19471122,    0,    0
   758,  4124,19471123,    0,    0
   758,  4124,19471124,    0,    0
   758,  4124,19471125,   10,    0
   758,  4124,19471126,    0,    0
   758,  4124,19471127,   60,    0
   758,  4124,19471128,  283,    0
   758,  4124,19471129,  140,    0
   758,  4124,19471130,    0,    0
   758,  4124,19471201,  200,    0
   758,  4124,19471202,   20,    0
   758,  4124,19471203,  270,    0
   758,  4124,19471204,    0,    0
   758,  4124,19471205,   30,    0
   758,  4124,19471206,    0,    0
   758,  4124,19471207,    0,    0
   758,  4124,19471208,    0,    0
   758,  4124,19471209,  350,    0
   758,  4124,19471210,   75,    0
   758,  4124,19471211,    0,    0
   758,  4124,19471212,    0,    0
   758,  4124,19471213,    0,    0
   758,  4124,19471214,    0,    0
   758,  4124,19471215,   11,    0
   758,  4124,19471216,    2,    0
   758,  4124,19471217,   10,    0
   758,  4124,19471218,  387,    0
   758,  4124,19471219,    0,    0
   758,  4124,19471220,    0,    0
   758,  4124,19471221,    0,    0
   758,  4124,19471222,    0,    0
   758,  4124,19471223,    0,    0
   758,  4124,19471224,    0,    0
   758,  4124,19471225,    0,    0
   758,  4124,19471226,    0,    0
   758,  4124,19471227,    0,    0
   758,  4124,19471228,    0,    0
   758,  4124,19471229,    0,    0
   758,  4124,19471230,   38,    0
   758,  4124,19471231,   60,    0
   758,  4124,19480101,    0,    0
   758,  4124,19480102,    0,    0
   758,  4124,19480103,    0,    0
   758,  4124,19480104,    0,    0
   758,  4124,19480105,    0,    0
   758,  4124,19480106,    0,    0
   758,  4124,19480107,    0,    0
   758,  4124,19480108,    0,    0
   758,  4124,19480109,    0,    0
   758,  4124,19480110,    0,    0
   758,  4124,19480111,    0,    0
   758,  4124,19480112,    0,    0
   758,  4124,19480113,    0,    0
   758,  4124,19480114,    0,    0
   758,  4124,19480115,    0,    0
   758,  4124,19480116,  162,    0
   758,  4124,19480117,    0,    0
   758,  4124,19480118,    0,    0
   758,  4124,19480119,    0,    0
   758,  4124,19480120,   20,    0
   758,  4124,19480121,    0,    0
   758,  4124,19480122,    0,    0
   758,  4124,19480123,    0,    0
   758,  4124,19480124,    0,    0
   758,  4124,19480125,   40,    0
   758,  4124,19480126,    0,    0
   758,  4124,19480127,   65,    0
   758,  4124,19480128,   79,    0
   758,  4124,19480129,   50,    0
   758,  4124,19480130,    0,    0
   758,  4124,19480131,    0,    0
   758,  4124,19480201,    0,    0
   758,  4124,19480202,    0,    0
   758,  4124,19480203,    0,    0
   758,  4124,19480204,    0,    0
   758,  4124,19480205,    0,    0
   758,  4124,19480206,    0,    0
   758,  4124,19480207,    0,    0
   758,  4124,19480208,    0,    0
   758,  4124,19480209,    0,    0
   758,  4124,19480210,    0,    0
   758,  4124,19480211,    0,    0
   758,  4124,19480212,    0,    0
   758,  4124,19480213,    0,    0
   758,  4124,19480214,    0,    0
   758,  4124,19480215,    0,    0
   758,  4124,19480216,    0,    0
   758,  4124,19480217,    0,    0
   758,  4124,19480218,    0,    0
   758,  4124,19480219,    0,    0
   758,  4124,19480220,   38,    0
   758,  4124,19480221,  163,    0
   758,  4124,19480222,   34,    0
   758,  4124,19480223,    0,    0
   758,  4124,19480224,    0,    0
   758,  4124,19480225,    0,    0
   758,  4124,19480226,    0,    0
   758,  4124,19480227,    0,    0
   758,  4124,19480228,    0,    0
   758,  4124,19480229,    0,    0
   758,  4124,19480301,    0,    0
   758,  4124,19480302,    0,    0
   758,  4124,19480303,    0,    0
   758,  4124,19480304,    0,    0
   758,  4124,19480305,    0,    0
   758,  4124,19480306,    0,    0
   758,  4124,19480307,    0,    0
   758,  4124,19480308,    0,    0
   758,  4124,19480309,    0,    0
   758,  4124,19480310,    0,    0
   758,  4124,19480311,    0,    0
   758,  4124,19480312,    0,    0
   758,  4124,19480313,    0,    0
   758,  4124,19480314,    0,    0
   758,  4124,19480315,    0,    0
   758,  4124,19480316,    0,    0
   758,  4124,19480317,    0,    0
   758,  4124,19480318,    0,    0
   758,  4124,19480319,    0,    0
   758,  4124,19480320,    0,    0
   758,  4124,19480321,    0,    0
   758,  4124,19480322,    0,    0
   758,  4124,19480323,    0,    0
   758,  4124,19480324,    0,    0
   758,  4124,19480325,    0,    0
   758,  4124,19480326,    0,    0
   758,  4124,19480327,    0,    0
   758,  4124,19480328,    0,    0
   758,  4124,19480329,    0,    0
   758,  4124,19480330,    0,    0
   758,  4124,19480331,    4,    0
   758,  4124,19480401,    0,    0
   758,  4124,19480402,    0,    0
   758,  4124,19480403,    0,    0
   758,  4124,19480404,    0,    0
   758,  4124,19480405,    0,    0
   758,  4124,19480406,  150,    0
   758,  4124,19480407,    0,    0
   758,  4124,19480408,    0,    0
   758,  4124,19480409,    0,    0
   758,  4124,19480410,    0,    0
   758,  4124,19480411,    0,    0
   758,  4124,19480412,    0,    0
   758,  4124,19480413,    0,    0
   758,  4124,19480414,    0,    0
   758,  4124,19480415,    0,    0
   758,  4124,19480416,   63,    0
   758,  4124,19480417,    0,    0
   758,  4124,19480418,    0,    0
   758,  4124,19480419,    0,    0
   758,  4124,19480420,    0,    0
   758,  4124,19480421,    0,    0
   758,  4124,19480422,   99,    0
   758,  4124,19480423,   82,    0
   758,  4124,19480424,    0,    0
   758,  4124,19480425,   20,    0
   758,  4124,19480426,    0,    0
   758,  4124,19480427,    0,    0
   758,  4124,19480428,    0,    0
   758,  4124,19480429,    0,    0
   758,  4124,19480430,    0,    0
   758,  4124,19480501,    0,    0
   758,  4124,19480502,   20,    0
   758,  4124,19480503,    5,    0
   758,  4124,19480504,   26,    0
   758,  4124,19480505,   77,    0
   758,  4124,19480506,    0,    0
   758,  4124,19480507,    0,    0
   758,  4124,19480508,    0,    0
   758,  4124,19480509,    0,    0
   758,  4124,19480510,    0,    0
   758,  4124,19480511,    0,    0
   758,  4124,19480512,    0,    0
   758,  4124,19480513,    0,    0
   758,  4124,19480514,    0,    0
   758,  4124,19480515,    0,    0
   758,  4124,19480516,    0,    0
   758,  4124,19480517,    0,    0
   758,  4124,19480518,    0,    0
   758,  4124,19480519,   50,    0
   758,  4124,19480520,  195,    0
   758,  4124,19480521,   30,    0
   758,  4124,19480522,  141,    0
   758,  4124,19480523,   11,    0
   758,  4124,19480524,    0,    0
   758,  4124,19480525,    1,    0
   758,  4124,19480526,    0,    0
   758,  4124,19480527,    0,    0
   758,  4124,19480528,    0,    0
   758,  4124,19480529,    0,    0
   758,  4124,19480530,    0,    0
   758,  4124,19480531,    0,    0
   758,  4124,19480601,   26,    0
   758,  4124,19480602,    0,    0
   758,  4124,19480603,    0,    0
   758,  4124,19480604,    0,    0
   758,  4124,19480605,    0,    0
   758,  4124,19480606,    0,    0
   758,  4124,19480607,    0,    0
   758,  4124,19480608,    0,    0
   758,  4124,19480609,    0,    0
   758,  4124,19480610,    0,    0
   758,  4124,19480611,    0,    0
   758,  4124,19480612,    0,    0
   758,  4124,19480613,    0,    0
   758,  4124,19480614,    0,    0
   758,  4124,19480615,    0,    0
   758,  4124,19480616,    0,    0
   758,  4124,19480617,    0,    0
   758,  4124,19480618,    0,    0
   758,  4124,19480619,    0,    0
   758,  4124,19480620,    0,    0
   758,  4124,19480621,    0,    0
   758,  4124,19480622,    0,    0
   758,  4124,19480623,    0,    0
   758,  4124,19480624,    0,    0
   758,  4124,19480625,    0,    0
   758,  4124,19480626,    0,    0
   758,  4124,19480627,    0,    0
   758,  4124,19480628,    4,    0
   758,  4124,19480629,    0,    0
   758,  4124,19480630,    0,    0
   758,  4124,19480701,    0,    0
   758,  4124,19480702,    0,    0
   758,  4124,19480703,    0,    0
   758,  4124,19480704,    0,    0
   758,  4124,19480705,    0,    0
   758,  4124,19480706,    0,    0
   758,  4124,19480707,    0,    0
   758,  4124,19480708,    0,    0
   758,  4124,19480709,    0,    0
   758,  4124,19480710,    0,    0
   758,  4124,19480711,    0,    0
   758,  4124,19480712,    0,    0
   758,  4124,19480713,    0,    0
   758,  4124,19480714,    0,    0
   758,  4124,19480715,    0,    0
   758,  4124,19480716,    0,    0
   758,  4124,19480717,    0,    0
   758,  4124,19480718,    0,    0
   758,  4124,19480719,    0,    0
   758,  4124,19480720,    0,    0
   758,  4124,19480721,    0,    0
   758,  4124,19480722,    0,    0
   758,  4124,19480723,    0,    0
   758,  4124,19480724,    0,    0
   758,  4124,19480725,    0,    0
   758,  4124,19480726,    0,    0
   758,  4124,19480727,    0,    0
   758,  4124,19480728,   20,    0
   758,  4124,19480729,    0,    0
   758,  4124,19480730,    0,    0
   758,  4124,19480731,    0,    0
   758,  4124,19480801,    0,    0
   758,  4124,19480802,    0,    0
   758,  4124,19480803,    0,    0
   758,  4124,19480804,    0,    0
   758,  4124,19480805,    0,    0
   758,  4124,19480806,    0,    0
   758,  4124,19480807,    0,    0
   758,  4124,19480808,    0,    0
   758,  4124,19480809,   12,    0
   758,  4124,19480810,    0,    0
   758,  4124,19480811,    0,    0
   758,  4124,19480812,    0,    0
   758,  4124,19480813,    0,    0
   758,  4124,19480814,    0,    0
   758,  4124,19480815,    0,    0
   758,  4124,19480816,    0,    0
   758,  4124,19480817,    0,    0
   758,  4124,19480818,   93,    0
   758,  4124,19480819,    0,    0
   758,  4124,19480820,    0,    0
   758,  4124,19480821,    0,    0
   758,  4124,19480822,    0,    0
   758,  4124,19480823,    0,    0
   758,  4124,19480824,    0,    0
   758,  4124,19480825,    0,    0
   758,  4124,19480826,    0,    0
   758,  4124,19480827,    0,    0
   758,  4124,19480828,    0,    0
   758,  4124,19480829,    0,    0
   758,  4124,19480830,    0,    0
   758,  4124,19480831,    0,    0
   758,  4124,19480901,    0,    0
   758,  4124,19480902,    0,    0
   758,  4124,19480903, 1040,    0
   758,  4124,19480904,   24,    0
   758,  4124,19480905,   14,    0
   758,  4124,19480906,   69,    0
   758,  4124,19480907,    0,    0
   758,  4124,19480908,    0,    0
   758,  4124,19480909,    0,    0
   758,  4124,19480910,    0,    0
   758,  4124,19480911,    0,    0
   758,  4124,19480912,  763,    0
   758,  4124,19480913,   20,    0
   758,  4124,19480914,  145,    0
   758,  4124,19480915,  201,    0
   758,  4124,19480916,    0,    0
   758,  4124,19480917,    0,    0
   758,  4124,19480918,    0,    0
   758,  4124,19480919,    0,    0
   758,  4124,19480920,    0,    0
   758,  4124,19480921,    0,    0
   758,  4124,19480922,    0,    0
   758,  4124,19480923,    0,    0
   758,  4124,19480924,    0,    0
   758,  4124,19480925,    0,    0
   758,  4124,19480926,    0,    0
   758,  4124,19480927,    0,    0
   758,  4124,19480928,    0,    0
