EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 15-03-2024
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station PTE DE LA HAGUE, FRANCE (STAID: 793)
Blended and updated with sources:71628 907020 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
   793, 71628,18800101,   40,    0
   793, 71628,18800102,   10,    0
   793, 71628,18800103,    0,    0
   793, 71628,18800104,    0,    0
   793, 71628,18800105,    0,    0
   793, 71628,18800106,    0,    0
   793, 71628,18800107,    0,    0
   793, 71628,18800108,    0,    0
   793, 71628,18800109,    0,    0
   793, 71628,18800110,    0,    0
   793, 71628,18800111,    0,    0
   793, 71628,18800112,    0,    0
   793, 71628,18800113,    0,    0
   793, 71628,18800114,   40,    0
   793, 71628,18800115,    0,    0
   793, 71628,18800116,    0,    0
   793, 71628,18800117,  330,    0
   793, 71628,18800118,   50,    0
   793, 71628,18800119,    0,    0
   793, 71628,18800120,    0,    0
   793, 71628,18800121,    0,    0
   793, 71628,18800122,    0,    0
   793, 71628,18800123,    0,    0
   793, 71628,18800124,    0,    0
   793, 71628,18800125,    0,    0
   793, 71628,18800126,    0,    0
   793, 71628,18800127,    0,    0
   793, 71628,18800128,    0,    0
   793, 71628,18800129,    0,    0
   793, 71628,18800130,    0,    0
   793, 71628,18800131,    0,    0
   793, 71628,18800201,    0,    0
   793, 71628,18800202,    0,    0
   793, 71628,18800203,    0,    0
   793, 71628,18800204,    0,    0
   793, 71628,18800205,    0,    0
   793, 71628,18800206,    0,    0
   793, 71628,18800207,   50,    0
   793, 71628,18800208,  120,    0
   793, 71628,18800209,   30,    0
   793, 71628,18800210,   40,    0
   793, 71628,18800211,    0,    0
