EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 15-03-2024
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BASEL-MULHOUSE, FRANCE (STAID: 2192)
Blended and updated with sources:6192 85831 907299 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  2192,  6192,19470101,    0,    0
  2192,  6192,19470102,    0,    0
  2192,  6192,19470103,    0,    0
  2192,  6192,19470104,    0,    0
  2192,  6192,19470105,    0,    0
  2192,  6192,19470106,    8,    0
  2192,  6192,19470107,   10,    0
  2192,  6192,19470108,    0,    0
  2192,  6192,19470109,    0,    0
  2192,  6192,19470110,    0,    0
  2192,  6192,19470111,   14,    0
  2192,  6192,19470112,   48,    0
  2192,  6192,19470113,    8,    0
  2192,  6192,19470114,    2,    0
  2192,  6192,19470115,    0,    0
  2192,  6192,19470116,    0,    0
  2192,  6192,19470117,   22,    0
  2192,  6192,19470118,    0,    0
  2192,  6192,19470119,    0,    0
  2192,  6192,19470120,    0,    0
  2192,  6192,19470121,    0,    0
  2192,  6192,19470122,    0,    0
  2192,  6192,19470123,    0,    0
  2192,  6192,19470124,    0,    0
  2192,  6192,19470125,    0,    0
  2192,  6192,19470126,    0,    0
  2192,  6192,19470127,    0,    0
  2192,  6192,19470128,    0,    0
  2192,  6192,19470129,    0,    0
  2192,  6192,19470130,    0,    0
  2192,  6192,19470131,    0,    0
  2192,  6192,19470201,    0,    0
  2192,  6192,19470202,   10,    0
  2192,  6192,19470203,    0,    0
  2192,  6192,19470204,   10,    0
  2192,  6192,19470205,   16,    0
  2192,  6192,19470206,   20,    0
  2192,  6192,19470207,    5,    0
  2192,  6192,19470208,   10,    0
  2192,  6192,19470209,    0,    0
  2192,  6192,19470210,    0,    0
  2192,  6192,19470211,    0,    0
  2192,  6192,19470212,    0,    0
  2192,  6192,19470213,    0,    0
  2192,  6192,19470214,    0,    0
  2192,  6192,19470215,    0,    0
  2192,  6192,19470216,    0,    0
  2192,  6192,19470217,    0,    0
  2192,  6192,19470218,    0,    0
  2192,  6192,19470219,    0,    0
  2192,  6192,19470220,   20,    0
  2192,  6192,19470221,   19,    0
  2192,  6192,19470222,    3,    0
  2192,  6192,19470223,    0,    0
  2192,  6192,19470224,   22,    0
  2192,  6192,19470225,   30,    0
  2192,  6192,19470226,    0,    0
  2192,  6192,19470227,   30,    0
  2192,  6192,19470228,    4,    0
  2192,  6192,19470301,    8,    0
  2192,  6192,19470302,    0,    0
  2192,  6192,19470303,   70,    0
  2192,  6192,19470304,   55,    0
  2192,  6192,19470305,   66,    0
  2192,  6192,19470306,    4,    0
  2192,  6192,19470307,    3,    0
  2192,  6192,19470308,    0,    0
  2192,  6192,19470309,    0,    0
  2192,  6192,19470310,   52,    0
  2192,  6192,19470311,   60,    0
  2192,  6192,19470312,    5,    0
  2192,  6192,19470313,   30,    0
  2192,  6192,19470314,   15,    0
  2192,  6192,19470315,    0,    0
  2192,  6192,19470316,    0,    0
  2192,  6192,19470317,    0,    0
  2192,  6192,19470318,  140,    0
  2192,  6192,19470319,   66,    0
  2192,  6192,19470320,   53,    0
  2192,  6192,19470321,    0,    0
  2192,  6192,19470322,  182,    0
  2192,  6192,19470323,   91,    0
  2192,  6192,19470324,   21,    0
  2192,  6192,19470325,    1,    0
  2192,  6192,19470326,    0,    0
  2192,  6192,19470327,    0,    0
  2192,  6192,19470328,    0,    0
  2192,  6192,19470329,    3,    0
  2192,  6192,19470330,    0,    0
  2192,  6192,19470331,   49,    0
  2192,  6192,19470401,   21,    0
  2192,  6192,19470402,    6,    0
  2192,  6192,19470403,   30,    0
  2192,  6192,19470404,   30,    0
  2192,  6192,19470405,    0,    0
  2192,  6192,19470406,    0,    0
  2192,  6192,19470407,   20,    0
  2192,  6192,19470408,   10,    0
  2192,  6192,19470409,   11,    0
  2192,  6192,19470410,    0,    0
  2192,  6192,19470411,    0,    0
  2192,  6192,19470412,    0,    0
  2192,  6192,19470413,    0,    0
  2192,  6192,19470414,    0,    0
  2192,  6192,19470415,    0,    0
  2192,  6192,19470416,    0,    0
  2192,  6192,19470417,    0,    0
  2192,  6192,19470418,    0,    0
  2192,  6192,19470419,    0,    0
  2192,  6192,19470420,    2,    0
  2192,  6192,19470421,    0,    0
  2192,  6192,19470422,   53,    0
  2192,  6192,19470423,   27,    0
  2192,  6192,19470424,    0,    0
  2192,  6192,19470425,    0,    0
