EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 15-03-2024
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MONT-DE-MARSAN, FRANCE (STAID: 2203)
Blended and updated with sources:6203 907607 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  2203,  6203,19450101,    0,    0
  2203,  6203,19450102,    0,    0
  2203,  6203,19450103,    0,    0
  2203,  6203,19450104,    0,    0
  2203,  6203,19450105,    0,    0
  2203,  6203,19450106,    0,    0
  2203,  6203,19450107,    0,    0
  2203,  6203,19450108,    0,    0
  2203,  6203,19450109,    0,    0
  2203,  6203,19450110,    0,    0
  2203,  6203,19450111,    0,    0
  2203,  6203,19450112,    0,    0
  2203,  6203,19450113,    0,    0
  2203,  6203,19450114,    0,    0
  2203,  6203,19450115,    0,    0
  2203,  6203,19450116,    0,    0
  2203,  6203,19450117,    0,    0
  2203,  6203,19450118,    0,    0
  2203,  6203,19450119,    0,    0
  2203,  6203,19450120,    0,    0
  2203,  6203,19450121,    0,    0
  2203,  6203,19450122,    0,    0
  2203,  6203,19450123,    0,    0
  2203,  6203,19450124,    0,    0
  2203,  6203,19450125,    0,    0
  2203,  6203,19450126,    0,    0
  2203,  6203,19450127,    0,    0
  2203,  6203,19450128,    0,    0
  2203,  6203,19450129,    0,    0
  2203,  6203,19450130,    0,    0
  2203,  6203,19450131,    0,    0
  2203,  6203,19450201,    0,    0
