EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 15-03-2024
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ST-GIRONS, FRANCE (STAID: 2205)
Blended and updated with sources:6205 907627 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  2205,  6205,19490101,    0,    0
  2205,  6205,19490102,   47,    0
  2205,  6205,19490103,    0,    0
  2205,  6205,19490104,   13,    0
  2205,  6205,19490105,  355,    0
  2205,  6205,19490106,  120,    0
  2205,  6205,19490107,    0,    0
  2205,  6205,19490108,    3,    0
  2205,  6205,19490109,   27,    0
  2205,  6205,19490110,   22,    0
  2205,  6205,19490111,-9999,    9
  2205,  6205,19490112,-9999,    9
  2205,  6205,19490113,-9999,    9
  2205,  6205,19490114,-9999,    9
  2205,  6205,19490115,-9999,    9
  2205,  6205,19490116,-9999,    9
  2205,  6205,19490117,-9999,    9
  2205,  6205,19490118,    0,    0
  2205,  6205,19490119,    0,    0
  2205,  6205,19490120,    0,    0
  2205,  6205,19490121,    0,    0
  2205,  6205,19490122,   25,    0
  2205,  6205,19490123,    0,    0
  2205,  6205,19490124,    0,    0
  2205,  6205,19490125,    0,    0
  2205,  6205,19490126,    0,    0
  2205,  6205,19490127,    0,    0
  2205,  6205,19490128,    0,    0
  2205,  6205,19490129,    0,    0
  2205,  6205,19490130,    0,    0
  2205,  6205,19490131,    0,    0
  2205,  6205,19490201,    0,    0
  2205,  6205,19490202,    0,    0
  2205,  6205,19490203,    0,    0
  2205,  6205,19490204,    0,    0
  2205,  6205,19490205,    0,    0
  2205,  6205,19490206,    0,    0
  2205,  6205,19490207,    0,    0
  2205,  6205,19490208,    0,    0
  2205,  6205,19490209,    0,    0
  2205,  6205,19490210,    0,    0
  2205,  6205,19490211,    0,    0
  2205,  6205,19490212,    0,    0
  2205,  6205,19490213,   26,    0
  2205,  6205,19490214,    0,    0
  2205,  6205,19490215,    0,    0
  2205,  6205,19490216,    0,    0
  2205,  6205,19490217,    0,    0
  2205,  6205,19490218,   10,    0
  2205,  6205,19490219,   14,    0
  2205,  6205,19490220,    0,    0
  2205,  6205,19490221,    0,    0
  2205,  6205,19490222,   34,    0
  2205,  6205,19490223,    0,    0
  2205,  6205,19490224,    0,    0
  2205,  6205,19490225,    0,    0
  2205,  6205,19490226,    0,    0
  2205,  6205,19490227,    0,    0
  2205,  6205,19490228,    5,    0
  2205,  6205,19490301,    0,    0
  2205,  6205,19490302,   45,    0
  2205,  6205,19490303,    0,    0
  2205,  6205,19490304,    0,    0
  2205,  6205,19490305,   51,    0
  2205,  6205,19490306,  263,    0
  2205,  6205,19490307,  144,    0
  2205,  6205,19490308,    8,    0
  2205,  6205,19490309,    9,    0
  2205,  6205,19490310,   93,    0
  2205,  6205,19490311,   35,    0
  2205,  6205,19490312,  205,    0
  2205,  6205,19490313,    0,    0
  2205,  6205,19490314,    0,    0
  2205,  6205,19490315,    0,    0
  2205,  6205,19490316,    0,    0
  2205,  6205,19490317,    0,    0
  2205,  6205,19490318,    0,    0
  2205,  6205,19490319,   65,    0
  2205,  6205,19490320,    0,    0
  2205,  6205,19490321,    0,    0
  2205,  6205,19490322,   27,    0
  2205,  6205,19490323,    0,    0
  2205,  6205,19490324,    0,    0
  2205,  6205,19490325,    0,    0
  2205,  6205,19490326,    0,    0
  2205,  6205,19490327,    0,    0
  2205,  6205,19490328,    0,    0
  2205,  6205,19490329,    0,    0
  2205,  6205,19490330,    0,    0
  2205,  6205,19490331,    0,    0
  2205,  6205,19490401,   46,    0
  2205,  6205,19490402,  112,    0
  2205,  6205,19490403,    0,    0
  2205,  6205,19490404,    0,    0
  2205,  6205,19490405,    0,    0
  2205,  6205,19490406,    0,    0
  2205,  6205,19490407,   20,    0
  2205,  6205,19490408,    0,    0
  2205,  6205,19490409,    0,    0
  2205,  6205,19490410,    0,    0
  2205,  6205,19490411,    0,    0
  2205,  6205,19490412,    0,    0
  2205,  6205,19490413,    0,    0
  2205,  6205,19490414,    0,    0
  2205,  6205,19490415,    0,    0
  2205,  6205,19490416,    0,    0
  2205,  6205,19490417,    0,    0
  2205,  6205,19490418,    0,    0
  2205,  6205,19490419,    0,    0
  2205,  6205,19490420,    0,    0
  2205,  6205,19490421,    0,    0
  2205,  6205,19490422,  163,    0
  2205,  6205,19490423,    0,    0
  2205,  6205,19490424,   12,    0
  2205,  6205,19490425,  158,    0
  2205,  6205,19490426,   50,    0
  2205,  6205,19490427,   24,    0
  2205,  6205,19490428,    0,    0
  2205,  6205,19490429,   60,    0
  2205,  6205,19490430,  262,    0
  2205,  6205,19490501,   25,    0
  2205,  6205,19490502,-9999,    9
  2205,  6205,19490503,   72,    0
  2205,  6205,19490504,    0,    0
  2205,  6205,19490505,  164,    0
  2205,  6205,19490506,  152,    0
  2205,  6205,19490507,    0,    0
  2205,  6205,19490508,    0,    0
  2205,  6205,19490509,    0,    0
  2205,  6205,19490510,    0,    0
  2205,  6205,19490511,    0,    0
  2205,  6205,19490512,    0,    0
  2205,  6205,19490513,    0,    0
  2205,  6205,19490514,    0,    0
  2205,  6205,19490515,   28,    0
  2205,  6205,19490516,   49,    0
  2205,  6205,19490517,   69,    0
  2205,  6205,19490518,   58,    0
  2205,  6205,19490519,   19,    0
  2205,  6205,19490520,   21,    0
  2205,  6205,19490521,    0,    0
  2205,  6205,19490522,    0,    0
  2205,  6205,19490523,    5,    0
  2205,  6205,19490524,   16,    0
  2205,  6205,19490525,    0,    0
  2205,  6205,19490526,    0,    0
  2205,  6205,19490527,    0,    0
  2205,  6205,19490528,   19,    0
  2205,  6205,19490529,  134,    0
