EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 15-03-2024
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MONTPELLIER-AEROPORT, FRANCE (STAID: 2207)
Blended and updated with sources:6207 907643 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  2207,  6207,19460101,   34,    0
  2207,  6207,19460102,    0,    0
  2207,  6207,19460103,    0,    0
  2207,  6207,19460104,    0,    0
  2207,  6207,19460105,    0,    0
  2207,  6207,19460106,    0,    0
  2207,  6207,19460107,    0,    0
  2207,  6207,19460108,    0,    0
  2207,  6207,19460109,    0,    0
  2207,  6207,19460110,    0,    0
  2207,  6207,19460111,    0,    0
  2207,  6207,19460112,    0,    0
  2207,  6207,19460113,    0,    0
  2207,  6207,19460114,    0,    0
  2207,  6207,19460115,    0,    0
  2207,  6207,19460116,    0,    0
  2207,  6207,19460117,    7,    0
  2207,  6207,19460118,    0,    0
  2207,  6207,19460119,    0,    0
  2207,  6207,19460120,    0,    0
  2207,  6207,19460121,   50,    0
  2207,  6207,19460122,    0,    0
  2207,  6207,19460123,    5,    0
  2207,  6207,19460124,    0,    0
  2207,  6207,19460125,    0,    0
  2207,  6207,19460126,  374,    0
  2207,  6207,19460127,  291,    0
  2207,  6207,19460128,    0,    0
  2207,  6207,19460129,    0,    0
  2207,  6207,19460130,    0,    0
  2207,  6207,19460131,    0,    0
  2207,  6207,19460201,    0,    0
  2207,  6207,19460202,    0,    0
  2207,  6207,19460203,    0,    0
  2207,  6207,19460204,    0,    0
  2207,  6207,19460205,    0,    0
  2207,  6207,19460206,    0,    0
  2207,  6207,19460207,    0,    0
  2207,  6207,19460208,    0,    0
  2207,  6207,19460209,    0,    0
  2207,  6207,19460210,    0,    0
  2207,  6207,19460211,    0,    0
  2207,  6207,19460212,    0,    0
  2207,  6207,19460213,    0,    0
  2207,  6207,19460214,    0,    0
  2207,  6207,19460215,    0,    0
  2207,  6207,19460216,    0,    0
  2207,  6207,19460217,    0,    0
  2207,  6207,19460218,    0,    0
  2207,  6207,19460219,    0,    0
  2207,  6207,19460220,    0,    0
  2207,  6207,19460221,    0,    0
  2207,  6207,19460222,    0,    0
  2207,  6207,19460223,    0,    0
  2207,  6207,19460224,    0,    0
  2207,  6207,19460225,    0,    0
  2207,  6207,19460226,    0,    0
  2207,  6207,19460227,    0,    0
  2207,  6207,19460228,   48,    0
  2207,  6207,19460301,    0,    0
  2207,  6207,19460302,    0,    0
  2207,  6207,19460303,    0,    0
  2207,  6207,19460304,    0,    0
  2207,  6207,19460305,  181,    0
  2207,  6207,19460306,  378,    0
  2207,  6207,19460307,    0,    0
  2207,  6207,19460308,    0,    0
  2207,  6207,19460309,   13,    0
  2207,  6207,19460310,    0,    0
  2207,  6207,19460311,    0,    0
  2207,  6207,19460312,    9,    0
  2207,  6207,19460313,  152,    0
  2207,  6207,19460314,    0,    0
  2207,  6207,19460315,    0,    0
  2207,  6207,19460316,    0,    0
  2207,  6207,19460317,    0,    0
  2207,  6207,19460318,    0,    0
  2207,  6207,19460319,    0,    0
  2207,  6207,19460320,    0,    0
  2207,  6207,19460321,    0,    0
  2207,  6207,19460322,    5,    0
  2207,  6207,19460323,    0,    0
  2207,  6207,19460324,    0,    0
  2207,  6207,19460325,    0,    0
  2207,  6207,19460326,    0,    0
  2207,  6207,19460327,    0,    0
  2207,  6207,19460328,    0,    0
  2207,  6207,19460329,    0,    0
  2207,  6207,19460330,    0,    0
  2207,  6207,19460331,    1,    0
  2207,  6207,19460401,    0,    0
  2207,  6207,19460402,    0,    0
  2207,  6207,19460403,    0,    0
  2207,  6207,19460404,  240,    0
  2207,  6207,19460405,   28,    0
  2207,  6207,19460406,    4,    0
  2207,  6207,19460407,    0,    0
  2207,  6207,19460408,    0,    0
  2207,  6207,19460409,   12,    0
  2207,  6207,19460410,    0,    0
  2207,  6207,19460411,    0,    0
  2207,  6207,19460412,    0,    0
