EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 15-03-2024
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station PTE DE CHASSIRON, FRANCE (STAID: 11244)
Blended and updated with sources:71623 907314 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 11244, 71623,18840301,    0,    0
 11244, 71623,18840302,    0,    0
 11244, 71623,18840303,    0,    0
 11244, 71623,18840304,    0,    0
 11244, 71623,18840305,    0,    0
 11244, 71623,18840306,    0,    0
 11244, 71623,18840307,    0,    0
 11244, 71623,18840308,    0,    0
 11244, 71623,18840309,   10,    0
 11244, 71623,18840310,   30,    0
 11244, 71623,18840311,    0,    0
 11244, 71623,18840312,  170,    0
 11244, 71623,18840313,    0,    0
 11244, 71623,18840314,    0,    0
 11244, 71623,18840315,    0,    0
 11244, 71623,18840316,  210,    0
 11244, 71623,18840317,    0,    0
 11244, 71623,18840318,    0,    0
 11244, 71623,18840319,    0,    0
 11244, 71623,18840320,    0,    0
 11244, 71623,18840321,    0,    0
 11244, 71623,18840322,    0,    0
 11244, 71623,18840323,    0,    0
 11244, 71623,18840324,    0,    0
 11244, 71623,18840325,    0,    0
 11244, 71623,18840326,    0,    0
 11244, 71623,18840327,    0,    0
 11244, 71623,18840328,    0,    0
 11244, 71623,18840329,    0,    0
 11244, 71623,18840330,    0,    0
 11244, 71623,18840331,    0,    0
 11244, 71623,18840401,    0,    0
 11244, 71623,18840402,    0,    0
 11244, 71623,18840403,   80,    0
 11244, 71623,18840404,    0,    0
 11244, 71623,18840405,  120,    0
 11244, 71623,18840406,   20,    0
 11244, 71623,18840407,  180,    0
 11244, 71623,18840408,    0,    0
 11244, 71623,18840409,    0,    0
 11244, 71623,18840410,    0,    0
 11244, 71623,18840411,    0,    0
 11244, 71623,18840412,  160,    0
 11244, 71623,18840413,    0,    0
 11244, 71623,18840414,   40,    0
 11244, 71623,18840415,    0,    0
 11244, 71623,18840416,    0,    0
 11244, 71623,18840417,    0,    0
 11244, 71623,18840418,    0,    0
 11244, 71623,18840419,    0,    0
 11244, 71623,18840420,    0,    0
 11244, 71623,18840421,    0,    0
 11244, 71623,18840422,    0,    0
 11244, 71623,18840423,    0,    0
 11244, 71623,18840424,    0,    0
 11244, 71623,18840425,    0,    0
 11244, 71623,18840426,    0,    0
 11244, 71623,18840427,    0,    0
 11244, 71623,18840428,    0,    0
 11244, 71623,18840429,    0,    0
 11244, 71623,18840430,    0,    0
 11244, 71623,18840501,    0,    0
 11244, 71623,18840502,    0,    0
 11244, 71623,18840503,   40,    0
 11244, 71623,18840504,  140,    0
 11244, 71623,18840505,   10,    0
 11244, 71623,18840506,    0,    0
 11244, 71623,18840507,    0,    0
 11244, 71623,18840508,    0,    0
 11244, 71623,18840509,    0,    0
 11244, 71623,18840510,    0,    0
 11244, 71623,18840511,    0,    0
 11244, 71623,18840512,    0,    0
 11244, 71623,18840513,    0,    0
 11244, 71623,18840514,    0,    0
 11244, 71623,18840515,    0,    0
 11244, 71623,18840516,    0,    0
 11244, 71623,18840517,    0,    0
 11244, 71623,18840518,    0,    0
 11244, 71623,18840519,   60,    0
 11244, 71623,18840520,  750,    0
 11244, 71623,18840521,    0,    0
 11244, 71623,18840522,    0,    0
 11244, 71623,18840523,    0,    0
 11244, 71623,18840524,   60,    0
 11244, 71623,18840525,    0,    0
 11244, 71623,18840526,    0,    0
 11244, 71623,18840527,    0,    0
 11244, 71623,18840528,    0,    0
 11244, 71623,18840529,  140,    0
 11244, 71623,18840530,  110,    0
 11244, 71623,18840531,  100,    0
 11244, 71623,18840601,    0,    0
 11244, 71623,18840602,    0,    0
 11244, 71623,18840603,   20,    0
 11244, 71623,18840604,   40,    0
 11244, 71623,18840605,    0,    0
