EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 15-03-2024
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ORLY, FRANCE (STAID: 11249)
Blended and updated with sources:71644 907149 907156 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 11249, 71644,19210301,    0,    0
 11249, 71644,19210302,   25,    0
 11249, 71644,19210303,    0,    0
 11249, 71644,19210304,    3,    0
 11249, 71644,19210305,    0,    0
 11249, 71644,19210306,   19,    0
 11249, 71644,19210307,   25,    0
 11249, 71644,19210308,    0,    0
 11249, 71644,19210309,    0,    0
 11249, 71644,19210310,    0,    0
 11249, 71644,19210311,    0,    0
 11249, 71644,19210312,    0,    0
 11249, 71644,19210313,    1,    0
 11249, 71644,19210314,   38,    0
 11249, 71644,19210315,    0,    0
 11249, 71644,19210316,    0,    0
 11249, 71644,19210317,    0,    0
 11249, 71644,19210318,    4,    0
 11249, 71644,19210319,    1,    0
 11249, 71644,19210320,   40,    0
 11249, 71644,19210321,    1,    0
 11249, 71644,19210322,    0,    0
 11249, 71644,19210323,    0,    0
 11249, 71644,19210324,    0,    0
 11249, 71644,19210325,    0,    0
 11249, 71644,19210326,    0,    0
 11249, 71644,19210327,    3,    0
 11249, 71644,19210328,    3,    0
 11249, 71644,19210329,   39,    0
 11249, 71644,19210330,    1,    0
 11249, 71644,19210331,    0,    0
 11249, 71644,19210401,    0,    0
 11249, 71644,19210402,    0,    0
 11249, 71644,19210403,   71,    0
 11249, 71644,19210404,    0,    0
 11249, 71644,19210405,    7,    0
 11249, 71644,19210406,    0,    0
 11249, 71644,19210407,    0,    0
 11249, 71644,19210408,    0,    0
 11249, 71644,19210409,    1,    0
 11249, 71644,19210410,    0,    0
 11249, 71644,19210411,    0,    0
 11249, 71644,19210412,    0,    0
 11249, 71644,19210413,    0,    0
 11249, 71644,19210414,   30,    0
 11249, 71644,19210415,    2,    0
 11249, 71644,19210416,    2,    0
 11249, 71644,19210417,   90,    0
 11249, 71644,19210418,    5,    0
 11249, 71644,19210419,    9,    0
 11249, 71644,19210420,    0,    0
 11249, 71644,19210421,    0,    0
 11249, 71644,19210422,    0,    0
 11249, 71644,19210423,   16,    0
 11249, 71644,19210424,   15,    0
 11249, 71644,19210425,    0,    0
 11249, 71644,19210426,    1,    0
 11249, 71644,19210427,    0,    0
 11249, 71644,19210428,    0,    0
 11249, 71644,19210429,    0,    0
 11249, 71644,19210430,    9,    0
 11249, 71644,19210501,   49,    0
 11249, 71644,19210502,    0,    0
 11249, 71644,19210503,   25,    0
 11249, 71644,19210504,   50,    0
 11249, 71644,19210505,    0,    0
 11249, 71644,19210506,    0,    0
 11249, 71644,19210507,   43,    0
 11249, 71644,19210508,   36,    0
 11249, 71644,19210509,    0,    0
 11249, 71644,19210510,    0,    0
 11249, 71644,19210511,    1,    0
 11249, 71644,19210512,    5,    0
 11249, 71644,19210513,    0,    0
 11249, 71644,19210514,    0,    0
 11249, 71644,19210515,    1,    0
 11249, 71644,19210516,    6,    0
 11249, 71644,19210517,    0,    0
 11249, 71644,19210518,   45,    0
 11249, 71644,19210519,   14,    0
 11249, 71644,19210520,    0,    0
 11249, 71644,19210521,    0,    0
 11249, 71644,19210522,    0,    0
 11249, 71644,19210523,   54,    0
 11249, 71644,19210524,    1,    0
 11249, 71644,19210525,    0,    0
 11249, 71644,19210526,   25,    0
 11249, 71644,19210527,   19,    0
 11249, 71644,19210528,    5,    0
 11249, 71644,19210529,    0,    0
 11249, 71644,19210530,    0,    0
 11249, 71644,19210531,    0,    0
 11249, 71644,19210601,    0,    0
 11249, 71644,19210602,    0,    0
 11249, 71644,19210603,    0,    0
 11249, 71644,19210604,    2,    0
 11249, 71644,19210605,    0,    0
 11249, 71644,19210606,    0,    0
 11249, 71644,19210607,    0,    0
 11249, 71644,19210608,    0,    0
 11249, 71644,19210609,    0,    0
 11249, 71644,19210610,    0,    0
 11249, 71644,19210611,    0,    0
 11249, 71644,19210612,    0,    0
 11249, 71644,19210613,    0,    0
 11249, 71644,19210614,    0,    0
 11249, 71644,19210615,    0,    0
 11249, 71644,19210616,    0,    0
 11249, 71644,19210617,    0,    0
 11249, 71644,19210618,    0,    0
 11249, 71644,19210619,    9,    0
 11249, 71644,19210620,    0,    0
 11249, 71644,19210621,    9,    0
 11249, 71644,19210622,    0,    0
 11249, 71644,19210623,    0,    0
 11249, 71644,19210624,    0,    0
 11249, 71644,19210625,    0,    0
 11249, 71644,19210626,    0,    0
 11249, 71644,19210627,    0,    0
 11249, 71644,19210628,    0,    0
 11249, 71644,19210629,    0,    0
 11249, 71644,19210630,    0,    0
 11249, 71644,19210701,    0,    0
 11249, 71644,19210702,    0,    0
 11249, 71644,19210703,    0,    0
 11249, 71644,19210704,    0,    0
 11249, 71644,19210705,    0,    0
 11249, 71644,19210706,    0,    0
 11249, 71644,19210707,    2,    0
 11249, 71644,19210708,    0,    0
 11249, 71644,19210709,    0,    0
 11249, 71644,19210710,    0,    0
 11249, 71644,19210711,    0,    0
 11249, 71644,19210712,    0,    0
 11249, 71644,19210713,    0,    0
 11249, 71644,19210714,    0,    0
 11249, 71644,19210715,   17,    0
 11249, 71644,19210716,    0,    0
 11249, 71644,19210717,    8,    0
 11249, 71644,19210718,   38,    0
 11249, 71644,19210719,    0,    0
 11249, 71644,19210720,    0,    0
 11249, 71644,19210721,    0,    0
 11249, 71644,19210722,    0,    0
 11249, 71644,19210723,    0,    0
 11249, 71644,19210724,    0,    0
 11249, 71644,19210725,    0,    0
 11249, 71644,19210726,    0,    0
 11249, 71644,19210727,    0,    0
 11249, 71644,19210728,    0,    0
 11249, 71644,19210729,    0,    0
 11249, 71644,19210730,    0,    0
 11249, 71644,19210731,    0,    0
 11249, 71644,19210801,    0,    0
 11249, 71644,19210802,    0,    0
 11249, 71644,19210803,    0,    0
 11249, 71644,19210804,    0,    0
 11249, 71644,19210805,    0,    0
 11249, 71644,19210806,    0,    0
 11249, 71644,19210807,    0,    0
 11249, 71644,19210808,    0,    0
 11249, 71644,19210809,    0,    0
 11249, 71644,19210810,   28,    0
 11249, 71644,19210811,   60,    0
 11249, 71644,19210812,  214,    0
 11249, 71644,19210813,   67,    0
 11249, 71644,19210814,   21,    0
 11249, 71644,19210815,   11,    0
 11249, 71644,19210816,    0,    0
 11249, 71644,19210817,   46,    0
 11249, 71644,19210818,    0,    0
 11249, 71644,19210819,   38,    0
 11249, 71644,19210820,   66,    0
 11249, 71644,19210821,   75,    0
 11249, 71644,19210822,   18,    0
 11249, 71644,19210823,    0,    0
 11249, 71644,19210824,    0,    0
 11249, 71644,19210825,    0,    0
 11249, 71644,19210826,    0,    0
 11249, 71644,19210827,    0,    0
 11249, 71644,19210828,    0,    0
 11249, 71644,19210829,    0,    0
 11249, 71644,19210830,    0,    0
 11249, 71644,19210831,    0,    0
 11249, 71644,19210901,    0,    0
 11249, 71644,19210902,    0,    0
 11249, 71644,19210903,    0,    0
 11249, 71644,19210904,    0,    0
 11249, 71644,19210905,    0,    0
 11249, 71644,19210906,    0,    0
 11249, 71644,19210907,    0,    0
 11249, 71644,19210908,    0,    0
 11249, 71644,19210909,    0,    0
 11249, 71644,19210910,   13,    0
 11249, 71644,19210911,   21,    0
 11249, 71644,19210912,    0,    0
 11249, 71644,19210913,    0,    0
 11249, 71644,19210914,    0,    0
 11249, 71644,19210915,    0,    0
 11249, 71644,19210916,    1,    0
 11249, 71644,19210917,    3,    0
 11249, 71644,19210918,  208,    0
 11249, 71644,19210919,    3,    0
 11249, 71644,19210920,   31,    0
 11249, 71644,19210921,    0,    0
 11249, 71644,19210922,    0,    0
 11249, 71644,19210923,    0,    0
 11249, 71644,19210924,    0,    0
 11249, 71644,19210925,    0,    0
 11249, 71644,19210926,    0,    0
 11249, 71644,19210927,    0,    0
 11249, 71644,19210928,    0,    0
 11249, 71644,19210929,    0,    0
 11249, 71644,19210930,    0,    0
 11249, 71644,19211001,    0,    0
 11249, 71644,19211002,    0,    0
 11249, 71644,19211003,    0,    0
 11249, 71644,19211004,    0,    0
 11249, 71644,19211005,    0,    0
 11249, 71644,19211006,    0,    0
 11249, 71644,19211007,    0,    0
 11249, 71644,19211008,    0,    0
 11249, 71644,19211009,    0,    0
 11249, 71644,19211010,    0,    0
 11249, 71644,19211011,   96,    0
 11249, 71644,19211012,    0,    0
 11249, 71644,19211013,    0,    0
 11249, 71644,19211014,   13,    0
 11249, 71644,19211015,    0,    0
 11249, 71644,19211016,    0,    0
 11249, 71644,19211017,    0,    0
 11249, 71644,19211018,    0,    0
 11249, 71644,19211019,    0,    0
 11249, 71644,19211020,    3,    0
 11249, 71644,19211021,    1,    0
 11249, 71644,19211022,    4,    0
 11249, 71644,19211023,    0,    0
 11249, 71644,19211024,  132,    0
 11249, 71644,19211025,    0,    0
 11249, 71644,19211026,    0,    0
 11249, 71644,19211027,    0,    0
 11249, 71644,19211028,    2,    0
 11249, 71644,19211029,    0,    0
 11249, 71644,19211030,    2,    0
 11249, 71644,19211031,    3,    0
 11249, 71644,19211101,    0,    0
 11249, 71644,19211102,   81,    0
 11249, 71644,19211103,   16,    0
 11249, 71644,19211104,  103,    0
 11249, 71644,19211105,    0,    0
 11249, 71644,19211106,   42,    0
 11249, 71644,19211107,   48,    0
 11249, 71644,19211108,    6,    0
 11249, 71644,19211109,    0,    0
 11249, 71644,19211110,    0,    0
 11249, 71644,19211111,    0,    0
 11249, 71644,19211112,    0,    0
 11249, 71644,19211113,    0,    0
 11249, 71644,19211114,    0,    0
 11249, 71644,19211115,    1,    0
 11249, 71644,19211116,    0,    0
 11249, 71644,19211117,    0,    0
 11249, 71644,19211118,    0,    0
 11249, 71644,19211119,    0,    0
 11249, 71644,19211120,    0,    0
 11249, 71644,19211121,    0,    0
 11249, 71644,19211122,    0,    0
 11249, 71644,19211123,    0,    0
 11249, 71644,19211124,    0,    0
 11249, 71644,19211125,    0,    0
 11249, 71644,19211126,    0,    0
 11249, 71644,19211127,    0,    0
 11249, 71644,19211128,    0,    0
 11249, 71644,19211129,    0,    0
 11249, 71644,19211130,   31,    0
 11249, 71644,19211201,   56,    0
 11249, 71644,19211202,    0,    0
 11249, 71644,19211203,    0,    0
 11249, 71644,19211204,    0,    0
 11249, 71644,19211205,    0,    0
 11249, 71644,19211206,    0,    0
 11249, 71644,19211207,    3,    0
 11249, 71644,19211208,    0,    0
 11249, 71644,19211209,    3,    0
 11249, 71644,19211210,    4,    0
 11249, 71644,19211211,    3,    0
 11249, 71644,19211212,    0,    0
 11249, 71644,19211213,    0,    0
 11249, 71644,19211214,   40,    0
 11249, 71644,19211215,   15,    0
 11249, 71644,19211216,   24,    0
 11249, 71644,19211217,    4,    0
 11249, 71644,19211218,    9,    0
 11249, 71644,19211219,    0,    0
 11249, 71644,19211220,   13,    0
 11249, 71644,19211221,    0,    0
 11249, 71644,19211222,   20,    0
 11249, 71644,19211223,   30,    0
 11249, 71644,19211224,    0,    0
 11249, 71644,19211225,   38,    0
 11249, 71644,19211226,    0,    0
 11249, 71644,19211227,   10,    0
 11249, 71644,19211228,   19,    0
