EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 15-03-2024
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BOURGES, FRANCE (STAID: 32)
Blended and updated with sources:101 907255 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
    32,   101,19450301,    0,    0
    32,   101,19450302,    0,    0
    32,   101,19450303,    0,    0
    32,   101,19450304,    0,    0
    32,   101,19450305,    0,    0
    32,   101,19450306,    0,    0
    32,   101,19450307,    0,    0
    32,   101,19450308,    0,    0
    32,   101,19450309,    0,    0
    32,   101,19450310,    0,    0
    32,   101,19450311,    0,    0
    32,   101,19450312,    0,    0
    32,   101,19450313,    0,    0
    32,   101,19450314,    0,    0
    32,   101,19450315,    0,    0
    32,   101,19450316,    0,    0
    32,   101,19450317,    0,    0
    32,   101,19450318,    0,    0
    32,   101,19450319,    0,    0
    32,   101,19450320,    0,    0
    32,   101,19450321,    0,    0
    32,   101,19450322,    0,    0
    32,   101,19450323,    0,    0
    32,   101,19450324,    0,    0
    32,   101,19450325,    9,    0
    32,   101,19450326,   25,    0
    32,   101,19450327,    2,    0
    32,   101,19450328,   41,    0
    32,   101,19450329,   35,    0
    32,   101,19450330,    1,    0
    32,   101,19450331,    0,    0
    32,   101,19450401,    0,    0
    32,   101,19450402,    0,    0
    32,   101,19450403,    4,    0
    32,   101,19450404,    0,    0
    32,   101,19450405,    0,    0
    32,   101,19450406,    0,    0
    32,   101,19450407,    0,    0
    32,   101,19450408,    0,    0
    32,   101,19450409,    0,    0
    32,   101,19450410,    0,    0
    32,   101,19450411,    4,    0
    32,   101,19450412,    0,    0
    32,   101,19450413,    0,    0
    32,   101,19450414,    0,    0
    32,   101,19450415,    0,    0
    32,   101,19450416,    0,    0
    32,   101,19450417,    0,    0
    32,   101,19450418,    0,    0
    32,   101,19450419,    0,    0
    32,   101,19450420,    0,    0
    32,   101,19450421,    0,    0
    32,   101,19450422,    0,    0
    32,   101,19450423,    0,    0
    32,   101,19450424,    0,    0
    32,   101,19450425,   12,    0
    32,   101,19450426,   72,    0
    32,   101,19450427,   43,    0
    32,   101,19450428,   22,    0
    32,   101,19450429,   21,    0
    32,   101,19450430,   13,    0
    32,   101,19450501,   18,    0
    32,   101,19450502,    3,    0
    32,   101,19450503,   48,    0
    32,   101,19450504,   16,    0
    32,   101,19450505,   34,    0
    32,   101,19450506,    0,    0
    32,   101,19450507,    0,    0
    32,   101,19450508,    0,    0
    32,   101,19450509,    0,    0
    32,   101,19450510,    0,    0
    32,   101,19450511,    0,    0
    32,   101,19450512,    0,    0
    32,   101,19450513,    0,    0
    32,   101,19450514,    0,    0
    32,   101,19450515,    0,    0
    32,   101,19450516,    0,    0
    32,   101,19450517,    0,    0
    32,   101,19450518,    9,    0
    32,   101,19450519,  135,    0
    32,   101,19450520,  116,    0
    32,   101,19450521,  156,    0
    32,   101,19450522,  142,    0
    32,   101,19450523,    3,    0
    32,   101,19450524,    0,    0
    32,   101,19450525,    0,    0
    32,   101,19450526,    0,    0
    32,   101,19450527,   70,    0
    32,   101,19450528,   49,    0
    32,   101,19450529,   59,    0
    32,   101,19450530,   37,    0
    32,   101,19450531,    0,    0
    32,   101,19450601,    0,    0
    32,   101,19450602,    0,    0
    32,   101,19450603,    0,    0
    32,   101,19450604,    0,    0
    32,   101,19450605,    0,    0
    32,   101,19450606,    0,    0
    32,   101,19450607,   78,    0
    32,   101,19450608,   46,    0
    32,   101,19450609,    0,    0
    32,   101,19450610,    0,    0
    32,   101,19450611,    0,    0
    32,   101,19450612,    7,    0
    32,   101,19450613,    0,    0
    32,   101,19450614,    0,    0
    32,   101,19450615,    0,    0
    32,   101,19450616,    0,    0
    32,   101,19450617,    0,    0
    32,   101,19450618,    0,    0
    32,   101,19450619,    0,    0
    32,   101,19450620,    4,    0
    32,   101,19450621,   11,    0
    32,   101,19450622,    0,    0
    32,   101,19450623,    0,    0
    32,   101,19450624,    0,    0
    32,   101,19450625,    0,    0
    32,   101,19450626,   46,    0
    32,   101,19450627,    0,    0
    32,   101,19450628,    7,    0
    32,   101,19450629,    0,    0
    32,   101,19450630,    0,    0
    32,   101,19450701,   34,    0
    32,   101,19450702,    0,    0
    32,   101,19450703,    0,    0
    32,   101,19450704,    0,    0
    32,   101,19450705,    0,    0
    32,   101,19450706,    0,    0
    32,   101,19450707,    0,    0
    32,   101,19450708,    0,    0
    32,   101,19450709,  221,    0
    32,   101,19450710,   27,    0
    32,   101,19450711,    0,    0
    32,   101,19450712,    0,    0
    32,   101,19450713,    0,    0
    32,   101,19450714,    0,    0
    32,   101,19450715,   70,    0
    32,   101,19450716,    0,    0
    32,   101,19450717,    0,    0
    32,   101,19450718,    0,    0
    32,   101,19450719,    0,    0
    32,   101,19450720,    0,    0
    32,   101,19450721,    0,    0
    32,   101,19450722,    0,    0
    32,   101,19450723,    0,    0
    32,   101,19450724,    0,    0
    32,   101,19450725,    0,    0
    32,   101,19450726,    0,    0
    32,   101,19450727,    0,    0
    32,   101,19450728,    0,    0
    32,   101,19450729,    0,    0
    32,   101,19450730,    0,    0
    32,   101,19450731,    0,    0
    32,   101,19450801,    0,    0
    32,   101,19450802,    0,    0
    32,   101,19450803,    0,    0
    32,   101,19450804,    0,    0
    32,   101,19450805,    0,    0
    32,   101,19450806,    0,    0
    32,   101,19450807,    0,    0
    32,   101,19450808,   10,    0
    32,   101,19450809,    0,    0
    32,   101,19450810,    0,    0
    32,   101,19450811,    0,    0
    32,   101,19450812,    0,    0
    32,   101,19450813,    0,    0
    32,   101,19450814,    0,    0
    32,   101,19450815,   27,    0
    32,   101,19450816,    0,    0
    32,   101,19450817,   93,    0
    32,   101,19450818,   25,    0
    32,   101,19450819,    0,    0
    32,   101,19450820,    1,    0
    32,   101,19450821,   53,    0
    32,   101,19450822,   34,    0
    32,   101,19450823,    0,    0
    32,   101,19450824,    0,    0
    32,   101,19450825,    0,    0
    32,   101,19450826,    0,    0
    32,   101,19450827,    0,    0
    32,   101,19450828,    0,    0
    32,   101,19450829,  398,    0
    32,   101,19450830,    0,    0
    32,   101,19450831,    0,    0
    32,   101,19450901,    0,    0
    32,   101,19450902,   41,    0
    32,   101,19450903,   38,    0
    32,   101,19450904,    0,    0
    32,   101,19450905,    0,    0
    32,   101,19450906,    0,    0
    32,   101,19450907,    0,    0
    32,   101,19450908,    0,    0
    32,   101,19450909,    0,    0
    32,   101,19450910,    0,    0
    32,   101,19450911,    0,    0
    32,   101,19450912,    0,    0
    32,   101,19450913,    0,    0
    32,   101,19450914,    0,    0
    32,   101,19450915,    0,    0
    32,   101,19450916,    0,    0
    32,   101,19450917,    0,    0
    32,   101,19450918,  191,    0
    32,   101,19450919,   19,    0
    32,   101,19450920,    0,    0
