EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 15-03-2024
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BORDEAUX-MERIGNAC, FRANCE (STAID: 34)
Blended and updated with sources:109 907510 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
    34,   109,19201101,-9999,    9
    34,   109,19201102,-9999,    9
    34,   109,19201103,-9999,    9
    34,   109,19201104,-9999,    9
    34,   109,19201105,-9999,    9
    34,   109,19201106,-9999,    9
    34,   109,19201107,-9999,    9
    34,   109,19201108,-9999,    9
    34,   109,19201109,    0,    0
    34,   109,19201110,    0,    0
    34,   109,19201111,    0,    0
    34,   109,19201112,    2,    0
    34,   109,19201113,    0,    0
    34,   109,19201114,    0,    0
    34,   109,19201115,    5,    0
    34,   109,19201116,    2,    0
    34,   109,19201117,    3,    0
    34,   109,19201118,    0,    0
    34,   109,19201119,    0,    0
    34,   109,19201120,    0,    0
    34,   109,19201121,    0,    0
    34,   109,19201122,    0,    0
    34,   109,19201123,    0,    0
    34,   109,19201124,    0,    0
    34,   109,19201125,    0,    0
    34,   109,19201126,    0,    0
    34,   109,19201127,    3,    0
    34,   109,19201128,    3,    0
    34,   109,19201129,    2,    0
    34,   109,19201130,    4,    0
    34,   109,19201201,    9,    0
    34,   109,19201202,    0,    0
    34,   109,19201203,    8,    0
    34,   109,19201204,    5,    0
    34,   109,19201205,    2,    0
    34,   109,19201206,    0,    0
    34,   109,19201207,    0,    0
    34,   109,19201208,    0,    0
    34,   109,19201209,    0,    0
    34,   109,19201210,    0,    0
    34,   109,19201211,    0,    0
    34,   109,19201212,    0,    0
    34,   109,19201213,    1,    0
    34,   109,19201214,    1,    0
    34,   109,19201215,    0,    0
    34,   109,19201216,    0,    0
    34,   109,19201217,    2,    0
    34,   109,19201218,    0,    0
    34,   109,19201219,    2,    0
    34,   109,19201220,    0,    0
    34,   109,19201221,    4,    0
    34,   109,19201222,   15,    0
    34,   109,19201223,    3,    0
    34,   109,19201224,    0,    0
    34,   109,19201225,    0,    0
    34,   109,19201226,    0,    0
    34,   109,19201227,    0,    0
    34,   109,19201228,   65,    0
    34,   109,19201229,    0,    0
    34,   109,19201230,    0,    0
    34,   109,19201231,    0,    0
    34,   109,19210101,    0,    0
    34,   109,19210102,   16,    0
    34,   109,19210103,    0,    0
    34,   109,19210104,    0,    0
    34,   109,19210105,    0,    0
    34,   109,19210106,    0,    0
    34,   109,19210107,  120,    0
    34,   109,19210108,    0,    0
    34,   109,19210109,   19,    0
    34,   109,19210110,   30,    0
    34,   109,19210111,   10,    0
    34,   109,19210112,   35,    0
    34,   109,19210113,   78,    0
    34,   109,19210114,    0,    0
    34,   109,19210115,   12,    0
    34,   109,19210116,    0,    0
    34,   109,19210117,   22,    0
    34,   109,19210118,   33,    0
    34,   109,19210119,    0,    0
    34,   109,19210120,    0,    0
    34,   109,19210121,    0,    0
    34,   109,19210122,    0,    0
    34,   109,19210123,    0,    0
    34,   109,19210124,    0,    0
    34,   109,19210125,    0,    0
    34,   109,19210126,    0,    0
    34,   109,19210127,    0,    0
    34,   109,19210128,   15,    0
    34,   109,19210129,    0,    0
    34,   109,19210130,   85,    0
    34,   109,19210131,  175,    0
    34,   109,19210201,  115,    0
    34,   109,19210202,   85,    0
    34,   109,19210203,    0,    0
    34,   109,19210204,   35,    0
    34,   109,19210205,    0,    0
    34,   109,19210206,    0,    0
    34,   109,19210207,    0,    0
    34,   109,19210208,    0,    0
    34,   109,19210209,    0,    0
    34,   109,19210210,    0,    0
    34,   109,19210211,    0,    0
    34,   109,19210212,    0,    0
    34,   109,19210213,    0,    0
    34,   109,19210214,    0,    0
    34,   109,19210215,    0,    0
    34,   109,19210216,    0,    0
