EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 15-03-2024
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MARIGNANE, FRANCE (STAID: 39)
Blended and updated with sources:4890 907650 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
    39,  4890,19210101,    0,    0
    39,  4890,19210102,    0,    0
    39,  4890,19210103,    0,    0
    39,  4890,19210104,    0,    0
    39,  4890,19210105,    0,    0
    39,  4890,19210106,    0,    0
    39,  4890,19210107,    0,    0
    39,  4890,19210108,    0,    0
    39,  4890,19210109,    0,    0
    39,  4890,19210110,    0,    0
    39,  4890,19210111,    0,    0
    39,  4890,19210112,    0,    0
    39,  4890,19210113,    0,    0
    39,  4890,19210114,    5,    0
    39,  4890,19210115,    0,    0
    39,  4890,19210116,    0,    0
    39,  4890,19210117,    0,    0
    39,  4890,19210118,    0,    0
    39,  4890,19210119,    0,    0
    39,  4890,19210120,    0,    0
    39,  4890,19210121,    0,    0
    39,  4890,19210122,    0,    0
    39,  4890,19210123,    0,    0
    39,  4890,19210124,    0,    0
    39,  4890,19210125,    0,    0
    39,  4890,19210126,    0,    0
    39,  4890,19210127,    0,    0
    39,  4890,19210128,    0,    0
    39,  4890,19210129,    5,    0
    39,  4890,19210130,   12,    0
    39,  4890,19210131,-9999,    9
    39,  4890,19210201,   17,    0
    39,  4890,19210202,    4,    0
    39,  4890,19210203,    8,    0
    39,  4890,19210204,    0,    0
    39,  4890,19210205,    7,    0
    39,  4890,19210206,  137,    0
    39,  4890,19210207,    5,    0
    39,  4890,19210208,    0,    0
    39,  4890,19210209,    0,    0
    39,  4890,19210210,    5,    0
    39,  4890,19210211,    4,    0
    39,  4890,19210212,    0,    0
    39,  4890,19210213,    0,    0
    39,  4890,19210214,    0,    0
    39,  4890,19210215,    0,    0
    39,  4890,19210216,    0,    0
    39,  4890,19210217,    0,    0
    39,  4890,19210218,    0,    0
    39,  4890,19210219,    0,    0
    39,  4890,19210220,    0,    0
    39,  4890,19210221,    0,    0
    39,  4890,19210222,    0,    0
    39,  4890,19210223,    0,    0
    39,  4890,19210224,    0,    0
    39,  4890,19210225,    0,    0
    39,  4890,19210226,    0,    0
    39,  4890,19210227,    0,    0
    39,  4890,19210228,    0,    0
    39,  4890,19210301,    0,    0
    39,  4890,19210302,    0,    0
    39,  4890,19210303,    0,    0
    39,  4890,19210304,    0,    0
    39,  4890,19210305,    0,    0
    39,  4890,19210306,  100,    0
    39,  4890,19210307,    0,    0
    39,  4890,19210308,   20,    0
    39,  4890,19210309,    0,    0
    39,  4890,19210310,    0,    0
    39,  4890,19210311,    0,    0
    39,  4890,19210312,    0,    0
    39,  4890,19210313,    0,    0
    39,  4890,19210314,    0,    0
    39,  4890,19210315,  130,    0
    39,  4890,19210316,    0,    0
