EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 15-03-2024
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LUXEMBOURG AIRPORT, LUXEMBOURG (STAID: 203)
Blended and updated with sources:635 906590 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
   203,   635,19470101,    0,    0
   203,   635,19470102,    0,    0
   203,   635,19470103,    0,    0
   203,   635,19470104,    0,    0
   203,   635,19470105,    0,    0
   203,   635,19470106,    0,    0
   203,   635,19470107,   22,    0
   203,   635,19470108,   36,    0
   203,   635,19470109,    7,    0
   203,   635,19470110,   17,    0
   203,   635,19470111,   86,    0
   203,   635,19470112,   30,    0
   203,   635,19470113,   59,    0
   203,   635,19470114,   50,    0
   203,   635,19470115,    5,    0
   203,   635,19470116,    0,    0
   203,   635,19470117,    7,    0
   203,   635,19470118,    0,    0
   203,   635,19470119,    0,    0
   203,   635,19470120,    0,    0
   203,   635,19470121,    1,    0
   203,   635,19470122,    0,    0
   203,   635,19470123,    0,    0
   203,   635,19470124,    0,    0
   203,   635,19470125,    0,    0
   203,   635,19470126,    0,    0
   203,   635,19470127,   14,    0
   203,   635,19470128,    0,    0
   203,   635,19470129,    0,    0
   203,   635,19470130,    0,    0
   203,   635,19470131,    0,    0
   203,   635,19470201,    0,    0
   203,   635,19470202,   30,    0
   203,   635,19470203,   60,    0
   203,   635,19470204,    0,    0
   203,   635,19470205,    0,    0
   203,   635,19470206,    3,    0
   203,   635,19470207,    0,    0
   203,   635,19470208,   50,    0
   203,   635,19470209,    8,    0
   203,   635,19470210,   16,    0
   203,   635,19470211,    0,    0
   203,   635,19470212,    0,    0
   203,   635,19470213,    0,    0
