EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 15-03-2024
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station RENNES-ST JACQUES, FRANCE (STAID: 322)
Blended and updated with sources:4924 907130 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
   322,  4924,19441101,    0,    0
   322,  4924,19441102,    0,    0
   322,  4924,19441103,    0,    0
   322,  4924,19441104,   94,    0
   322,  4924,19441105,    0,    0
   322,  4924,19441106,   31,    0
   322,  4924,19441107,   27,    0
   322,  4924,19441108,   29,    0
   322,  4924,19441109,    0,    0
   322,  4924,19441110,   70,    0
   322,  4924,19441111,   62,    0
   322,  4924,19441112,   62,    0
   322,  4924,19441113,   19,    0
   322,  4924,19441114,    0,    0
   322,  4924,19441115,   14,    0
   322,  4924,19441116,    2,    0
   322,  4924,19441117,   20,    0
   322,  4924,19441118,   90,    0
   322,  4924,19441119,    2,    0
   322,  4924,19441120,   51,    0
   322,  4924,19441121,  108,    0
   322,  4924,19441122,   35,    0
   322,  4924,19441123,   28,    0
   322,  4924,19441124,    1,    0
   322,  4924,19441125,   17,    0
   322,  4924,19441126,    0,    0
   322,  4924,19441127,   96,    0
   322,  4924,19441128,    0,    0
   322,  4924,19441129,    0,    0
   322,  4924,19441130,    0,    0
   322,  4924,19441201,    5,    0
   322,  4924,19441202,    3,    0
   322,  4924,19441203,   34,    0
   322,  4924,19441204,   77,    0
   322,  4924,19441205,    0,    0
   322,  4924,19441206,   80,    0
   322,  4924,19441207,   37,    0
   322,  4924,19441208,   84,    0
   322,  4924,19441209,   37,    0
   322,  4924,19441210,    9,    0
   322,  4924,19441211,    0,    0
   322,  4924,19441212,    1,    0
   322,  4924,19441213,    0,    0
   322,  4924,19441214,    1,    0
   322,  4924,19441215,  186,    0
   322,  4924,19441216,  112,    0
   322,  4924,19441217,   22,    0
   322,  4924,19441218,    0,    0
   322,  4924,19441219,    0,    0
   322,  4924,19441220,    0,    0
   322,  4924,19441221,    5,    0
   322,  4924,19441222,    0,    0
   322,  4924,19441223,    0,    0
   322,  4924,19441224,    0,    0
   322,  4924,19441225,    0,    0
   322,  4924,19441226,    0,    0
   322,  4924,19441227,    0,    0
   322,  4924,19441228,    0,    0
   322,  4924,19441229,    0,    0
   322,  4924,19441230,    0,    0
   322,  4924,19441231,    0,    0
   322,  4924,19450101,    0,    0
   322,  4924,19450102,    2,    0
   322,  4924,19450103,    6,    0
   322,  4924,19450104,   19,    0
   322,  4924,19450105,    0,    0
   322,  4924,19450106,   11,    0
   322,  4924,19450107,    5,    0
   322,  4924,19450108,   69,    0
   322,  4924,19450109,   48,    0
   322,  4924,19450110,   39,    0
   322,  4924,19450111,   10,    0
   322,  4924,19450112,   73,    0
   322,  4924,19450113,    0,    0
   322,  4924,19450114,    0,    0
   322,  4924,19450115,    0,    0
   322,  4924,19450116,    5,    0
   322,  4924,19450117,    2,    0
   322,  4924,19450118,   45,    0
   322,  4924,19450119,   52,    0
   322,  4924,19450120,   34,    0
   322,  4924,19450121,   10,    0
   322,  4924,19450122,   52,    0
   322,  4924,19450123,   43,    0
   322,  4924,19450124,   73,    0
   322,  4924,19450125,    0,    0
   322,  4924,19450126,   67,    0
   322,  4924,19450127,    1,    0
   322,  4924,19450128,    0,    0
   322,  4924,19450129,    6,    0
   322,  4924,19450130,   76,    0
   322,  4924,19450131,   28,    0
   322,  4924,19450201,    0,    0
   322,  4924,19450202,   16,    0
   322,  4924,19450203,   47,    0
   322,  4924,19450204,   46,    0
   322,  4924,19450205,    0,    0
   322,  4924,19450206,   21,    0
   322,  4924,19450207,    2,    0
   322,  4924,19450208,   39,    0
   322,  4924,19450209,   52,    0
   322,  4924,19450210,   88,    0
   322,  4924,19450211,   27,    0
   322,  4924,19450212,    0,    0
   322,  4924,19450213,   13,    0
   322,  4924,19450214,    0,    0
   322,  4924,19450215,    0,    0
   322,  4924,19450216,    0,    0
   322,  4924,19450217,    6,    0
   322,  4924,19450218,    4,    0
   322,  4924,19450219,    0,    0
   322,  4924,19450220,    0,    0
   322,  4924,19450221,    0,    0
   322,  4924,19450222,    0,    0
   322,  4924,19450223,    0,    0
   322,  4924,19450224,    0,    0
   322,  4924,19450225,    0,    0
   322,  4924,19450226,    0,    0
   322,  4924,19450227,    0,    0
   322,  4924,19450228,    0,    0
