EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 15-03-2024
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ABBEVILLE, FRANCE (STAID: 736)
Blended and updated with sources:4036 907005 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
   736,  4036,19220501,   50,    0
   736,  4036,19220502,   14,    0
   736,  4036,19220503,   90,    0
   736,  4036,19220504,    0,    0
   736,  4036,19220505,    0,    0
   736,  4036,19220506,    0,    0
   736,  4036,19220507,    0,    0
   736,  4036,19220508,    0,    0
   736,  4036,19220509,    0,    0
   736,  4036,19220510,    0,    0
   736,  4036,19220511,    0,    0
   736,  4036,19220512,    0,    0
   736,  4036,19220513,    0,    0
   736,  4036,19220514,    0,    0
   736,  4036,19220515,    0,    0
   736,  4036,19220516,    0,    0
   736,  4036,19220517,   49,    0
   736,  4036,19220518,    0,    0
   736,  4036,19220519,    0,    0
   736,  4036,19220520,    0,    0
   736,  4036,19220521,    0,    0
   736,  4036,19220522,    0,    0
   736,  4036,19220523,    0,    0
   736,  4036,19220524,    0,    0
   736,  4036,19220525,    0,    0
   736,  4036,19220526,    0,    0
   736,  4036,19220527,    0,    0
   736,  4036,19220528,    0,    0
   736,  4036,19220529,    0,    0
   736,  4036,19220530,    0,    0
   736,  4036,19220531,    0,    0
   736,  4036,19220601,    0,    0
   736,  4036,19220602,   24,    0
   736,  4036,19220603,    0,    0
   736,  4036,19220604,    0,    0
   736,  4036,19220605,    0,    0
   736,  4036,19220606,    0,    0
   736,  4036,19220607,   93,    0
   736,  4036,19220608,   16,    0
   736,  4036,19220609,   24,    0
   736,  4036,19220610,    0,    0
   736,  4036,19220611,    0,    0
   736,  4036,19220612,    0,    0
   736,  4036,19220613,    4,    0
   736,  4036,19220614,    0,    0
   736,  4036,19220615,    0,    0
   736,  4036,19220616,    0,    0
   736,  4036,19220617,    0,    0
   736,  4036,19220618,    0,    0
   736,  4036,19220619,    0,    0
   736,  4036,19220620,    0,    0
   736,  4036,19220621,    0,    0
   736,  4036,19220622,    0,    0
   736,  4036,19220623,    8,    0
   736,  4036,19220624,    5,    0
   736,  4036,19220625,   54,    0
   736,  4036,19220626,   52,    0
   736,  4036,19220627,    0,    0
   736,  4036,19220628,   85,    0
   736,  4036,19220629,    5,    0
   736,  4036,19220630,    0,    0
   736,  4036,19220701,   17,    0
   736,  4036,19220702,    0,    0
   736,  4036,19220703,    7,    0
   736,  4036,19220704,    9,    0
   736,  4036,19220705,   22,    0
   736,  4036,19220706,    3,    0
   736,  4036,19220707,    0,    0
   736,  4036,19220708,    0,    0
   736,  4036,19220709,   70,    0
   736,  4036,19220710,    0,    0
   736,  4036,19220711,    0,    0
   736,  4036,19220712,    0,    0
   736,  4036,19220713,    6,    0
   736,  4036,19220714,   58,    0
