EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 15-03-2024
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station CAEN-CARPIQUET, FRANCE (STAID: 738)
Blended and updated with sources:4044 907027 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
   738,  4044,19441001,-9999,    9
   738,  4044,19441002,-9999,    9
   738,  4044,19441003,-9999,    9
   738,  4044,19441004,-9999,    9
   738,  4044,19441005,-9999,    9
   738,  4044,19441006,-9999,    9
   738,  4044,19441007,-9999,    9
   738,  4044,19441008,-9999,    9
   738,  4044,19441009,-9999,    9
   738,  4044,19441010,-9999,    9
   738,  4044,19441011,-9999,    9
   738,  4044,19441012,-9999,    9
   738,  4044,19441013,   25,    0
   738,  4044,19441014,   72,    0
   738,  4044,19441015,  205,    0
   738,  4044,19441016,   89,    0
   738,  4044,19441017,    5,    0
   738,  4044,19441018,   66,    0
   738,  4044,19441019,    3,    0
   738,  4044,19441020,   45,    0
   738,  4044,19441021,   25,    0
   738,  4044,19441022,   73,    0
   738,  4044,19441023,   69,    0
   738,  4044,19441024,   16,    0
   738,  4044,19441025,    0,    0
   738,  4044,19441026,   12,    0
   738,  4044,19441027,   13,    0
   738,  4044,19441028,   35,    0
   738,  4044,19441029,    0,    0
   738,  4044,19441030,  120,    0
   738,  4044,19441031,   32,    0
   738,  4044,19441101,    0,    0
   738,  4044,19441102,    9,    0
   738,  4044,19441103,    7,    0
   738,  4044,19441104,    0,    0
   738,  4044,19441105,   68,    0
   738,  4044,19441106,   18,    0
   738,  4044,19441107,  294,    0
   738,  4044,19441108,  100,    0
   738,  4044,19441109,   11,    0
   738,  4044,19441110,   12,    0
   738,  4044,19441111,   34,    0
   738,  4044,19441112,  126,    0
   738,  4044,19441113,  143,    0
   738,  4044,19441114,   27,    0
   738,  4044,19441115,   11,    0
   738,  4044,19441116,   36,    0
   738,  4044,19441117,    0,    0
   738,  4044,19441118,    0,    0
   738,  4044,19441119,  145,    0
   738,  4044,19441120,   81,    0
   738,  4044,19441121,   47,    0
   738,  4044,19441122,  137,    0
   738,  4044,19441123,    9,    0
   738,  4044,19441124,   68,    0
   738,  4044,19441125,   86,    0
   738,  4044,19441126,   38,    0
   738,  4044,19441127,    0,    0
   738,  4044,19441128,   41,    0
   738,  4044,19441129,    0,    0
   738,  4044,19441130,    4,    0
   738,  4044,19441201,    0,    0
   738,  4044,19441202,   19,    0
   738,  4044,19441203,   20,    0
   738,  4044,19441204,   38,    0
   738,  4044,19441205,   86,    0
   738,  4044,19441206,    6,    0
   738,  4044,19441207,  114,    0
   738,  4044,19441208,   18,    0
   738,  4044,19441209,   56,    0
   738,  4044,19441210,   24,    0
   738,  4044,19441211,   50,    0
   738,  4044,19441212,   11,    0
   738,  4044,19441213,    0,    0
   738,  4044,19441214,    0,    0
   738,  4044,19441215,    3,    0
   738,  4044,19441216,   40,    0
   738,  4044,19441217,   17,    0
   738,  4044,19441218,    1,    0
   738,  4044,19441219,    1,    0
   738,  4044,19441220,    0,    0
   738,  4044,19441221,   23,    0
   738,  4044,19441222,   18,    0
   738,  4044,19441223,    0,    0
   738,  4044,19441224,    0,    0
   738,  4044,19441225,    0,    0
   738,  4044,19441226,    0,    0
   738,  4044,19441227,    0,    0
   738,  4044,19441228,    0,    0
   738,  4044,19441229,    0,    0
   738,  4044,19441230,   32,    0
   738,  4044,19441231,    0,    0
   738,  4044,19450101,    0,    0
   738,  4044,19450102,    0,    0
   738,  4044,19450103,  223,    0
   738,  4044,19450104,    1,    0
   738,  4044,19450105,    0,    0
   738,  4044,19450106,    0,    0
   738,  4044,19450107,    6,    0
   738,  4044,19450108,   34,    0
   738,  4044,19450109,   63,    0
   738,  4044,19450110,   41,    0
   738,  4044,19450111,   18,    0
   738,  4044,19450112,  107,    0
   738,  4044,19450113,    0,    0
   738,  4044,19450114,    0,    0
   738,  4044,19450115,    0,    0
   738,  4044,19450116,    4,    0
   738,  4044,19450117,    0,    0
   738,  4044,19450118,   41,    0
   738,  4044,19450119,   50,    0
   738,  4044,19450120,  112,    0
   738,  4044,19450121,    4,    0
   738,  4044,19450122,    0,    0
   738,  4044,19450123,   15,    0
   738,  4044,19450124,    0,    0
   738,  4044,19450125,    0,    0
   738,  4044,19450126,   13,    0
   738,  4044,19450127,    0,    0
   738,  4044,19450128,    0,    0
   738,  4044,19450129,   48,    0
   738,  4044,19450130,    1,    0
   738,  4044,19450131,   15,    0
   738,  4044,19450201,    0,    0
   738,  4044,19450202,    0,    0
   738,  4044,19450203,   21,    0
   738,  4044,19450204,   18,    0
   738,  4044,19450205,    6,    0
   738,  4044,19450206,   21,    0
   738,  4044,19450207,    7,    0
   738,  4044,19450208,   75,    0
   738,  4044,19450209,   50,    0
   738,  4044,19450210,   24,    0
   738,  4044,19450211,   99,    0
   738,  4044,19450212,    0,    0
   738,  4044,19450213,   13,    0
   738,  4044,19450214,    0,    0
   738,  4044,19450215,    0,    0
   738,  4044,19450216,    0,    0
   738,  4044,19450217,    5,    0
   738,  4044,19450218,    0,    0
   738,  4044,19450219,    0,    0
   738,  4044,19450220,    0,    0
