EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 15-03-2024
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ALENCON, FRANCE (STAID: 740)
Blended and updated with sources:4052 907139 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
   740,  4052,19450801,    0,    0
   740,  4052,19450802,    0,    0
   740,  4052,19450803,    0,    0
   740,  4052,19450804,    0,    0
   740,  4052,19450805,    0,    0
   740,  4052,19450806,    0,    0
   740,  4052,19450807,    3,    0
   740,  4052,19450808,    0,    0
   740,  4052,19450809,    0,    0
   740,  4052,19450810,    0,    0
   740,  4052,19450811,    0,    0
   740,  4052,19450812,    0,    0
   740,  4052,19450813,    0,    0
   740,  4052,19450814,   30,    0
   740,  4052,19450815,    0,    0
   740,  4052,19450816,    0,    0
   740,  4052,19450817,   51,    0
   740,  4052,19450818,    0,    0
   740,  4052,19450819,    6,    0
   740,  4052,19450820,   19,    0
   740,  4052,19450821,  112,    0
   740,  4052,19450822,  126,    0
   740,  4052,19450823,    0,    0
   740,  4052,19450824,    0,    0
   740,  4052,19450825,    0,    0
   740,  4052,19450826,    0,    0
   740,  4052,19450827,    0,    0
   740,  4052,19450828,   43,    0
   740,  4052,19450829,   21,    0
   740,  4052,19450830,   18,    0
   740,  4052,19450831,    1,    0
   740,  4052,19450901,   44,    0
   740,  4052,19450902,  136,    0
   740,  4052,19450903,   56,    0
   740,  4052,19450904,   42,    0
   740,  4052,19450905,    0,    0
   740,  4052,19450906,    0,    0
   740,  4052,19450907,    0,    0
   740,  4052,19450908,    5,    0
   740,  4052,19450909,    0,    0
   740,  4052,19450910,    5,    0
   740,  4052,19450911,    0,    0
   740,  4052,19450912,    0,    0
   740,  4052,19450913,    0,    0
   740,  4052,19450914,   38,    0
   740,  4052,19450915,    6,    0
   740,  4052,19450916,    0,    0
   740,  4052,19450917,   20,    0
   740,  4052,19450918,    9,    0
   740,  4052,19450919,    0,    0
   740,  4052,19450920,    1,    0
   740,  4052,19450921,    0,    0
   740,  4052,19450922,   18,    0
   740,  4052,19450923,   12,    0
   740,  4052,19450924,   31,    0
   740,  4052,19450925,    0,    0
   740,  4052,19450926,    0,    0
   740,  4052,19450927,    0,    0
   740,  4052,19450928,    0,    0
   740,  4052,19450929,    0,    0
   740,  4052,19450930,    0,    0
   740,  4052,19451001,    0,    0
   740,  4052,19451002,    0,    0
   740,  4052,19451003,    0,    0
   740,  4052,19451004,    0,    0
   740,  4052,19451005,    0,    0
   740,  4052,19451006,    0,    0
   740,  4052,19451007,    0,    0
   740,  4052,19451008,    0,    0
   740,  4052,19451009,    0,    0
   740,  4052,19451010,    0,    0
   740,  4052,19451011,    0,    0
   740,  4052,19451012,    0,    0
   740,  4052,19451013,    0,    0
   740,  4052,19451014,    0,    0
   740,  4052,19451015,    0,    0
   740,  4052,19451016,    0,    0
   740,  4052,19451017,    0,    0
   740,  4052,19451018,    0,    0
   740,  4052,19451019,    0,    0
   740,  4052,19451020,   17,    0
   740,  4052,19451021,   24,    0
   740,  4052,19451022,    0,    0
   740,  4052,19451023,   10,    0
   740,  4052,19451024,   35,    0
   740,  4052,19451025,   20,    0
   740,  4052,19451026,   16,    0
   740,  4052,19451027,   17,    0
   740,  4052,19451028,   10,    0
   740,  4052,19451029,    0,    0
   740,  4052,19451030,    0,    0
   740,  4052,19451031,    0,    0
   740,  4052,19451101,    0,    0
   740,  4052,19451102,    0,    0
   740,  4052,19451103,    0,    0
   740,  4052,19451104,    0,    0
   740,  4052,19451105,    0,    0
   740,  4052,19451106,    0,    0
   740,  4052,19451107,    0,    0
   740,  4052,19451108,   27,    0
   740,  4052,19451109,    7,    0
   740,  4052,19451110,    0,    0
   740,  4052,19451111,    0,    0
   740,  4052,19451112,   24,    0
   740,  4052,19451113,    5,    0
   740,  4052,19451114,    0,    0
   740,  4052,19451115,    0,    0
   740,  4052,19451116,  106,    0
   740,  4052,19451117,    0,    0
   740,  4052,19451118,    0,    0
   740,  4052,19451119,    0,    0
   740,  4052,19451120,    0,    0
   740,  4052,19451121,    0,    0
   740,  4052,19451122,    0,    0
