EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 15-03-2024
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NANTES-BOUGUENAIS, FRANCE (STAID: 742)
Blended and updated with sources:4060 907222 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
   742,  4060,19450501,    0,    0
   742,  4060,19450502,    7,    0
   742,  4060,19450503,   87,    0
   742,  4060,19450504,   34,    0
   742,  4060,19450505,   32,    0
   742,  4060,19450506,    0,    0
   742,  4060,19450507,    0,    0
   742,  4060,19450508,    0,    0
   742,  4060,19450509,    0,    0
   742,  4060,19450510,    0,    0
   742,  4060,19450511,    0,    0
   742,  4060,19450512,    0,    0
   742,  4060,19450513,    0,    0
   742,  4060,19450514,    0,    0
   742,  4060,19450515,    0,    0
   742,  4060,19450516,    0,    0
   742,  4060,19450517,    0,    0
   742,  4060,19450518,  150,    0
   742,  4060,19450519,    2,    0
   742,  4060,19450520,   51,    0
   742,  4060,19450521,   21,    0
   742,  4060,19450522,   19,    0
   742,  4060,19450523,    0,    0
   742,  4060,19450524,   20,    0
   742,  4060,19450525,    0,    0
   742,  4060,19450526,   34,    0
   742,  4060,19450527,   43,    0
   742,  4060,19450528,    0,    0
   742,  4060,19450529,    0,    0
   742,  4060,19450530,    0,    0
   742,  4060,19450531,   77,    0
   742,  4060,19450601,    0,    0
   742,  4060,19450602,    0,    0
   742,  4060,19450603,    0,    0
   742,  4060,19450604,    0,    0
   742,  4060,19450605,    0,    0
   742,  4060,19450606,    0,    0
   742,  4060,19450607,    0,    0
   742,  4060,19450608,    0,    0
   742,  4060,19450609,    1,    0
   742,  4060,19450610,    1,    0
   742,  4060,19450611,    2,    0
   742,  4060,19450612,    1,    0
   742,  4060,19450613,    0,    0
   742,  4060,19450614,    0,    0
   742,  4060,19450615,    0,    0
   742,  4060,19450616,    0,    0
   742,  4060,19450617,    0,    0
   742,  4060,19450618,    0,    0
   742,  4060,19450619,   80,    0
   742,  4060,19450620,  122,    0
   742,  4060,19450621,    0,    0
   742,  4060,19450622,    0,    0
   742,  4060,19450623,    0,    0
   742,  4060,19450624,    0,    0
   742,  4060,19450625,    0,    0
   742,  4060,19450626,    0,    0
   742,  4060,19450627,    0,    0
   742,  4060,19450628,    6,    0
   742,  4060,19450629,    0,    0
   742,  4060,19450630,    0,    0
   742,  4060,19450701,    0,    0
   742,  4060,19450702,    0,    0
   742,  4060,19450703,    6,    0
   742,  4060,19450704,    0,    0
   742,  4060,19450705,    0,    0
   742,  4060,19450706,    0,    0
   742,  4060,19450707,    0,    0
   742,  4060,19450708,    0,    0
   742,  4060,19450709,   67,    0
   742,  4060,19450710,    0,    0
   742,  4060,19450711,    0,    0
   742,  4060,19450712,    0,    0
   742,  4060,19450713,   30,    0
   742,  4060,19450714,  290,    0
   742,  4060,19450715,    0,    0
   742,  4060,19450716,    0,    0
   742,  4060,19450717,    0,    0
   742,  4060,19450718,    0,    0
   742,  4060,19450719,    8,    0
   742,  4060,19450720,    0,    0
   742,  4060,19450721,    0,    0
   742,  4060,19450722,    0,    0
   742,  4060,19450723,    0,    0
   742,  4060,19450724,    0,    0
   742,  4060,19450725,   35,    0
   742,  4060,19450726,    2,    0
   742,  4060,19450727,    0,    0
   742,  4060,19450728,    0,    0
   742,  4060,19450729,    0,    0
   742,  4060,19450730,    0,    0
   742,  4060,19450731,    0,    0
   742,  4060,19450801,    0,    0
   742,  4060,19450802,    0,    0
   742,  4060,19450803,    0,    0
   742,  4060,19450804,    0,    0
   742,  4060,19450805,    0,    0
   742,  4060,19450806,    0,    0
   742,  4060,19450807,    0,    0
   742,  4060,19450808,   77,    0
   742,  4060,19450809,   31,    0
   742,  4060,19450810,    0,    0
   742,  4060,19450811,    0,    0
   742,  4060,19450812,    0,    0
   742,  4060,19450813,    1,    0
   742,  4060,19450814,    0,    0
   742,  4060,19450815,    0,    0
   742,  4060,19450816,    0,    0
   742,  4060,19450817,    9,    0
   742,  4060,19450818,    0,    0
   742,  4060,19450819,    0,    0
   742,  4060,19450820,   18,    0
   742,  4060,19450821,   36,    0
   742,  4060,19450822,   34,    0
   742,  4060,19450823,    0,    0
   742,  4060,19450824,    0,    0
   742,  4060,19450825,    0,    0
   742,  4060,19450826,    0,    0
   742,  4060,19450827,   25,    0
   742,  4060,19450828,   48,    0
   742,  4060,19450829,    0,    0
   742,  4060,19450830,    0,    0
   742,  4060,19450831,    3,    0
   742,  4060,19450901,   31,    0
   742,  4060,19450902,    4,    0
   742,  4060,19450903,    1,    0
   742,  4060,19450904,   50,    0
   742,  4060,19450905,    0,    0
   742,  4060,19450906,    0,    0
   742,  4060,19450907,    0,    0
   742,  4060,19450908,   41,    0
   742,  4060,19450909,    0,    0
   742,  4060,19450910,    0,    0
   742,  4060,19450911,    0,    0
   742,  4060,19450912,    0,    0
   742,  4060,19450913,   27,    0
   742,  4060,19450914,   80,    0
   742,  4060,19450915,   66,    0
   742,  4060,19450916,   18,    0
   742,  4060,19450917,    0,    0
   742,  4060,19450918,   51,    0
   742,  4060,19450919,    0,    0
   742,  4060,19450920,    0,    0
   742,  4060,19450921,    0,    0
   742,  4060,19450922,    5,    0
   742,  4060,19450923,   15,    0
   742,  4060,19450924,    2,    0
   742,  4060,19450925,    0,    0
   742,  4060,19450926,   11,    0
   742,  4060,19450927,    0,    0
   742,  4060,19450928,    0,    0
   742,  4060,19450929,    0,    0
   742,  4060,19450930,    0,    0
   742,  4060,19451001,    0,    0
   742,  4060,19451002,    0,    0
   742,  4060,19451003,    0,    0
   742,  4060,19451004,    0,    0
   742,  4060,19451005,    0,    0
   742,  4060,19451006,    0,    0
   742,  4060,19451007,    0,    0
   742,  4060,19451008,    0,    0
   742,  4060,19451009,    0,    0
   742,  4060,19451010,    0,    0
   742,  4060,19451011,    0,    0
   742,  4060,19451012,    0,    0
   742,  4060,19451013,    0,    0
   742,  4060,19451014,    0,    0
   742,  4060,19451015,    0,    0
   742,  4060,19451016,    0,    0
   742,  4060,19451017,    0,    0
   742,  4060,19451018,    0,    0
   742,  4060,19451019,    0,    0
   742,  4060,19451020,   13,    0
   742,  4060,19451021,   33,    0
   742,  4060,19451022,   63,    0
   742,  4060,19451023,   55,    0
   742,  4060,19451024,   64,    0
   742,  4060,19451025,  204,    0
   742,  4060,19451026,   17,    0
   742,  4060,19451027,   73,    0
   742,  4060,19451028,  188,    0
   742,  4060,19451029,  144,    0
   742,  4060,19451030,    0,    0
   742,  4060,19451031,    0,    0
   742,  4060,19451101,    0,    0
   742,  4060,19451102,   10,    0
   742,  4060,19451103,   63,    0
   742,  4060,19451104,    0,    0
   742,  4060,19451105,    0,    0
   742,  4060,19451106,    0,    0
   742,  4060,19451107,    0,    0
   742,  4060,19451108,    0,    0
   742,  4060,19451109,    0,    0
   742,  4060,19451110,    0,    0
   742,  4060,19451111,    0,    0
   742,  4060,19451112,   53,    0
