EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 15-03-2024
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station DIJON-LONGVIC, FRANCE (STAID: 745)
Blended and updated with sources:4072 907280 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
   745,  4072,19210501,-9999,    9
   745,  4072,19210502,-9999,    9
   745,  4072,19210503,-9999,    9
   745,  4072,19210504,-9999,    9
   745,  4072,19210505,-9999,    9
   745,  4072,19210506,-9999,    9
   745,  4072,19210507,-9999,    9
   745,  4072,19210508,-9999,    9
   745,  4072,19210509,-9999,    9
   745,  4072,19210510,-9999,    9
   745,  4072,19210511,-9999,    9
   745,  4072,19210512,-9999,    9
   745,  4072,19210513,-9999,    9
   745,  4072,19210514,-9999,    9
   745,  4072,19210515,-9999,    9
   745,  4072,19210516,-9999,    9
   745,  4072,19210517,-9999,    9
   745,  4072,19210518,-9999,    9
   745,  4072,19210519,-9999,    9
   745,  4072,19210520,-9999,    9
   745,  4072,19210521,-9999,    9
   745,  4072,19210522,-9999,    9
   745,  4072,19210523,-9999,    9
   745,  4072,19210524,-9999,    9
   745,  4072,19210525,-9999,    9
   745,  4072,19210526,-9999,    9
   745,  4072,19210527,-9999,    9
   745,  4072,19210528,-9999,    9
   745,  4072,19210529,    0,    0
   745,  4072,19210530,    0,    0
   745,  4072,19210531,    0,    0
   745,  4072,19210601,    0,    0
   745,  4072,19210602,    0,    0
   745,  4072,19210603,    0,    0
   745,  4072,19210604,    0,    0
   745,  4072,19210605,   94,    0
   745,  4072,19210606,    0,    0
   745,  4072,19210607,    0,    0
   745,  4072,19210608,   27,    0
   745,  4072,19210609,    0,    0
   745,  4072,19210610,    0,    0
   745,  4072,19210611,    0,    0
   745,  4072,19210612,    0,    0
   745,  4072,19210613,    0,    0
   745,  4072,19210614,    0,    0
   745,  4072,19210615,    0,    0
   745,  4072,19210616,    0,    0
   745,  4072,19210617,    0,    0
   745,  4072,19210618,    0,    0
   745,  4072,19210619,    0,    0
   745,  4072,19210620,    0,    0
   745,  4072,19210621,   12,    0
   745,  4072,19210622,    0,    0
   745,  4072,19210623,    0,    0
   745,  4072,19210624,    0,    0
   745,  4072,19210625,    0,    0
   745,  4072,19210626,    0,    0
   745,  4072,19210627,    0,    0
   745,  4072,19210628,    0,    0
   745,  4072,19210629,   12,    0
   745,  4072,19210630,  251,    0
   745,  4072,19210701,    2,    0
   745,  4072,19210702,    0,    0
   745,  4072,19210703,    0,    0
   745,  4072,19210704,    0,    0
   745,  4072,19210705,    0,    0
   745,  4072,19210706,    0,    0
   745,  4072,19210707,    0,    0
   745,  4072,19210708,    0,    0
   745,  4072,19210709,    0,    0
   745,  4072,19210710,    0,    0
   745,  4072,19210711,    0,    0
   745,  4072,19210712,    0,    0
   745,  4072,19210713,    0,    0
   745,  4072,19210714,  108,    0
   745,  4072,19210715,  106,    0
   745,  4072,19210716,   10,    0
   745,  4072,19210717,    0,    0
   745,  4072,19210718,    0,    0
   745,  4072,19210719,    0,    0
   745,  4072,19210720,    0,    0
   745,  4072,19210721,    0,    0
   745,  4072,19210722,    0,    0
   745,  4072,19210723,    0,    0
   745,  4072,19210724,    0,    0
   745,  4072,19210725,    0,    0
   745,  4072,19210726,    0,    0
   745,  4072,19210727,    0,    0
   745,  4072,19210728,    0,    0
   745,  4072,19210729,    0,    0
   745,  4072,19210730,    0,    0
   745,  4072,19210731,    0,    0
   745,  4072,19210801,    0,    0
   745,  4072,19210802,    0,    0
   745,  4072,19210803,   78,    0
   745,  4072,19210804,    0,    0
   745,  4072,19210805,    0,    0
   745,  4072,19210806,    0,    0
   745,  4072,19210807,    0,    0
   745,  4072,19210808,    0,    0
   745,  4072,19210809,    0,    0
   745,  4072,19210810,    0,    0
   745,  4072,19210811,   43,    0
   745,  4072,19210812,  186,    0
   745,  4072,19210813,    3,    0
   745,  4072,19210814,   12,    0
   745,  4072,19210815,   43,    0
   745,  4072,19210816,    0,    0
   745,  4072,19210817,    8,    0
   745,  4072,19210818,    0,    0
   745,  4072,19210819,   62,    0
   745,  4072,19210820,    0,    0
   745,  4072,19210821,   18,    0
   745,  4072,19210822,  141,    0
   745,  4072,19210823,   93,    0
   745,  4072,19210824,   96,    0
   745,  4072,19210825,    4,    0
   745,  4072,19210826,    0,    0
   745,  4072,19210827,    0,    0
   745,  4072,19210828,    0,    0
   745,  4072,19210829,    9,    0
   745,  4072,19210830,    0,    0
   745,  4072,19210831,    0,    0
   745,  4072,19210901,    0,    0
   745,  4072,19210902,    0,    0
   745,  4072,19210903,  672,    0
   745,  4072,19210904,   39,    0
   745,  4072,19210905,    0,    0
   745,  4072,19210906,    0,    0
   745,  4072,19210907,    0,    0
   745,  4072,19210908,    0,    0
   745,  4072,19210909,   33,    0
   745,  4072,19210910,   39,    0
   745,  4072,19210911,   64,    0
   745,  4072,19210912,    0,    0
   745,  4072,19210913,    0,    0
   745,  4072,19210914,    0,    0
   745,  4072,19210915,    0,    0
   745,  4072,19210916,    0,    0
   745,  4072,19210917,   30,    0
   745,  4072,19210918,    0,    0
   745,  4072,19210919,    7,    0
   745,  4072,19210920,   43,    0
   745,  4072,19210921,  296,    0
   745,  4072,19210922,    0,    0
   745,  4072,19210923,    0,    0
   745,  4072,19210924,    0,    0
   745,  4072,19210925,    0,    0
   745,  4072,19210926,    0,    0
   745,  4072,19210927,    0,    0
   745,  4072,19210928,    0,    0
   745,  4072,19210929,    0,    0
   745,  4072,19210930,    0,    0
   745,  4072,19211001,    0,    0
   745,  4072,19211002,   26,    0
   745,  4072,19211003,    0,    0
   745,  4072,19211004,    0,    0
   745,  4072,19211005,    0,    0
   745,  4072,19211006,    0,    0
   745,  4072,19211007,    0,    0
   745,  4072,19211008,    0,    0
   745,  4072,19211009,    0,    0
   745,  4072,19211010,    0,    0
   745,  4072,19211011,    0,    0
   745,  4072,19211012,    0,    0
   745,  4072,19211013,    0,    0
   745,  4072,19211014,    0,    0
   745,  4072,19211015,    0,    0
   745,  4072,19211016,    0,    0
   745,  4072,19211017,    0,    0
   745,  4072,19211018,    0,    0
   745,  4072,19211019,    0,    0
   745,  4072,19211020,    0,    0
   745,  4072,19211021,    0,    0
   745,  4072,19211022,   36,    0
