EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 15-03-2024
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station CLERMONT-FERRAND, FRANCE (STAID: 750)
Blended and updated with sources:4092 907460 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
   750,  4092,19230701,    0,    0
   750,  4092,19230702,    0,    0
   750,  4092,19230703,    0,    0
   750,  4092,19230704,    0,    0
   750,  4092,19230705,    0,    0
   750,  4092,19230706,    0,    0
   750,  4092,19230707,   62,    0
   750,  4092,19230708,   72,    0
   750,  4092,19230709,    0,    0
   750,  4092,19230710,    0,    0
   750,  4092,19230711,    0,    0
   750,  4092,19230712,    0,    0
   750,  4092,19230713,    6,    0
   750,  4092,19230714,    0,    0
   750,  4092,19230715,    0,    0
   750,  4092,19230716,    0,    0
   750,  4092,19230717,    0,    0
   750,  4092,19230718,    0,    0
   750,  4092,19230719,    0,    0
   750,  4092,19230720,    0,    0
   750,  4092,19230721,    0,    0
   750,  4092,19230722,    0,    0
   750,  4092,19230723,    0,    0
   750,  4092,19230724,    0,    0
   750,  4092,19230725,   10,    0
   750,  4092,19230726,    0,    0
   750,  4092,19230727,    0,    0
   750,  4092,19230728,    0,    0
   750,  4092,19230729,    0,    0
   750,  4092,19230730,    0,    0
   750,  4092,19230731,    0,    0
   750,  4092,19230801,    0,    0
   750,  4092,19230802,   18,    0
   750,  4092,19230803,    0,    0
   750,  4092,19230804,    0,    0
   750,  4092,19230805,    0,    0
   750,  4092,19230806,    0,    0
   750,  4092,19230807,    0,    0
   750,  4092,19230808,    0,    0
   750,  4092,19230809,    0,    0
   750,  4092,19230810,    0,    0
   750,  4092,19230811,    0,    0
   750,  4092,19230812,    0,    0
   750,  4092,19230813,    0,    0
   750,  4092,19230814,    0,    0
   750,  4092,19230815,   11,    0
   750,  4092,19230816,    0,    0
   750,  4092,19230817,    0,    0
   750,  4092,19230818,    0,    0
   750,  4092,19230819,    0,    0
   750,  4092,19230820,    0,    0
   750,  4092,19230821,   12,    0
   750,  4092,19230822,   18,    0
   750,  4092,19230823,    6,    0
   750,  4092,19230824,  154,    0
   750,  4092,19230825,    0,    0
   750,  4092,19230826,    0,    0
   750,  4092,19230827,    8,    0
   750,  4092,19230828,    0,    0
   750,  4092,19230829,    0,    0
   750,  4092,19230830,    0,    0
   750,  4092,19230831,  250,    0
   750,  4092,19230901,    0,    0
   750,  4092,19230902,    0,    0
   750,  4092,19230903,    0,    0
   750,  4092,19230904,    0,    0
   750,  4092,19230905,    0,    0
   750,  4092,19230906,    0,    0
   750,  4092,19230907,    0,    0
   750,  4092,19230908,    0,    0
   750,  4092,19230909,    0,    0
   750,  4092,19230910,    0,    0
   750,  4092,19230911,    0,    0
   750,  4092,19230912,    0,    0
   750,  4092,19230913,    0,    0
   750,  4092,19230914,   46,    0
   750,  4092,19230915,   42,    0
   750,  4092,19230916,   23,    0
   750,  4092,19230917,   37,    0
   750,  4092,19230918,   10,    0
   750,  4092,19230919,   21,    0
   750,  4092,19230920,    0,    0
   750,  4092,19230921,   18,    0
   750,  4092,19230922,    2,    0
   750,  4092,19230923,   56,    0
   750,  4092,19230924,    0,    0
   750,  4092,19230925,    0,    0
   750,  4092,19230926,    0,    0
   750,  4092,19230927,    0,    0
   750,  4092,19230928,    0,    0
   750,  4092,19230929,    0,    0
   750,  4092,19230930,    0,    0
   750,  4092,19231001,    0,    0
   750,  4092,19231002,    0,    0
   750,  4092,19231003,    0,    0
   750,  4092,19231004,   26,    0
   750,  4092,19231005,    0,    0
   750,  4092,19231006,    7,    0
   750,  4092,19231007,    1,    0
   750,  4092,19231008,   14,    0
   750,  4092,19231009,    0,    0
   750,  4092,19231010,    0,    0
   750,  4092,19231011,    0,    0
   750,  4092,19231012,   20,    0
   750,  4092,19231013,   73,    0
   750,  4092,19231014,    0,    0
   750,  4092,19231015,    0,    0
   750,  4092,19231016,    0,    0
   750,  4092,19231017,    0,    0
   750,  4092,19231018,    0,    0
   750,  4092,19231019,    0,    0
   750,  4092,19231020,    0,    0
   750,  4092,19231021,   39,    0
   750,  4092,19231022,    0,    0
   750,  4092,19231023,   13,    0
   750,  4092,19231024,    1,    0
   750,  4092,19231025,    0,    0
   750,  4092,19231026,    0,    0
   750,  4092,19231027,    0,    0
   750,  4092,19231028,   53,    0
   750,  4092,19231029,    0,    0
   750,  4092,19231030,    0,    0
   750,  4092,19231031,    0,    0
   750,  4092,19231101,   42,    0
   750,  4092,19231102,   35,    0
   750,  4092,19231103,    0,    0
   750,  4092,19231104,   18,    0
   750,  4092,19231105,   16,    0
   750,  4092,19231106,   23,    0
   750,  4092,19231107,    0,    0
   750,  4092,19231108,    0,    0
   750,  4092,19231109,   19,    0
   750,  4092,19231110,   66,    0
   750,  4092,19231111,   59,    0
   750,  4092,19231112,  123,    0
   750,  4092,19231113,    0,    0
   750,  4092,19231114,    9,    0
   750,  4092,19231115,    0,    0
   750,  4092,19231116,   10,    0
   750,  4092,19231117,    0,    0
   750,  4092,19231118,   19,    0
   750,  4092,19231119,    0,    0
   750,  4092,19231120,    0,    0
   750,  4092,19231121,    0,    0
   750,  4092,19231122,    0,    0
   750,  4092,19231123,    0,    0
   750,  4092,19231124,   16,    0
   750,  4092,19231125,  168,    0
   750,  4092,19231126,  159,    0
   750,  4092,19231127,   18,    0
   750,  4092,19231128,   11,    0
   750,  4092,19231129,    0,    0
   750,  4092,19231130,    5,    0
   750,  4092,19231201,    0,    0
   750,  4092,19231202,    2,    0
   750,  4092,19231203,    0,    0
   750,  4092,19231204,    9,    0
   750,  4092,19231205,    0,    0
   750,  4092,19231206,    9,    0
   750,  4092,19231207,    0,    0
   750,  4092,19231208,    9,    0
   750,  4092,19231209,  210,    0
   750,  4092,19231210,   35,    0
   750,  4092,19231211,    2,    0
   750,  4092,19231212,    0,    0
   750,  4092,19231213,    0,    0
   750,  4092,19231214,    0,    0
   750,  4092,19231215,    6,    0
   750,  4092,19231216,    0,    0
   750,  4092,19231217,   43,    0
   750,  4092,19231218,    1,    0
   750,  4092,19231219,   44,    0
   750,  4092,19231220,    9,    0
   750,  4092,19231221,  164,    0
   750,  4092,19231222,   37,    0
   750,  4092,19231223,    5,    0
   750,  4092,19231224,   80,    0
   750,  4092,19231225,    1,    0
   750,  4092,19231226,   15,    0
   750,  4092,19231227,   21,    0
   750,  4092,19231228,   21,    0
   750,  4092,19231229,    0,    0
   750,  4092,19231230,   27,    0
   750,  4092,19231231,    0,    0
   750,  4092,19240101,  150,    0
   750,  4092,19240102,    0,    0
   750,  4092,19240103,    0,    0
   750,  4092,19240104,   11,    0
   750,  4092,19240105,    0,    0
   750,  4092,19240106,    0,    0
   750,  4092,19240107,    0,    0
   750,  4092,19240108,   22,    0
   750,  4092,19240109,    2,    0
   750,  4092,19240110,    0,    0
   750,  4092,19240111,    0,    0
   750,  4092,19240112,    0,    0
   750,  4092,19240113,    0,    0
   750,  4092,19240114,    0,    0
   750,  4092,19240115,    0,    0
   750,  4092,19240116,    0,    0
   750,  4092,19240117,   13,    0
   750,  4092,19240118,    0,    0
   750,  4092,19240119,    0,    0
   750,  4092,19240120,    0,    0
   750,  4092,19240121,    0,    0
   750,  4092,19240122,    0,    0
   750,  4092,19240123,   17,    0
   750,  4092,19240124,    2,    0
   750,  4092,19240125,   25,    0
   750,  4092,19240126,    0,    0
   750,  4092,19240127,    0,    0
   750,  4092,19240128,    0,    0
   750,  4092,19240129,    0,    0
   750,  4092,19240130,    0,    0
   750,  4092,19240131,    0,    0
   750,  4092,19240201,    0,    0
   750,  4092,19240202,    0,    0
   750,  4092,19240203,    0,    0
   750,  4092,19240204,    0,    0
   750,  4092,19240205,    0,    0
   750,  4092,19240206,   35,    0
   750,  4092,19240207,    0,    0
   750,  4092,19240208,    0,    0
   750,  4092,19240209,    0,    0
   750,  4092,19240210,    0,    0
   750,  4092,19240211,    0,    0
   750,  4092,19240212,   20,    0
   750,  4092,19240213,   14,    0
   750,  4092,19240214,   11,    0
   750,  4092,19240215,    8,    0
   750,  4092,19240216,    0,    0
   750,  4092,19240217,    0,    0
   750,  4092,19240218,    0,    0
   750,  4092,19240219,    3,    0
   750,  4092,19240220,    0,    0
   750,  4092,19240221,    0,    0
   750,  4092,19240222,    0,    0
   750,  4092,19240223,    7,    0
   750,  4092,19240224,   12,    0
   750,  4092,19240225,    3,    0
   750,  4092,19240226,   45,    0
   750,  4092,19240227,   42,    0
   750,  4092,19240228,   18,    0
   750,  4092,19240229,    0,    0
   750,  4092,19240301,    0,    0
   750,  4092,19240302,    0,    0
   750,  4092,19240303,    1,    0
   750,  4092,19240304,    0,    0
   750,  4092,19240305,   64,    0
   750,  4092,19240306,   18,    0
   750,  4092,19240307,    0,    0
   750,  4092,19240308,    0,    0
   750,  4092,19240309,    0,    0
   750,  4092,19240310,    0,    0
   750,  4092,19240311,    0,    0
   750,  4092,19240312,    0,    0
   750,  4092,19240313,    0,    0
   750,  4092,19240314,    0,    0
   750,  4092,19240315,    0,    0
   750,  4092,19240316,    0,    0
   750,  4092,19240317,    0,    0
   750,  4092,19240318,    0,    0
   750,  4092,19240319,    0,    0
   750,  4092,19240320,   12,    0
   750,  4092,19240321,    2,    0
   750,  4092,19240322,    7,    0
   750,  4092,19240323,   13,    0
   750,  4092,19240324,    0,    0
   750,  4092,19240325,   17,    0
   750,  4092,19240326,   37,    0
   750,  4092,19240327,   23,    0
   750,  4092,19240328,    1,    0
   750,  4092,19240329,  269,    0
   750,  4092,19240330,    6,    0
   750,  4092,19240331,    0,    0
   750,  4092,19240401,    0,    0
   750,  4092,19240402,   30,    0
   750,  4092,19240403,   80,    0
   750,  4092,19240404,    0,    0
   750,  4092,19240405,   27,    0
   750,  4092,19240406,   24,    0
   750,  4092,19240407,    0,    0
   750,  4092,19240408,    0,    0
   750,  4092,19240409,    2,    0
   750,  4092,19240410,   12,    0
   750,  4092,19240411,   16,    0
   750,  4092,19240412,    5,    0
   750,  4092,19240413,    0,    0
   750,  4092,19240414,    0,    0
   750,  4092,19240415,   12,    0
   750,  4092,19240416,    0,    0
   750,  4092,19240417,    0,    0
   750,  4092,19240418,    0,    0
   750,  4092,19240419,    0,    0
   750,  4092,19240420,    0,    0
   750,  4092,19240421,    0,    0
   750,  4092,19240422,    0,    0
   750,  4092,19240423,    0,    0
   750,  4092,19240424,   10,    0
   750,  4092,19240425,    0,    0
   750,  4092,19240426,    0,    0
   750,  4092,19240427,    0,    0
   750,  4092,19240428,    3,    0
   750,  4092,19240429,   15,    0
   750,  4092,19240430,    0,    0
   750,  4092,19240501,  106,    0
   750,  4092,19240502,    0,    0
