EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 15-03-2024
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NICE, FRANCE (STAID: 757)
Blended and updated with sources:4120 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
   757,  4120,19420701,    0,    0
   757,  4120,19420702,    0,    0
   757,  4120,19420703,    0,    0
   757,  4120,19420704,    0,    0
   757,  4120,19420705,    0,    0
   757,  4120,19420706,    0,    0
   757,  4120,19420707,    0,    0
   757,  4120,19420708,    0,    0
   757,  4120,19420709,    0,    0
   757,  4120,19420710,    0,    0
   757,  4120,19420711,    0,    0
   757,  4120,19420712,    0,    0
   757,  4120,19420713,    0,    0
   757,  4120,19420714,    0,    0
   757,  4120,19420715,    0,    0
   757,  4120,19420716,    0,    0
   757,  4120,19420717,    0,    0
   757,  4120,19420718,    0,    0
   757,  4120,19420719,    0,    0
   757,  4120,19420720,    0,    0
   757,  4120,19420721,    0,    0
   757,  4120,19420722,    0,    0
   757,  4120,19420723,    0,    0
   757,  4120,19420724,    0,    0
   757,  4120,19420725,    0,    0
   757,  4120,19420726,    0,    0
   757,  4120,19420727,    0,    0
   757,  4120,19420728,    0,    0
   757,  4120,19420729,    0,    0
   757,  4120,19420730,    0,    0
   757,  4120,19420731,    0,    0
   757,  4120,19420801,    0,    0
   757,  4120,19420802,    0,    0
   757,  4120,19420803,    0,    0
   757,  4120,19420804,    0,    0
   757,  4120,19420805,  256,    0
   757,  4120,19420806,    0,    0
   757,  4120,19420807,    0,    0
   757,  4120,19420808,    0,    0
   757,  4120,19420809,    0,    0
   757,  4120,19420810,    0,    0
   757,  4120,19420811,    0,    0
   757,  4120,19420812,    0,    0
   757,  4120,19420813,    0,    0
   757,  4120,19420814,    0,    0
   757,  4120,19420815,    0,    0
   757,  4120,19420816,    0,    0
   757,  4120,19420817,    0,    0
   757,  4120,19420818,    0,    0
   757,  4120,19420819,    0,    0
   757,  4120,19420820,    0,    0
   757,  4120,19420821,    0,    0
   757,  4120,19420822,    0,    0
   757,  4120,19420823,    0,    0
   757,  4120,19420824,    0,    0
   757,  4120,19420825,    0,    0
   757,  4120,19420826,    0,    0
   757,  4120,19420827,    0,    0
   757,  4120,19420828,    0,    0
   757,  4120,19420829,    0,    0
   757,  4120,19420830,    0,    0
   757,  4120,19420831,    0,    0
   757,  4120,19420901,    0,    0
   757,  4120,19420902,    0,    0
   757,  4120,19420903,    0,    0
   757,  4120,19420904,    0,    0
   757,  4120,19420905,    0,    0
   757,  4120,19420906,    0,    0
   757,  4120,19420907,    0,    0
   757,  4120,19420908,    0,    0
   757,  4120,19420909,    0,    0
   757,  4120,19420910,    0,    0
   757,  4120,19420911,    0,    0
   757,  4120,19420912,    0,    0
   757,  4120,19420913,    0,    0
   757,  4120,19420914,    0,    0
   757,  4120,19420915,    0,    0
   757,  4120,19420916,    0,    0
   757,  4120,19420917,    0,    0
   757,  4120,19420918,    0,    0
   757,  4120,19420919,    0,    0
   757,  4120,19420920,    0,    0
   757,  4120,19420921,   62,    0
   757,  4120,19420922,    0,    0
   757,  4120,19420923,    0,    0
   757,  4120,19420924,    0,    0
   757,  4120,19420925,   86,    0
   757,  4120,19420926,    6,    0
   757,  4120,19420927,    0,    0
   757,  4120,19420928,    0,    0
   757,  4120,19420929,    3,    0
   757,  4120,19420930,    0,    0
   757,  4120,19421001,    0,    0
   757,  4120,19421002,    0,    0
   757,  4120,19421003,    0,    0
   757,  4120,19421004,    0,    0
   757,  4120,19421005,    0,    0
   757,  4120,19421006,    0,    0
   757,  4120,19421007,    0,    0
   757,  4120,19421008,    0,    0
   757,  4120,19421009,    0,    0
   757,  4120,19421010,    0,    0
   757,  4120,19421011,    0,    0
   757,  4120,19421012,    0,    0
