EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 15-03-2024
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MONTELIMAR, FRANCE (STAID: 786)
Blended and updated with sources:4108 907577 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
   786,  4108,19200801,-9999,    9
   786,  4108,19200802,-9999,    9
   786,  4108,19200803,-9999,    9
   786,  4108,19200804,-9999,    9
   786,  4108,19200805,-9999,    9
   786,  4108,19200806,-9999,    9
   786,  4108,19200807,-9999,    9
   786,  4108,19200808,-9999,    9
   786,  4108,19200809,-9999,    9
   786,  4108,19200810,-9999,    9
   786,  4108,19200811,-9999,    9
   786,  4108,19200812,-9999,    9
   786,  4108,19200813,-9999,    9
   786,  4108,19200814,-9999,    9
   786,  4108,19200815,-9999,    9
   786,  4108,19200816,-9999,    9
   786,  4108,19200817,    0,    0
   786,  4108,19200818,    0,    0
   786,  4108,19200819,   23,    0
   786,  4108,19200820,    0,    0
   786,  4108,19200821,    0,    0
   786,  4108,19200822,    0,    0
   786,  4108,19200823,    0,    0
   786,  4108,19200824,    0,    0
   786,  4108,19200825,    0,    0
   786,  4108,19200826,    0,    0
   786,  4108,19200827,    0,    0
   786,  4108,19200828,    0,    0
   786,  4108,19200829,    0,    0
   786,  4108,19200830,    0,    0
   786,  4108,19200831,    0,    0
   786,  4108,19200901,    0,    0
   786,  4108,19200902,    0,    0
   786,  4108,19200903,    0,    0
   786,  4108,19200904,    0,    0
   786,  4108,19200905,    0,    0
   786,  4108,19200906,    0,    0
   786,  4108,19200907,    0,    0
   786,  4108,19200908,    0,    0
   786,  4108,19200909,    0,    0
   786,  4108,19200910,    0,    0
   786,  4108,19200911,    0,    0
   786,  4108,19200912,    0,    0
   786,  4108,19200913,    0,    0
   786,  4108,19200914,    0,    0
   786,  4108,19200915,    0,    0
   786,  4108,19200916,    2,    0
   786,  4108,19200917,   10,    0
   786,  4108,19200918,  266,    0
   786,  4108,19200919,   43,    0
   786,  4108,19200920,  330,    0
   786,  4108,19200921,   80,    0
   786,  4108,19200922,    5,    0
   786,  4108,19200923,  218,    0
   786,  4108,19200924,  146,    0
   786,  4108,19200925,   43,    0
   786,  4108,19200926,    0,    0
   786,  4108,19200927,    0,    0
   786,  4108,19200928,    0,    0
   786,  4108,19200929,    1,    0
   786,  4108,19200930,  390,    0
   786,  4108,19201001,  323,    0
   786,  4108,19201002,  141,    0
   786,  4108,19201003,    8,    0
   786,  4108,19201004,    0,    0
   786,  4108,19201005,    0,    0
   786,  4108,19201006,    0,    0
   786,  4108,19201007,   22,    0
   786,  4108,19201008,  172,    0
   786,  4108,19201009,  318,    0
   786,  4108,19201010,    0,    0
   786,  4108,19201011,    0,    0
   786,  4108,19201012,    0,    0
   786,  4108,19201013,    0,    0
   786,  4108,19201014,   10,    0
   786,  4108,19201015,    0,    0
   786,  4108,19201016,  102,    0
   786,  4108,19201017,   94,    0
   786,  4108,19201018,   36,    0
   786,  4108,19201019,    0,    0
   786,  4108,19201020,    0,    0
   786,  4108,19201021,    0,    0
   786,  4108,19201022,    0,    0
   786,  4108,19201023,    0,    0
   786,  4108,19201024,    0,    0
   786,  4108,19201025,    0,    0
   786,  4108,19201026,    0,    0
   786,  4108,19201027,    0,    0
   786,  4108,19201028,    0,    0
   786,  4108,19201029,    0,    0
   786,  4108,19201030,   28,    0
   786,  4108,19201031,    5,    0
   786,  4108,19201101,  192,    0
   786,  4108,19201102,   34,    0
   786,  4108,19201103,  111,    0
   786,  4108,19201104,-9999,    9
   786,  4108,19201105,    0,    0
   786,  4108,19201106,    0,    0
   786,  4108,19201107,    0,    0
   786,  4108,19201108,    0,    0
   786,  4108,19201109,    0,    0
   786,  4108,19201110,    0,    0
   786,  4108,19201111,    0,    0
   786,  4108,19201112,    0,    0
   786,  4108,19201113,    0,    0
   786,  4108,19201114,    0,    0
   786,  4108,19201115,    0,    0
   786,  4108,19201116,    0,    0
   786,  4108,19201117,    0,    0
   786,  4108,19201118,    0,    0
   786,  4108,19201119,    0,    0
   786,  4108,19201120,    0,    0
   786,  4108,19201121,   10,    0
   786,  4108,19201122,    0,    0
   786,  4108,19201123,    0,    0
   786,  4108,19201124,    8,    0
   786,  4108,19201125,    0,    0
   786,  4108,19201126,    4,    0
   786,  4108,19201127,  251,    0
   786,  4108,19201128,  238,    0
   786,  4108,19201129,    0,    0
   786,  4108,19201130,   23,    0
   786,  4108,19201201,   10,    0
   786,  4108,19201202,    3,    0
   786,  4108,19201203,   15,    0
   786,  4108,19201204,    4,    0
   786,  4108,19201205,    0,    0
   786,  4108,19201206,    0,    0
   786,  4108,19201207,    0,    0
   786,  4108,19201208,    0,    0
   786,  4108,19201209,    0,    0
   786,  4108,19201210,    0,    0
   786,  4108,19201211,    0,    0
   786,  4108,19201212,    0,    0
   786,  4108,19201213,   40,    0
   786,  4108,19201214,    0,    0
   786,  4108,19201215,    0,    0
   786,  4108,19201216,    0,    0
   786,  4108,19201217,    0,    0
   786,  4108,19201218,    0,    0
   786,  4108,19201219,    0,    0
   786,  4108,19201220,    0,    0
   786,  4108,19201221,    5,    0
   786,  4108,19201222,   18,    0
   786,  4108,19201223,    5,    0
   786,  4108,19201224,    0,    0
   786,  4108,19201225,    0,    0
   786,  4108,19201226,    5,    0
   786,  4108,19201227,    0,    0
   786,  4108,19201228,    7,    0
   786,  4108,19201229,    1,    0
   786,  4108,19201230,    2,    0
   786,  4108,19201231,    2,    0
   786,  4108,19210101,    0,    0
   786,  4108,19210102,   26,    0
   786,  4108,19210103,    0,    0
   786,  4108,19210104,    0,    0
   786,  4108,19210105,    0,    0
   786,  4108,19210106,    0,    0
   786,  4108,19210107,    0,    0
   786,  4108,19210108,    7,    0
   786,  4108,19210109,    0,    0
   786,  4108,19210110,    0,    0
   786,  4108,19210111,    0,    0
   786,  4108,19210112,    0,    0
   786,  4108,19210113,    4,    0
   786,  4108,19210114,    0,    0
   786,  4108,19210115,    0,    0
   786,  4108,19210116,    0,    0
   786,  4108,19210117,    4,    0
   786,  4108,19210118,    0,    0
   786,  4108,19210119,   10,    0
   786,  4108,19210120,    0,    0
   786,  4108,19210121,    0,    0
   786,  4108,19210122,    0,    0
   786,  4108,19210123,    0,    0
   786,  4108,19210124,    0,    0
   786,  4108,19210125,    0,    0
   786,  4108,19210126,    0,    0
   786,  4108,19210127,    0,    0
   786,  4108,19210128,    0,    0
   786,  4108,19210129,    0,    0
   786,  4108,19210130,  435,    0
   786,  4108,19210131,  135,    0
   786,  4108,19210201,    0,    0
   786,  4108,19210202,   22,    0
   786,  4108,19210203,    1,    0
   786,  4108,19210204,    0,    0
   786,  4108,19210205,    7,    0
   786,  4108,19210206,    0,    0
   786,  4108,19210207,    0,    0
   786,  4108,19210208,    0,    0
   786,  4108,19210209,    0,    0
   786,  4108,19210210,    2,    0
   786,  4108,19210211,    0,    0
   786,  4108,19210212,    0,    0
   786,  4108,19210213,    0,    0
   786,  4108,19210214,    0,    0
   786,  4108,19210215,    0,    0
   786,  4108,19210216,    0,    0
   786,  4108,19210217,    0,    0
   786,  4108,19210218,    0,    0
   786,  4108,19210219,    0,    0
   786,  4108,19210220,    0,    0
   786,  4108,19210221,    0,    0
   786,  4108,19210222,    0,    0
   786,  4108,19210223,    0,    0
   786,  4108,19210224,    0,    0
   786,  4108,19210225,    0,    0
   786,  4108,19210226,    0,    0
   786,  4108,19210227,    0,    0
   786,  4108,19210228,    0,    0
   786,  4108,19210301,    0,    0
   786,  4108,19210302,    0,    0
   786,  4108,19210303,    0,    0
   786,  4108,19210304,    0,    0
   786,  4108,19210305,    0,    0
   786,  4108,19210306,    3,    0
   786,  4108,19210307,   50,    0
   786,  4108,19210308,    0,    0
   786,  4108,19210309,    0,    0
   786,  4108,19210310,    0,    0
   786,  4108,19210311,    0,    0
   786,  4108,19210312,    0,    0
   786,  4108,19210313,    0,    0
   786,  4108,19210314,   18,    0
   786,  4108,19210315,   30,    0
   786,  4108,19210316,    0,    0
   786,  4108,19210317,    0,    0
   786,  4108,19210318,   22,    0
   786,  4108,19210319,   11,    0
   786,  4108,19210320,    6,    0
   786,  4108,19210321,    0,    0
   786,  4108,19210322,    0,    0
   786,  4108,19210323,    0,    0
   786,  4108,19210324,    0,    0
   786,  4108,19210325,   10,    0
   786,  4108,19210326,    0,    0
   786,  4108,19210327,    0,    0
   786,  4108,19210328,    0,    0
   786,  4108,19210329,    9,    0
   786,  4108,19210330,    1,    0
   786,  4108,19210331,    0,    0
   786,  4108,19210401,    0,    0
   786,  4108,19210402,    0,    0
   786,  4108,19210403,    0,    0
   786,  4108,19210404,    0,    0
   786,  4108,19210405,    0,    0
   786,  4108,19210406,    0,    0
   786,  4108,19210407,   26,    0
   786,  4108,19210408,    0,    0
   786,  4108,19210409,  135,    0
   786,  4108,19210410,   54,    0
   786,  4108,19210411,    0,    0
   786,  4108,19210412,   14,    0
   786,  4108,19210413,    0,    0
   786,  4108,19210414,   99,    0
   786,  4108,19210415,   26,    0
   786,  4108,19210416,    0,    0
   786,  4108,19210417,   38,    0
   786,  4108,19210418,   13,    0
   786,  4108,19210419,    0,    0
   786,  4108,19210420,    1,    0
   786,  4108,19210421,    0,    0
   786,  4108,19210422,    0,    0
   786,  4108,19210423,    5,    0
   786,  4108,19210424,   32,    0
   786,  4108,19210425,    0,    0
   786,  4108,19210426,    0,    0
   786,  4108,19210427,    0,    0
   786,  4108,19210428,    0,    0
   786,  4108,19210429,    0,    0
   786,  4108,19210430,    0,    0
   786,  4108,19210501,    0,    0
   786,  4108,19210502,    0,    0
   786,  4108,19210503,   10,    0
   786,  4108,19210504,    0,    0
   786,  4108,19210505,    0,    0
   786,  4108,19210506,    0,    0
   786,  4108,19210507,   22,    0
   786,  4108,19210508,   99,    0
   786,  4108,19210509,    5,    0
   786,  4108,19210510,    0,    0
   786,  4108,19210511,    0,    0
   786,  4108,19210512,   18,    0
   786,  4108,19210513,   25,    0
   786,  4108,19210514,    0,    0
   786,  4108,19210515,  342,    0
   786,  4108,19210516,    1,    0
   786,  4108,19210517,  114,    0
   786,  4108,19210518,    8,    0
   786,  4108,19210519,  102,    0
   786,  4108,19210520,    0,    0
