EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 15-03-2024
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station AJACCIO, FRANCE (STAID: 2209)
Blended and updated with sources:6209 907761 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  2209,  6209,19491001,  148,    0
  2209,  6209,19491002,    0,    0
  2209,  6209,19491003,    0,    0
  2209,  6209,19491004,    0,    0
  2209,  6209,19491005,    0,    0
  2209,  6209,19491006,    0,    0
  2209,  6209,19491007,    0,    0
  2209,  6209,19491008,   72,    0
  2209,  6209,19491009,    0,    0
  2209,  6209,19491010,    0,    0
  2209,  6209,19491011,    0,    0
  2209,  6209,19491012,    0,    0
  2209,  6209,19491013,    0,    0
  2209,  6209,19491014,    0,    0
  2209,  6209,19491015,    0,    0
  2209,  6209,19491016,    0,    0
  2209,  6209,19491017,   20,    0
  2209,  6209,19491018,    0,    0
  2209,  6209,19491019,    0,    0
  2209,  6209,19491020,    0,    0
  2209,  6209,19491021,    0,    0
  2209,  6209,19491022,    0,    0
  2209,  6209,19491023,    0,    0
  2209,  6209,19491024,   42,    0
  2209,  6209,19491025,    0,    0
  2209,  6209,19491026,    0,    0
  2209,  6209,19491027,   23,    0
  2209,  6209,19491028,    6,    0
  2209,  6209,19491029,    6,    0
  2209,  6209,19491030,    0,    0
  2209,  6209,19491031,   10,    0
  2209,  6209,19491101,    5,    0
  2209,  6209,19491102,    0,    0
  2209,  6209,19491103,    0,    0
  2209,  6209,19491104,    0,    0
  2209,  6209,19491105,   30,    0
  2209,  6209,19491106,  318,    0
  2209,  6209,19491107,   48,    0
  2209,  6209,19491108,   19,    0
  2209,  6209,19491109,    0,    0
  2209,  6209,19491110,    0,    0
  2209,  6209,19491111,    0,    0
  2209,  6209,19491112,    0,    0
  2209,  6209,19491113,   33,    0
  2209,  6209,19491114,   73,    0
  2209,  6209,19491115,   19,    0
  2209,  6209,19491116,   12,    0
  2209,  6209,19491117,   21,    0
  2209,  6209,19491118,   26,    0
  2209,  6209,19491119,    0,    0
  2209,  6209,19491120,  205,    0
  2209,  6209,19491121,  117,    0
  2209,  6209,19491122,  684,    0
  2209,  6209,19491123,  246,    0
  2209,  6209,19491124,   54,    0
  2209,  6209,19491125,   28,    0
  2209,  6209,19491126,  223,    0
  2209,  6209,19491127,  102,    0
  2209,  6209,19491128,   14,    0
  2209,  6209,19491129,    0,    0
  2209,  6209,19491130,    0,    0
  2209,  6209,19491201,    0,    0
  2209,  6209,19491202,    0,    0
  2209,  6209,19491203,    0,    0
  2209,  6209,19491204,    0,    0
  2209,  6209,19491205,    0,    0
  2209,  6209,19491206,    0,    0
  2209,  6209,19491207,    0,    0
  2209,  6209,19491208,   83,    0
  2209,  6209,19491209,   44,    0
  2209,  6209,19491210,   12,    0
  2209,  6209,19491211,   30,    0
  2209,  6209,19491212,    0,    0
  2209,  6209,19491213,   12,    0
  2209,  6209,19491214,  243,    0
  2209,  6209,19491215,  181,    0
  2209,  6209,19491216,   36,    0
  2209,  6209,19491217,   96,    0
  2209,  6209,19491218,    0,    0
  2209,  6209,19491219,    0,    0
  2209,  6209,19491220,    0,    0
  2209,  6209,19491221,    0,    0
