EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 15-03-2024
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station PLOUMANAC'H, FRANCE (STAID: 11245)
Blended and updated with sources:71627 907117 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 11245, 71627,19470901,    0,    0
 11245, 71627,19470902,    0,    0
 11245, 71627,19470903,    0,    0
 11245, 71627,19470904,    0,    0
 11245, 71627,19470905,    0,    0
 11245, 71627,19470906,   40,    0
 11245, 71627,19470907,   20,    0
 11245, 71627,19470908,    0,    0
 11245, 71627,19470909,    0,    0
 11245, 71627,19470910,    0,    0
 11245, 71627,19470911,    0,    0
 11245, 71627,19470912,   30,    0
 11245, 71627,19470913,   40,    0
 11245, 71627,19470914,    0,    0
 11245, 71627,19470915,   25,    0
 11245, 71627,19470916,    0,    0
 11245, 71627,19470917,   86,    0
 11245, 71627,19470918,    0,    0
 11245, 71627,19470919,   35,    0
 11245, 71627,19470920,   21,    0
 11245, 71627,19470921,    0,    0
 11245, 71627,19470922,   12,    0
 11245, 71627,19470923,   10,    0
 11245, 71627,19470924,    0,    0
 11245, 71627,19470925,    0,    0
 11245, 71627,19470926,    0,    0
 11245, 71627,19470927,    0,    0
 11245, 71627,19470928,    1,    0
 11245, 71627,19470929,    0,    0
 11245, 71627,19470930,    0,    0
 11245, 71627,19471001,    0,    0
 11245, 71627,19471002,    0,    0
 11245, 71627,19471003,    0,    0
 11245, 71627,19471004,    0,    0
 11245, 71627,19471005,    0,    0
 11245, 71627,19471006,    0,    0
 11245, 71627,19471007,    0,    0
 11245, 71627,19471008,    0,    0
 11245, 71627,19471009,    0,    0
 11245, 71627,19471010,    0,    0
 11245, 71627,19471011,    0,    0
 11245, 71627,19471012,    0,    0
 11245, 71627,19471013,    0,    0
 11245, 71627,19471014,    0,    0
 11245, 71627,19471015,    0,    0
 11245, 71627,19471016,    0,    0
 11245, 71627,19471017,    0,    0
 11245, 71627,19471018,    0,    0
 11245, 71627,19471019,    0,    0
 11245, 71627,19471020,    0,    0
 11245, 71627,19471021,   72,    0
 11245, 71627,19471022,   35,    0
 11245, 71627,19471023,   25,    0
 11245, 71627,19471024,    0,    0
 11245, 71627,19471025,    0,    0
 11245, 71627,19471026,    0,    0
 11245, 71627,19471027,   16,    0
 11245, 71627,19471028,    0,    0
 11245, 71627,19471029,    7,    0
 11245, 71627,19471030,   25,    0
 11245, 71627,19471031,    6,    0
 11245, 71627,19471101,    0,    0
 11245, 71627,19471102,   19,    0
 11245, 71627,19471103,    0,    0
 11245, 71627,19471104,    0,    0
 11245, 71627,19471105,    0,    0
 11245, 71627,19471106,    0,    0
 11245, 71627,19471107,    0,    0
 11245, 71627,19471108,    0,    0
 11245, 71627,19471109,   25,    0
 11245, 71627,19471110,   53,    0
 11245, 71627,19471111,    0,    0
 11245, 71627,19471112,   20,    0
 11245, 71627,19471113,    0,    0
 11245, 71627,19471114,   92,    0
 11245, 71627,19471115,  120,    0
 11245, 71627,19471116,   16,    0
 11245, 71627,19471117,  186,    0
 11245, 71627,19471118,  143,    0
 11245, 71627,19471119,   13,    0
 11245, 71627,19471120,    2,    0
 11245, 71627,19471121,   29,    0
 11245, 71627,19471122,    0,    0
 11245, 71627,19471123,    0,    0
 11245, 71627,19471124,   20,    0
 11245, 71627,19471125,   10,    0
 11245, 71627,19471126,   30,    0
 11245, 71627,19471127,   20,    0
 11245, 71627,19471128,    6,    0
 11245, 71627,19471129,   10,    0
 11245, 71627,19471130,  117,    0
 11245, 71627,19471201,    0,    0
 11245, 71627,19471202,    0,    0
 11245, 71627,19471203,   65,    0
 11245, 71627,19471204,  167,    0
 11245, 71627,19471205,   45,    0
 11245, 71627,19471206,    4,    0
 11245, 71627,19471207,   43,    0
 11245, 71627,19471208,  102,    0
 11245, 71627,19471209,    0,    0
 11245, 71627,19471210,    0,    0
 11245, 71627,19471211,    0,    0
 11245, 71627,19471212,    0,    0
 11245, 71627,19471213,    0,    0
 11245, 71627,19471214,    0,    0
 11245, 71627,19471215,    0,    0
 11245, 71627,19471216,    0,    0
 11245, 71627,19471217,    0,    0
 11245, 71627,19471218,    0,    0
 11245, 71627,19471219,    0,    0
 11245, 71627,19471220,    0,    0
 11245, 71627,19471221,    0,    0
 11245, 71627,19471222,    0,    0
 11245, 71627,19471223,    0,    0
 11245, 71627,19471224,   20,    0
 11245, 71627,19471225,   12,    0
 11245, 71627,19471226,   25,    0
 11245, 71627,19471227,  180,    0
 11245, 71627,19471228,    0,    0
 11245, 71627,19471229,    0,    0
 11245, 71627,19471230,    0,    0
 11245, 71627,19471231,   65,    0
 11245, 71627,19480101,   90,    0
 11245, 71627,19480102,   47,    0
 11245, 71627,19480103,    0,    0
 11245, 71627,19480104,   30,    0
 11245, 71627,19480105,   30,    0
 11245, 71627,19480106,   58,    0
 11245, 71627,19480107,   18,    0
 11245, 71627,19480108,   15,    0
 11245, 71627,19480109,   15,    0
 11245, 71627,19480110,    1,    0
 11245, 71627,19480111,   78,    0
 11245, 71627,19480112,   44,    0
 11245, 71627,19480113,   60,    0
 11245, 71627,19480114,   62,    0
 11245, 71627,19480115,  137,    0
 11245, 71627,19480116,   10,    0
 11245, 71627,19480117,   78,    0
 11245, 71627,19480118,   65,    0
 11245, 71627,19480119,   25,    0
 11245, 71627,19480120,    7,    0
 11245, 71627,19480121,   34,    0
 11245, 71627,19480122,   59,    0
 11245, 71627,19480123,  127,    0
 11245, 71627,19480124,   10,    0
 11245, 71627,19480125,   18,    0
 11245, 71627,19480126,   35,    0
 11245, 71627,19480127,   73,    0
 11245, 71627,19480128,   27,    0
 11245, 71627,19480129,  108,    0
 11245, 71627,19480130,    0,    0
 11245, 71627,19480131,   11,    0
 11245, 71627,19480201,   15,    0
 11245, 71627,19480202,    0,    0
 11245, 71627,19480203,   11,    0
 11245, 71627,19480204,    0,    0
 11245, 71627,19480205,   10,    0
 11245, 71627,19480206,   10,    0
 11245, 71627,19480207,   32,    0
 11245, 71627,19480208,    3,    0
 11245, 71627,19480209,    0,    0
 11245, 71627,19480210,    0,    0
 11245, 71627,19480211,    1,    0
 11245, 71627,19480212,    1,    0
 11245, 71627,19480213,    0,    0
 11245, 71627,19480214,    0,    0
 11245, 71627,19480215,    0,    0
 11245, 71627,19480216,    0,    0
 11245, 71627,19480217,    0,    0
 11245, 71627,19480218,    0,    0
 11245, 71627,19480219,    0,    0
 11245, 71627,19480220,    0,    0
 11245, 71627,19480221,    0,    0
 11245, 71627,19480222,   95,    0
 11245, 71627,19480223,   15,    0
 11245, 71627,19480224,    0,    0
 11245, 71627,19480225,    0,    0
 11245, 71627,19480226,    0,    0
 11245, 71627,19480227,    8,    0
 11245, 71627,19480228,    0,    0
 11245, 71627,19480229,-9999,    9
 11245, 71627,19480301,    0,    0
 11245, 71627,19480302,    0,    0
 11245, 71627,19480303,    0,    0
 11245, 71627,19480304,    0,    0
 11245, 71627,19480305,    0,    0
 11245, 71627,19480306,    0,    0
 11245, 71627,19480307,    0,    0
 11245, 71627,19480308,    0,    0
 11245, 71627,19480309,    0,    0
 11245, 71627,19480310,    0,    0
 11245, 71627,19480311,    0,    0
 11245, 71627,19480312,    0,    0
 11245, 71627,19480313,    0,    0
 11245, 71627,19480314,    0,    0
 11245, 71627,19480315,   95,    0
 11245, 71627,19480316,   62,    0
 11245, 71627,19480317,   24,    0
 11245, 71627,19480318,    0,    0
 11245, 71627,19480319,    0,    0
 11245, 71627,19480320,    0,    0
 11245, 71627,19480321,    0,    0
 11245, 71627,19480322,    0,    0
 11245, 71627,19480323,    0,    0
 11245, 71627,19480324,    0,    0
 11245, 71627,19480325,    0,    0
 11245, 71627,19480326,    0,    0
 11245, 71627,19480327,    0,    0
 11245, 71627,19480328,  115,    0
 11245, 71627,19480329,   23,    0
 11245, 71627,19480330,    0,    0
 11245, 71627,19480331,   85,    0
 11245, 71627,19480401,   70,    0
 11245, 71627,19480402,   81,    0
 11245, 71627,19480403,   15,    0
 11245, 71627,19480404,  155,    0
 11245, 71627,19480405,  124,    0
 11245, 71627,19480406,   45,    0
 11245, 71627,19480407,    0,    0
 11245, 71627,19480408,   15,    0
 11245, 71627,19480409,    0,    0
 11245, 71627,19480410,    6,    0
 11245, 71627,19480411,    0,    0
 11245, 71627,19480412,    0,    0
 11245, 71627,19480413,    0,    0
 11245, 71627,19480414,    0,    0
 11245, 71627,19480415,    0,    0
 11245, 71627,19480416,    0,    0
 11245, 71627,19480417,    0,    0
 11245, 71627,19480418,    0,    0
 11245, 71627,19480419,   30,    0
 11245, 71627,19480420,   80,    0
 11245, 71627,19480421,   13,    0
 11245, 71627,19480422,   27,    0
 11245, 71627,19480423,    3,    0
 11245, 71627,19480424,    0,    0
 11245, 71627,19480425,    0,    0
 11245, 71627,19480426,    0,    0
 11245, 71627,19480427,    0,    0
 11245, 71627,19480428,    0,    0
 11245, 71627,19480429,    0,    0
 11245, 71627,19480430,   32,    0
 11245, 71627,19480501,  154,    0
 11245, 71627,19480502,   16,    0
 11245, 71627,19480503,   45,    0
 11245, 71627,19480504,    7,    0
 11245, 71627,19480505,    0,    0
 11245, 71627,19480506,    0,    0
 11245, 71627,19480507,    0,    0
 11245, 71627,19480508,    0,    0
 11245, 71627,19480509,    0,    0
 11245, 71627,19480510,    0,    0
 11245, 71627,19480511,    0,    0
 11245, 71627,19480512,    0,    0
 11245, 71627,19480513,    0,    0
 11245, 71627,19480514,    0,    0
 11245, 71627,19480515,    0,    0
 11245, 71627,19480516,   20,    0
 11245, 71627,19480517,    0,    0
 11245, 71627,19480518,    0,    0
 11245, 71627,19480519,    0,    0
 11245, 71627,19480520,    0,    0
 11245, 71627,19480521,    0,    0
 11245, 71627,19480522,    0,    0
 11245, 71627,19480523,   10,    0
 11245, 71627,19480524,    0,    0
 11245, 71627,19480525,   65,    0
 11245, 71627,19480526,    0,    0
 11245, 71627,19480527,    0,    0
 11245, 71627,19480528,   38,    0
 11245, 71627,19480529,    0,    0
 11245, 71627,19480530,   20,    0
 11245, 71627,19480531,   12,    0
 11245, 71627,19480601,   70,    0
 11245, 71627,19480602,    0,    0
 11245, 71627,19480603,    0,    0
 11245, 71627,19480604,   50,    0
 11245, 71627,19480605,    0,    0
 11245, 71627,19480606,    0,    0
 11245, 71627,19480607,    0,    0
 11245, 71627,19480608,    0,    0
 11245, 71627,19480609,    0,    0
 11245, 71627,19480610,    0,    0
 11245, 71627,19480611,    0,    0
 11245, 71627,19480612,    0,    0
 11245, 71627,19480613,    0,    0
 11245, 71627,19480614,   17,    0
 11245, 71627,19480615,   15,    0
 11245, 71627,19480616,  255,    0
 11245, 71627,19480617,    3,    0
 11245, 71627,19480618,    0,    0
 11245, 71627,19480619,   15,    0
 11245, 71627,19480620,    0,    0
 11245, 71627,19480621,    0,    0
 11245, 71627,19480622,    0,    0
 11245, 71627,19480623,   12,    0
 11245, 71627,19480624,    0,    0
 11245, 71627,19480625,    0,    0
 11245, 71627,19480626,    0,    0
 11245, 71627,19480627,    0,    0
 11245, 71627,19480628,    0,    0
 11245, 71627,19480629,    0,    0
 11245, 71627,19480630,    0,    0
 11245, 71627,19480701,    0,    0
 11245, 71627,19480702,    0,    0
 11245, 71627,19480703,    0,    0
 11245, 71627,19480704,   36,    0
 11245, 71627,19480705,    0,    0
 11245, 71627,19480706,    0,    0
 11245, 71627,19480707,    0,    0
 11245, 71627,19480708,    0,    0
 11245, 71627,19480709,    0,    0
 11245, 71627,19480710,    0,    0
 11245, 71627,19480711,   16,    0
 11245, 71627,19480712,   38,    0
 11245, 71627,19480713,    0,    0
 11245, 71627,19480714,    7,    0
 11245, 71627,19480715,    0,    0
 11245, 71627,19480716,    0,    0
 11245, 71627,19480717,  200,    0
 11245, 71627,19480718,   25,    0
 11245, 71627,19480719,    0,    0
 11245, 71627,19480720,    3,    0
 11245, 71627,19480721,    0,    0
 11245, 71627,19480722,    0,    0
 11245, 71627,19480723,    8,    0
 11245, 71627,19480724,    4,    0
 11245, 71627,19480725,    0,    0
 11245, 71627,19480726,    0,    0
 11245, 71627,19480727,    0,    0
 11245, 71627,19480728,    0,    0
 11245, 71627,19480729,   20,    0
 11245, 71627,19480730,    0,    0
 11245, 71627,19480731,    4,    0
 11245, 71627,19480801,    0,    0
 11245, 71627,19480802,    0,    0
 11245, 71627,19480803,    0,    0
 11245, 71627,19480804,   11,    0
