EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 15-03-2024
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BELLE ILE - LE TALUT, FRANCE (STAID: 11247)
Blended and updated with sources:71636 907207 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 11247, 71636,19300401,   20,    0
 11247, 71636,19300402,  122,    0
 11247, 71636,19300403,   93,    0
 11247, 71636,19300404,  152,    0
 11247, 71636,19300405,    1,    0
 11247, 71636,19300406,    0,    0
 11247, 71636,19300407,    0,    0
 11247, 71636,19300408,    0,    0
 11247, 71636,19300409,   63,    0
 11247, 71636,19300410,   20,    0
 11247, 71636,19300411,    0,    0
 11247, 71636,19300412,    0,    0
 11247, 71636,19300413,   25,    0
 11247, 71636,19300414,   20,    0
 11247, 71636,19300415,    0,    0
 11247, 71636,19300416,    0,    0
 11247, 71636,19300417,    0,    0
 11247, 71636,19300418,    5,    0
 11247, 71636,19300419,   10,    0
 11247, 71636,19300420,   32,    0
 11247, 71636,19300421,   10,    0
 11247, 71636,19300422,   50,    0
 11247, 71636,19300423,  130,    0
 11247, 71636,19300424,    0,    0
 11247, 71636,19300425,    0,    0
 11247, 71636,19300426,    0,    0
 11247, 71636,19300427,  230,    0
 11247, 71636,19300428,  120,    0
 11247, 71636,19300429,    0,    0
 11247, 71636,19300430,    0,    0
 11247, 71636,19300501,    0,    0
 11247, 71636,19300502,    0,    0
 11247, 71636,19300503,    0,    0
 11247, 71636,19300504,    0,    0
 11247, 71636,19300505,   70,    0
 11247, 71636,19300506,    0,    0
 11247, 71636,19300507,    0,    0
 11247, 71636,19300508,    0,    0
 11247, 71636,19300509,    0,    0
 11247, 71636,19300510,   30,    0
 11247, 71636,19300511,   20,    0
 11247, 71636,19300512,   50,    0
 11247, 71636,19300513,   20,    0
 11247, 71636,19300514,    0,    0
 11247, 71636,19300515,   51,    0
 11247, 71636,19300516,    0,    0
 11247, 71636,19300517,    0,    0
 11247, 71636,19300518,    0,    0
 11247, 71636,19300519,    0,    0
 11247, 71636,19300520,    0,    0
 11247, 71636,19300521,    0,    0
 11247, 71636,19300522,    0,    0
 11247, 71636,19300523,    0,    0
 11247, 71636,19300524,    0,    0
 11247, 71636,19300525,    0,    0
 11247, 71636,19300526,    0,    0
 11247, 71636,19300527,    0,    0
 11247, 71636,19300528,    0,    0
 11247, 71636,19300529,    0,    0
 11247, 71636,19300530,  140,    0
 11247, 71636,19300531,  380,    0
 11247, 71636,19300601,    0,    0
 11247, 71636,19300602,    0,    0
 11247, 71636,19300603,    0,    0
 11247, 71636,19300604,    0,    0
 11247, 71636,19300605,    0,    0
 11247, 71636,19300606,    0,    0
 11247, 71636,19300607,    0,    0
 11247, 71636,19300608,    0,    0
 11247, 71636,19300609,    0,    0
 11247, 71636,19300610,    0,    0
 11247, 71636,19300611,    0,    0
 11247, 71636,19300612,    0,    0
 11247, 71636,19300613,    4,    0
 11247, 71636,19300614,   10,    0
 11247, 71636,19300615,   10,    0
 11247, 71636,19300616,    0,    0
 11247, 71636,19300617,   10,    0
 11247, 71636,19300618,    0,    0
 11247, 71636,19300619,    0,    0
 11247, 71636,19300620,    0,    0
 11247, 71636,19300621,    0,    0
 11247, 71636,19300622,    0,    0
 11247, 71636,19300623,   40,    0
 11247, 71636,19300624,    0,    0
 11247, 71636,19300625,  110,    0
 11247, 71636,19300626,    0,    0
 11247, 71636,19300627,   10,    0
 11247, 71636,19300628,    0,    0
 11247, 71636,19300629,    0,    0
 11247, 71636,19300630,    0,    0
 11247, 71636,19300701,    0,    0
 11247, 71636,19300702,    0,    0
 11247, 71636,19300703,    0,    0
 11247, 71636,19300704,    0,    0
 11247, 71636,19300705,    2,    0
 11247, 71636,19300706,    0,    0
 11247, 71636,19300707,    0,    0
 11247, 71636,19300708,    0,    0
 11247, 71636,19300709,    0,    0
 11247, 71636,19300710,    0,    0
 11247, 71636,19300711,    0,    0
 11247, 71636,19300712,    0,    0
 11247, 71636,19300713,    5,    0
 11247, 71636,19300714,    7,    0
 11247, 71636,19300715,  130,    0
 11247, 71636,19300716,   30,    0
 11247, 71636,19300717,   80,    0
 11247, 71636,19300718,  150,    0
 11247, 71636,19300719,   40,    0
 11247, 71636,19300720,  220,    0
 11247, 71636,19300721,    0,    0
 11247, 71636,19300722,    0,    0
 11247, 71636,19300723,    0,    0
 11247, 71636,19300724,    0,    0
 11247, 71636,19300725,   10,    0
 11247, 71636,19300726,   10,    0
